page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/non-stop-dogwear-cooling-dog-vest/dp/3595310,True,Align sitemap inclusion to the intended index state.,,"NON-STOP DOGWEAR Cooling Dog Vest, Light Gray/Teal, Medium - Chewy.com",70,"Buy Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, Medium at Chewy.com. FREE shipping and the BEST customer service!",121,,"Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, Medium",1,non-stop-dogwear-cooling-dog-vest,True,False,False,False,True,True,True,True,15,310,1,,,,,,,,,,,,,,1.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/clomipramine-hydrochloride-generic/dp/396183,True,Align sitemap inclusion to the intended index state.,,"CLOMIPRAMINE HYDROCHLORIDE (Generic) Tablets, 20 mg - Easy Refills | Chewy Rx",77,"Some furry friends have a very hard time being separated from their pet parents, but thankfully there are ways to help. Clomipramine Hydrochloride (Generic) Tablets is a prescriptions medication formulated to help reduce clinical signs of separation anxiety. It works by affecting serotonergic and noradrenergic neuronal transmission into your pets central nervous system.",372,,"Clomipramine Hydrochloride (Generic) Tablets, 20 mg, 30 tablets",1,clomipramine-hydrochloride-generic,True,False,False,False,True,True,True,True,87,325,2,,,,,,,,,,,,,,2.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/acepromazine-maleate-generic-tablets/dp/320693,True,Align sitemap inclusion to the intended index state.,,"ACEPROMAZINE Maleate (Generic) Tablets for Dogs, 25-mg - Easy Refills | Chewy Rx",80,"Acepromazine Maleate is a prescription medication for dogs who need tranquilization. This medication is not a pain reliever but can be used to sedate animals for minor procedures, such as nail trims. It comes in an uncoated tablet form, so you can easily hide it in a pill pocket and give it as a tasty treat or disguise it in your dog's favorite wet food.",356,,"Acepromazine Maleate (Generic) Tablets for Dogs, 25-mg, 30 tablets",1,acepromazine-maleate-generic-tablets,True,False,False,False,True,True,True,True,43,322,2,,,,,,,,,,,,,,
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/fluoxetine-generic-tablets-dogs-10-mg/dp/322086,True,Align sitemap inclusion to the intended index state.,,"FLUOXETINE (Generic) Tablets, 10-mg - Easy Refills | Chewy Rx",61,"Fluoxetine is in the class of medications called selective serotonin reuptake inhibitors (SSRIs) that are prescribed for humans to treat a wide range of anxiety disorders (Major Depressive Disorder, Obsessive Compulsive Disorder, Bulimia Nervosa, and Panic Disorder). In companion animals, fluoxetine is used to alleviate their anxiety and helps to decrease their destructive, anxiety-related behaviors. Veterinarians prescribe fluoxetine in generic, proprietary (Prozac) and compounded formulations to dogs, cats and birds for a variety of behavioral problems.",561,,"Fluoxetine (Generic) Tablets, 10-mg, 30 tablets",1,fluoxetine-generic-tablets-dogs-10-mg,True,False,False,False,True,True,True,True,48,323,2,good,2286.0,good,0.065,,,,,,,,,,3.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/clomicalm-clomipramine-hcl-tablets/dp/323200,True,Align sitemap inclusion to the intended index state.,,"CLOMICALM (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets - Easy Refills | Chewy Rx",90,Clomicalm is an oral medication prescribed by veterinarians to help control anxiety - including separation anxiety in dogs. These tablets can also be used as part of a behavior modification program. This medication comes in an oral tablet form and can be easily disguised in your canine companions favorite food.,312,,"Clomicalm (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets",1,clomicalm-clomipramine-hcl-tablets,True,False,False,False,True,True,True,True,27,322,2,,,,,,,,,,,,,,4.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/selegiline-hcl-generic-capsules-dogs/dp/3546358,True,Align sitemap inclusion to the intended index state.,,"SELEGILINE HCl (Generic) Capsules, 5-mg - Easy Refills | Chewy Rx",65,"Selegiline is an oral prescription medication used to treat cognitive dysfunction and senility in older dogs. It can also be used to treat Cushing's disease when it is caused by a pituitary tumor. Its a generic alternative to Anipryl, and its the only FDA-approved drug for canine senility.",290,,"Selegiline HCl (Generic) Capsules, 5-mg, 60 Capsules",1,selegiline-hcl-generic-capsules-dogs,True,False,False,False,True,True,True,True,56,324,2,,,,,,,,,,,,,,1.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/clomipramine-hcl-compounded-capsule/dp/997382,True,Align sitemap inclusion to the intended index state.,,"CLOMIPRAMINE HCL COMPOUNDED Capsule, 60 mg, 60 capsules for Veterinary use - Easy Refills | Chewy Rx",100,Clomipramine HCl is a tricyclic antidepressant that may be prescribed for a variety of behavior problems. Clomipramine HCl Compounded capsule is a blue and white elongated capsule made specifically for your pet.,211,,"Clomipramine HCl Compounded Capsule, 60 mg, 60 capsules for Veterinary use",1,clomipramine-hcl-compounded-capsule,True,False,False,False,True,True,True,True,66,329,2,,,,,,,,,,,,,,1.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/diphenhydramine-hcl-generic-capsules/dp/1069278,True,Align sitemap inclusion to the intended index state.,,"DIPHENHYDRAMINE HCl (Generic) Capsules, 50-mg - Easy Refills | Chewy Rx",71,"Diphenhydramine HCI, commonly known as Benadryl is an antihistamine prescribed to help relieve allergy symptoms. Some of these symptoms may include coughing and itching caused by insect bites, pollen, house dust along with other allergy triggers. This medication may also help control vomiting and motion sickness and may be prescribed as a mild sedative to help treat muscle tremors caused by toxins or other medications.",422,,"Diphenhydramine HCl (Generic) Capsules, 50-mg, 120 capsules",1,diphenhydramine-hcl-generic-capsules,True,False,False,False,True,True,True,True,88,321,2,,,,,,,,,,,,,,1.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/clomipramine-hcl-compounded-chicken/dp/1014982,True,Align sitemap inclusion to the intended index state.,,"CLOMIPRAMINE HCL COMPOUNDED Chicken Bisect Tablet, 60 mg, 60 tablets for Veterinary use - Easy Refills | Chewy Rx",113,"Clomipramine HCl is a tricyclic antidepressant that may be prescribed for a variety of behavior problems, such as anxiety. Clomipramine HCl Compounded tablet is a white, convex scored tablet with brown speckles made specifically for your pet. The compounded tablets contain a chicken flavoring agent to improve the scent and acceptance of the tablets.",351,,"Clomipramine HCl Compounded Chicken Bisect Tablet, 60 mg, 60 tablets for Veterinary use",1,clomipramine-hcl-compounded-chicken,True,False,False,False,True,True,True,True,66,317,2,,,,,,,,,,,,,,1.0
PDP,Index,Sitemap/index-state mismatch,https://www.chewy.com/hydroxyzine-pamoate-generic-capsules/dp/1069374,True,Align sitemap inclusion to the intended index state.,,"HYDROXYZINE Pamoate (Generic) Capsules, 50-mg - Easy Refills | Chewy Rx",71,"Hydroxyzine Pamoate is a prescription medication that is used to treat itchy skin due to allergies. With fewer side effects than corticosteroids, it blocks the histamines that cause allergic reactions. It can also be used as a sedative.",236,,"Hydroxyzine Pamoate (Generic) Capsules, 50-mg, 120 capsules",1,hydroxyzine-pamoate-generic-capsules,True,False,False,False,True,True,True,True,97,323,2,,,,,,,,,,,,,,1.0
