page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/dog-harnesses-4286078,True,Move important URLs closer to major crawl paths.,6,Sassy Woof Dog Harnesses - Free shipping | Chewy,48,Shop Chewy for low prices and the best Dog Harnesses! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,,Sassy Woof Dog Harnesses,1,dog-harnesses,True,True,False,False,True,False,False,False,9,343,6,,,,,,,,,,,,,,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/dog-collars-4286086,True,Move important URLs closer to major crawl paths.,6,Sassy Woof Dog Collars - Free shipping | Chewy,46,Shop Chewy for low prices and the best Dog Collars! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Sassy Woof Dog Collars,1,dog-collars,True,True,False,False,True,False,False,False,8,342,6,,,,,,,,,,,,,,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/dog-leashes-4286094,True,Move important URLs closer to major crawl paths.,6,Sassy Woof Dog Leashes - Free shipping | Chewy,46,Shop Chewy for low prices and the best Dog Leashes! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Sassy Woof Dog Leashes,1,dog-leashes,True,True,False,False,True,False,False,False,8,342,6,,,,,,,,,,,,,,
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/dog-accessories-4286102,True,Move important URLs closer to major crawl paths.,6,Sassy Woof Dog Accessories - Free shipping | Chewy,50,Shop Chewy for low prices and the best Dog Accessories! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Sassy Woof Dog Accessories,1,dog-accessories,True,True,False,False,True,False,False,False,8,342,6,,,,,,,,,,,,,,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/fresh-kisses-10611,True,Move important URLs closer to major crawl paths.,6,Merrick Fresh Kisses Treats for Dogs - Free shipping | Chewy,60,Shop Chewy for low prices and the best Fresh Kisses! We carry a large selection and the top brands like Merrick and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,,Merrick Fresh Kisses Treats for Dogs,1,fresh-kisses,True,True,False,False,True,False,False,False,1,315,6,,,,,,,,,,,,,,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/power-bites-10608,True,Move important URLs closer to major crawl paths.,6,Merrick Power Bites Treats for Dogs - Free shipping | Chewy,59,Shop Chewy for low prices and the best Power Bites! We carry a large selection and the top brands like Merrick and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,219,merrick power bites treats for dogs,Merrick Power Bites Treats for Dogs,1,power-bites,True,True,False,False,True,False,False,False,1,312,6,,,,,,,1,1,14.0,0,1,0,0,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/oven-baked-14047,True,Move important URLs closer to major crawl paths.,6,Merrick Oven Baked Treats for Dogs - Free shipping | Chewy,58,Shop Chewy for low prices and the best Oven Baked! We carry a large selection and the top brands like Merrick and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,218,merrick oven baked treats for dogs,Merrick Oven Baked Treats for Dogs,1,oven-baked,True,True,False,False,True,False,False,False,1,311,6,,,,,,,1,1,8.0,1,0,0,0,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/backcountry-10612,True,Move important URLs closer to major crawl paths.,6,Merrick Backcountry Treats for Dogs - Free shipping | Chewy,59,Shop Chewy for low prices and the best Backcountry products! We carry a large selection and the top brands like Merrick and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,merrick backcountry treats for dogs,Merrick Backcountry Treats for Dogs,1,backcountry,True,True,False,False,True,False,False,False,2,308,6,,,,,,,1,1,7.0,1,0,0,0,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/pate-8446,True,Move important URLs closer to major crawl paths.,6,American Journey Pate Wet Cat Food - Free shipping | Chewy,58,Shop Chewy for low prices and the best Pate products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,american journey pate wet cat food,American Journey Pate Wet Cat Food,1,pate,True,True,False,False,True,False,False,False,1,320,6,,,,,,,1,1,2.0,1,0,0,0,1.0
Brand,Links,Crawl depth too deep,https://www.chewy.com/brands/minced-in-gravy-8447,True,Move important URLs closer to major crawl paths.,6,American Journey Minced in Gravy Wet Cat Food - Free shipping | Chewy,69,Shop Chewy for low prices and the best Minced in Gravy! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,American Journey Minced in Gravy Wet Cat Food,1,minced-in-gravy,True,True,False,False,True,False,False,False,1,316,6,,,,,,,,,,,,,,1.0
