page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/vital-essentials-freeze-dried-raw/dp/4055966,True,Add breadcrumb markup and visible navigation where appropriate.,,,,,,,,0,vital-essentials-freeze-dried-raw,,True,False,False,False,False,False,False,5,0,2,,,,,,,,,,,,,,1.0
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/up-country-narrow-teddy-dog-collar/dp/5011454,True,Add breadcrumb markup and visible navigation where appropriate.,,,,,,,,0,up-country-narrow-teddy-dog-collar,,True,False,False,False,False,False,False,33,0,2,,,,,,,,,,,,,,
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/oopsdoggy-personalized-reflective/dp/5034550,True,Add breadcrumb markup and visible navigation where appropriate.,,"OOPSDOGGY Personalized Reflective Cotton Custom Dog Collar with Engraved Metal Buckle, Yellow, X-Large: 19 to 24-in neck, 1-in wide - Chewy.com",143,"Buy OOPSDOGGY Personalized Reflective Cotton Custom Dog Collar with Engraved Metal Buckle, Yellow, X-Large: 19 to 24-in neck, 1-in wide at Chewy.com. FREE shipping and the BEST customer service!",194,,"OOPSDOGGY Personalized Reflective Cotton Custom Dog Collar with Engraved Metal Buckle, Yellow, X-Large: 19 to 24-in neck, 1-in wide",1,oopsdoggy-personalized-reflective,True,False,False,False,False,True,True,False,28,326,2,,,,,,,,,,,,,,
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/frisco-cozy-waffle-knit-dog-cat-pjs/dp/744206,True,Add breadcrumb markup and visible navigation where appropriate.,,,,,,,,0,frisco-cozy-waffle-knit-dog-cat-pjs,,True,False,False,False,False,False,False,1,0,3,,,,,,,,,,,,,,
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/lesure-calming-double-sided-jacquard/dp/4347566,True,Add breadcrumb markup and visible navigation where appropriate.,,,,,,,,0,lesure-calming-double-sided-jacquard,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/oopsdoggy-soft-padded-custom-engraved/dp/5034294,True,Add breadcrumb markup and visible navigation where appropriate.,,"OOPSDOGGY Soft Padded Custom Engraved Leather Personalized Reflective Dog Collar with Metal Buckle, Pink, X-Large: 19 to 24-in neck, 1-in wide - Chewy.com",154,"Buy OOPSDOGGY Soft Padded Custom Engraved Leather Personalized Reflective Dog Collar with Metal Buckle, Pink, X-Large: 19 to 24-in neck, 1-in wide at Chewy.com. FREE shipping and the BEST customer service!",205,,"OOPSDOGGY Soft Padded Custom Engraved Leather Personalized Reflective Dog Collar with Metal Buckle, Pink, X-Large: 19 to 24-in neck, 1-in wide",1,oopsdoggy-soft-padded-custom-engraved,True,False,False,False,False,True,True,False,54,325,3,,,,,,,,,,,,,,
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/vetriscience-hairball-chicken/dp/261077,True,Add breadcrumb markup and visible navigation where appropriate.,,,,,,,,0,vetriscience-hairball-chicken,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,1.0
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/up-country-narrow-counting-sheep-dog/dp/5011126,True,Add breadcrumb markup and visible navigation where appropriate.,,,,,,,,0,up-country-narrow-counting-sheep-dog,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/kseroo-organic-catnip-filled-cat-chew/dp/4506222,True,Add breadcrumb markup and visible navigation where appropriate.,,,,,,,,0,kseroo-organic-catnip-filled-cat-chew,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,1.0
PDP,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/oopsdoggy-personalized-reflective/dp/5034494,True,Add breadcrumb markup and visible navigation where appropriate.,,"OOPSDOGGY Personalized Reflective Cotton Custom Dog Collar with Engraved Metal Buckle, Blue, X-Large: 19 to 24-in neck, 1-in wide - Chewy.com",141,"Buy OOPSDOGGY Personalized Reflective Cotton Custom Dog Collar with Engraved Metal Buckle, Blue, X-Large: 19 to 24-in neck, 1-in wide at Chewy.com. FREE shipping and the BEST customer service!",192,,"OOPSDOGGY Personalized Reflective Cotton Custom Dog Collar with Engraved Metal Buckle, Blue, X-Large: 19 to 24-in neck, 1-in wide",1,oopsdoggy-personalized-reflective,True,False,False,False,False,True,True,False,31,326,3,,,,,,,,,,,,,,
