page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/blue-buffalo-6526,True,Keep one primary H1 and move secondary headings to H2/H3.,Blue Buffalo The True BLUE Promise,Blue Buffalo Dog Food & Cat Food - Free Shipping | Chewy,56,"Discover Blue Buffalo Dog Food, Cat Food and Treats at Chewy. Shop wet and dry food, grain-free and limited ingredient recipes, prescription food and more.",155,blue buffalo,Blue Buffalo The True BLUE Promise,2,blue-buffalo,True,True,False,False,True,False,False,True,318238,360,1,good,1699.0,good,0.05500000000000001,,,9,9,5.67,4,2,0,3,8.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/temptations-7577,True,Keep one primary H1 and move secondary headings to H2/H3.,Temptations Our wet & dry cat food make purr-fect meals.,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/purina-animal-nutrition-2068886,True,Keep one primary H1 and move secondary headings to H2/H3.,Purina About Purina,Purina - Free shipping | Chewy,30,Shop Chewy for low prices and the best Purina Animal Nutrition! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,,Purina About Purina,2,purina-animal-nutrition,True,True,False,False,True,False,False,False,318238,351,1,,,,,,,,,,,,,,1.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/fancy-feast-7347,True,Keep one primary H1 and move secondary headings to H2/H3.,Fancy Feast Make everyday extraordinary with Gems,"Fancy Feast Cat Food & Treats - Deals, Free Shipping | Chewy",60,"Shop Chewy for low prices on Fancy Feast Cat Food and Treats. We carry a wide selection of Fancy Feast products including appetizers, chunky food, classic, broths and more that your kitty will love. FREE shipping on orders $49+ and the BEST customer service!",258,fancy feast cat food,Fancy Feast Make everyday extraordinary with Gems,2,fancy-feast,True,True,False,False,True,False,False,True,531,369,2,good,1743.0,good,0.045,,,14,14,14.23,4,6,3,1,14.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/tiny-tiger-7630,True,Keep one primary H1 and move secondary headings to H2/H3.,Tiny Tiger There's a lot to love about Tiny Tiger Wildly delicious Complete & balanced Irresistible prices,Tiny Tiger: Cat Food – Free Shipping (35% Off Your First Autoship Order),72,Shop Chewy for low prices and the best Tiny Tiger! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,tiny tiger,Tiny Tiger There's a lot to love about Tiny Tiger Wildly delicious Complete & balanced Irresistible prices,5,tiny-tiger,True,True,False,False,True,False,False,True,100,347,2,good,1611.0,good,0.09000000000000001,,,9,9,3.88,7,1,0,1,25.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/woof-136430,True,Keep one primary H1 and move secondary headings to H2/H3.,Woof Where wellness meets play,Woof - Free shipping | Chewy,28,Shop Chewy for low prices and the best Woof products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chewy pupsicle,Woof Where wellness meets play,2,woof,True,True,False,False,True,False,False,False,340,345,2,good,1425.0,needs,0.11,,,1,1,1.0,1,0,0,0,19.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/arm-hammer-litter-6457,True,Keep one primary H1 and move secondary headings to H2/H3.,Arm & Hammer Litter for Cats Plant-based performance with lasting freshness,Arm & Hammer Litter for Cats - Free shipping | Chewy,52,Shop Chewy for low prices and the best Arm & Hammer Litter! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,236,arm and hammer multi-cat strength litter for cats,Arm & Hammer Litter for Cats Plant-based performance with lasting freshness,2,arm-hammer-litter,True,True,False,False,True,False,False,True,90,341,2,good,1721.0,good,0.095,,,8,7,18.83,0,3,3,2,2.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/fresh-step-6765,True,Keep one primary H1 and move secondary headings to H2/H3.,Fresh Step Our new and improved odor control technology,Fresh Step - Free shipping | Chewy,34,Shop Chewy for low prices and the best Fresh Step! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,fresh step products,Fresh Step Our new and improved odor control technology,2,fresh-step,True,True,False,False,True,False,False,False,80,338,2,good,1568.0,good,0.01,,,3,3,6.0,1,0,0,2,4.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/worlds-best-7757,True,Keep one primary H1 and move secondary headings to H2/H3.,World's Best Cat Litter Long Lasting Odor Control,World's Best Cat Litter & Kitty Litter | Chewy,46,"Discover World's Best Cat Litter on Chewy, with a range of options to choose from and tens of thousands of customer reviews. Get free shipping now on orders $49+!",162,cat litter chewy,World's Best Cat Litter Long Lasting Odor Control,2,worlds-best,True,True,False,False,True,False,False,True,39,317,2,good,1427.0,good,0.065,,,2,2,18.5,0,2,0,0,6.0
Brand,H1,Multiple H1s present,https://www.chewy.com/brands/chuckit-6621,True,Keep one primary H1 and move secondary headings to H2/H3.,Chuckit! Celebrate Fetch Season,"Chuckit! Dog Toys - Deals & Low Prices, Free Shipping",53,Shop Chewy for low prices and the best Chuckit! products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,chuckit! tug and toss,Chuckit! Celebrate Fetch Season,2,chuckit,True,True,False,False,True,False,False,False,192,355,2,good,1512.0,good,0.035,,,7,7,10.0,3,3,0,1,25.0
