page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/chewy-made-170606,True,Use descriptive slugs that carry the page topic.,,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/hills-6874,True,Use descriptive slugs that carry the page topic.,,Hill's - Free shipping | Chewy,30,"Shop Chewy for low prices and the best Hill's products! We carry a large selection and the top brands like Hill's Science Diet, Hill's Prescription Diet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",262,hill's,Hill's,1,hills,True,True,False,False,True,False,False,True,318238,346,1,good,1777.0,good,0.01,,,7,7,14.0,1,1,0,5,16.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/temptations-7577,True,Use descriptive slugs that carry the page topic.,,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/nutrena-121270,True,Use descriptive slugs that carry the page topic.,,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,True,True,False,False,True,False,False,False,318238,346,1,,,,,,,2,2,15.0,1,0,1,0,1.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/cosequin-7126,True,Use descriptive slugs that carry the page topic.,,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,True,True,False,False,True,False,False,False,318238,335,1,good,1518.0,good,0.060000000000000005,,,,,,,,,,6.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/inaba-6930,True,Use descriptive slugs that carry the page topic.,,Inaba - Free shipping | Chewy,29,Shop Chewy for low prices and the best Inaba products! We carry a large selection and the top brands like Inaba and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,inaba,Inaba,1,inaba,True,True,False,False,True,False,False,False,570,345,2,good,1457.0,needs,0.15999999999999998,,,5,4,6.0,5,0,0,0,7.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/friskies-7369,True,Use descriptive slugs that carry the page topic.,,Friskies Cat Food & Treats | Chewy,34,Shop Chewy for low prices and the best Friskies products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,friskies,Friskies Cat Food & Treats,1,friskies,True,True,False,False,True,False,False,True,400,355,2,good,1813.0,good,0.095,,,8,7,12.67,4,0,2,2,13.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/treats-135734,True,Use descriptive slugs that carry the page topic.,,Treats - Free shipping | Chewy,30,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Treats,1,treats,True,True,False,False,True,False,False,False,45,307,2,,,,,,,,,,,,,,1.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/treats-7909,True,Use descriptive slugs that carry the page topic.,,Sheba Cat Treats - Free shipping | Chewy,40,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,sheba cat treats,Sheba Cat Treats,1,treats,True,True,False,False,True,False,False,False,45,313,2,,,,,,,1,1,6.0,1,0,0,0,1.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/treats-11285,True,Use descriptive slugs that carry the page topic.,,Vital Essentials Treats for Cats - Free shipping | Chewy,56,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Vital Essentials and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,vital essentials cat treats,Vital Essentials Treats for Cats,1,treats,True,True,False,False,True,False,False,False,45,333,2,,,,,,,2,2,5.5,2,0,0,0,2.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/nutramax-7125,True,Use descriptive slugs that carry the page topic.,,Nutramax Laboratories | Chewy,29,"Shop Chewy for low prices on Nutramax Laboratories pet health products. We carry a wide selection of Nutramax Lab products including Dasuquin, Cosequin, Crananidin, Denamarin, Denosyl, Proviable and more. FREE shipping on orders $49+ and the BEST customer service!",264,nutramax,Nutramax,1,nutramax,True,True,False,False,True,False,False,False,163,356,2,good,1640.0,good,0.075,,,3,3,6.5,2,0,0,1,2.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/cosequin-7126,True,Use descriptive slugs that carry the page topic.,,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,False,False,False,False,True,False,False,False,1,335,2,,,,,,,,,,,,,,
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/frisco-6767,True,Use descriptive slugs that carry the page topic.,,Frisco Pet Supplies - Free Shipping | Chewy,43,"Shop Chewy for low prices and the best Frisco products! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,frisco by chewy,Frisco by Chewy,1,frisco,True,True,False,False,True,False,False,False,5254,370,2,good,1501.0,good,0.07,,,7,7,7.67,4,1,1,1,24.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/gastrointestinal-2170502,True,Use descriptive slugs that carry the page topic.,,Royal Canin Gastrointestinal Dog Food - Free shipping | Chewy,61,Shop Chewy for low prices and the best Gastrointestinal products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,242,,Royal Canin Gastrointestinal Dog Food,1,gastrointestinal,True,True,False,False,True,False,False,False,6,341,2,,,,,,,,,,,,,,2.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/nutrena-121270,True,Use descriptive slugs that carry the page topic.,,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,False,False,False,False,True,False,False,False,1,346,2,,,,,,,2,2,15.0,1,0,1,0,
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/mars-165830,True,Use descriptive slugs that carry the page topic.,,Because you love them - Free shipping | Chewy,45,"Shop Chewy for low prices and the best Mars products! We carry a large selection and the top brands like Temptations, Pedigree, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,,Because you love them,1,mars,True,True,False,False,True,False,False,False,120,359,2,,,,,,,,,,,,,,1.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/vets-best-7672,True,Use descriptive slugs that carry the page topic.,,Vet's Best - Free shipping | Chewy,34,"Shop Chewy for low prices and the best Vet's Best! We carry a large selection and the top brands like Vet's Best, K9 Advantix II, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,vet's best,Vet's Best,1,vets-best,True,True,False,False,True,False,False,False,153,341,2,,,,,,,1,1,19.0,0,1,0,0,1.0
Brand,URL,URL slug is too generic,https://www.chewy.com/brands/kong-6981,True,Use descriptive slugs that carry the page topic.,,KONG: Dog & Cat Toys (Free Shipping) | Chewy,44,"Shop Chewy for low prices on Kong Dog and Cat Toys. We carry a wide selection of Kong Dog and Cat Toys including classic rubber toys, plush toys, treat dispensing toys, fetch toys, tough dog toys and much more. FREE shipping on orders $49+ and the BEST customer service!",270,kong,KONG,1,kong,True,True,False,False,True,False,False,False,697,370,2,good,1639.0,needs,0.13,,,13,13,12.36,2,9,0,2,14.0
