page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/temptations-7577,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands,False,"Review lost terms for relevance, indexability, and SERP intent fit.",22,,,,,shop as seen on tv dog supplies,,,,,,,,,,,,,,,,,,,,,100,95,19.13,18,18,42,22,
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/chewy-made-cat-supplies-3434318,True,"Review lost terms for relevance, indexability, and SERP intent fit.",5,Chewy Made™ Cat Supplies | Chewy Exclusive Brand,48,"Shop Cat Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Cat Food and Treats, Waste Management and more. Get free shipping today on orders $49+!",157,cat food chewy,Chewy Made Cat Supplies,1,chewy-made-cat-supplies,True,True,False,False,True,False,False,True,344,362,2,good,1720.0,good,0.019999999999999997,,,23,23,19.67,0,9,9,5,2.0
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/chewy-made-170606,True,"Review lost terms for relevance, indexability, and SERP intent fit.",8,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/chewy-made-dog-treats-3434382,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Chewy Made Dog Treats | Chewy Exclusive Brand,45,"Shop Dog Treats & Dog Bones from Chewy Made, a Chewy Exclusive Brand. Now offering everything from Dental Sticks to Marrow Bones, Crunchy Biscuits and more.",156,american journey dog treats,Chewy Made Dog Treats & Bones,1,chewy-made-dog-treats,True,True,False,False,True,False,False,False,217,345,2,,,,,,,14,12,6.73,8,3,0,3,1.0
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/chewy-made-dog-supplies-3434310,True,"Review lost terms for relevance, indexability, and SERP intent fit.",8,Chewy Made™ Dog Supplies | Chewy Exclusive Brand,48,"Shop Dog Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Dog Food, Treats, Toys, and Waste Management supplies. Free shipping on orders $49+!",154,chewy dog,Chewy Made Dog Supplies,1,chewy-made-dog-supplies,True,True,False,False,True,False,False,True,170,365,2,,,,,,,11,10,27.67,0,0,3,8,2.0
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/frisco-6767,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Frisco Pet Supplies - Free Shipping | Chewy,43,"Shop Chewy for low prices and the best Frisco products! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,frisco by chewy,Frisco by Chewy,1,frisco,False,False,False,False,True,False,False,False,57,369,3,,,,,,,7,7,7.67,4,1,1,1,
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/trees-scratchers-10594,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Frisco Trees & Scratchers for Cats - Free shipping | Chewy,58,Shop Chewy for low prices and the best Trees & Scratchers! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,chewy cat scratcher,Frisco Trees & Scratchers for Cats,1,trees-scratchers,True,True,False,False,True,False,False,False,91,343,3,,,,,,,2,2,,0,0,0,2,1.0
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/shop-by-dog-10578,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Frisco for Dogs - Free shipping | Chewy,39,Shop Chewy for low prices and the best Shop By Dog! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,218,frisco by chewy,Frisco for Dogs,1,shop-by-dog,True,True,False,False,True,False,False,False,136,356,3,,,,,,,4,4,16.0,1,1,1,1,1.0
Brand,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/brands/purina-7330,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"Purina Dog & Cat Food & Treats: Low Prices, Free Shipping | Chewy",65,"Shop Chewy for low prices on Purina Dog and Cat Food and Treats. We carry a wide selection of Purina Brands including Alpo, Beggin', Busy Bone, Cat Chow, Dentalife, Dog Chow, Fancy Feast and Friskies that your dog or cat will love. FREE shipping on orders $49+ and the BEST customer service!",291,purina,Purina,1,purina,False,False,False,False,True,False,False,True,24,369,4,,,,,,,8,7,11.71,5,1,1,1,
