page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/pet-bird-deals-116342,True,Align sitemap inclusion to the intended index state.,,Pet Bird Deals - Free shipping | Chewy,38,"Shop Chewy for low prices and the best Pet Bird Deals! We carry a large selection and the top brands like A&E Cage Company, Prevue Pet Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",253,,Pet Bird Deals,1,pet-bird-deals,,False,False,False,True,False,False,False,833,357,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/healthcare-8109,True,Align sitemap inclusion to the intended index state.,,Cat Healthcare Deals - Free shipping | Chewy,44,"Shop Chewy for low prices and the best Healthcare products! We carry a large selection and the top brands like Natura Petz Organics, Rx Vitamins, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",254,,Cat Healthcare Deals,1,healthcare,,False,False,False,True,False,False,False,394,356,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/food-8099,True,Align sitemap inclusion to the intended index state.,,Dog Food Deals - Free shipping | Chewy,38,"Shop Chewy for low prices and the best Food products! We carry a large selection and the top brands like Merrick, Purina ONE, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,,Dog Food Deals,1,food,,False,False,False,True,False,False,False,231,355,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/toys-8101,True,Align sitemap inclusion to the intended index state.,,Dog Toy Deals - Free shipping | Chewy,37,"Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Pets First, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,,Dog Toy Deals,1,toys,,False,False,False,True,False,False,False,841,358,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/treats-8100,True,Align sitemap inclusion to the intended index state.,,Dog Treats Deals - Free shipping | Chewy,40,"Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Blue Buffalo, Merrick, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Dog Treats Deals,1,treats,,False,False,False,True,False,False,False,319,360,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/collars-leashes-clothing-8103,True,Align sitemap inclusion to the intended index state.,,"Dog Collars, Leashes & Clothing Deals - Free shipping | Chewy",61,"Shop Chewy for low prices and the best Collars, Leashes & Clothing! We carry a large selection and the top brands like Frisco, The Worthy Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",251,,"Dog Collars, Leashes & Clothing Deals",1,collars-leashes-clothing,,False,False,False,True,False,False,False,626,348,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/beds-crates-containment-12285,True,Align sitemap inclusion to the intended index state.,,"Dog Beds, Crates & Containment Deals - Free shipping | Chewy",60,"Shop Chewy for low prices and the best Beds, Crates & Containment! We carry a large selection and the top brands like Majestic Pet, FurHaven, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",250,,"Dog Beds, Crates & Containment Deals",1,beds-crates-containment,,False,False,False,True,False,False,False,290,348,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/bowls-feeders-8733,True,Align sitemap inclusion to the intended index state.,,Dog Bowls & Feeders Deals - Free shipping | Chewy,49,"Shop Chewy for low prices and the best Bowls & Feeders! We carry a large selection and the top brands like Frisco, ShopInstaPets, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Dog Bowls & Feeders Deals,1,bowls-feeders,,False,False,False,True,False,False,False,223,352,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/vitamins-supplements-115198,True,Align sitemap inclusion to the intended index state.,,Deals on Dog Vitamins & Supplements - Free shipping | Chewy,59,"Shop Chewy for low prices and the best Vitamins & Supplements! We carry a large selection and the top brands like Healthy Breeds, Chew + Heal, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",251,,Deals on Dog Vitamins & Supplements,1,vitamins-supplements,,False,False,False,True,False,False,False,463,355,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/grooming-8734,True,Align sitemap inclusion to the intended index state.,,Dog Grooming Deals - Free shipping | Chewy,42,"Shop Chewy for low prices and the best Grooming products! We carry a large selection and the top brands like Best Shot, Andis, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,,Dog Grooming Deals,1,grooming,,False,False,False,True,False,False,False,410,353,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/cleaning-potty-8730,True,Align sitemap inclusion to the intended index state.,,Dog Cleaning & Potty Deals - Free shipping | Chewy,50,"Shop Chewy for low prices and the best Cleaning & Potty! We carry a large selection and the top brands like Pet House, Pet Odor Exterminator, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",250,,Dog Cleaning & Potty Deals,1,cleaning-potty,,False,False,False,True,False,False,False,365,353,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/healthcare-8102,True,Align sitemap inclusion to the intended index state.,,Dog Healthcare Deals - Free shipping | Chewy,44,"Shop Chewy for low prices and the best Healthcare products! We carry a large selection and the top brands like Healthy Breeds, Trilostane Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",258,,Dog Healthcare Deals,1,healthcare,,False,False,False,True,False,False,False,720,357,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/grooming-supplies-more-8104,True,Align sitemap inclusion to the intended index state.,,"Dog Grooming, Supplies & More Deals - Free shipping | Chewy",59,"Shop Chewy for low prices and the best Grooming, Supplies & More! We carry a large selection and the top brands like Frisco, Mendota Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",251,,"Dog Grooming, Supplies & More Deals",1,grooming-supplies-more,,False,False,False,True,False,False,False,496,353,2,,,,,,,,,,,,,,1.0
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/fish-deals-2736,True,Align sitemap inclusion to the intended index state.,,Fish Supplies On Sale: Discount Fish Supplies - Free Shipping | Chewy,69,"Shop Chewy for low sale prices on fish tank and aquarium supplies. Find great deals and see what fish tank and aquarium supplies are on sale like fish food, cleaning supplies, filters, fish tank kits and more. FREE shipping on orders $49+ and the BEST customer service!",269,,Fish Deals,1,fish-deals,,False,False,False,True,False,False,False,756,364,2,,,,,,,,,,,,,,1.0
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/horse-deals-2740,True,Align sitemap inclusion to the intended index state.,,Horse Supplies On Sale: Discount Horse Supplies - Free Shipping | Chewy,71,"Shop Chewy for low sale prices on horse supplies. Find great deals and see what horse supplies are on sale like horse feed, horse treats, grooming supplies, saddle pads, horse supplements and more. FREE shipping on orders $49+ and the BEST customer service!",257,,Horse Deals,1,horse-deals,,False,False,False,True,False,False,False,721,366,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/small-pet-deals-2738,True,Align sitemap inclusion to the intended index state.,,Discount Small Pet Supplies On Sale - Free Shipping | Chewy,59,"Shop Chewy for low sale prices on small pet supplies. Find great deals and see what small pet supplies are on sale like food, treats, habitats, bedding, litter, hideouts, toys, carriers and more. FREE shipping on orders $49+ and the BEST customer service!",255,,Small Pet Deals,1,small-pet-deals,,False,False,False,True,False,False,False,841,361,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/reptile-amphibian-deals-2739,True,Align sitemap inclusion to the intended index state.,,Reptile Supplies On Sale: Discount Reptile Supplies - Free Ship | Chewy,71,"Shop Chewy for low sale prices on reptile supplies. Find great deals and see what reptile supplies are on sale like reptile food, terrarium kits, treats, substrate, lighting accessories and more. FREE shipping on orders $49+ and the BEST customer service!",255,,Reptile Deals,1,reptile-amphibian-deals,,False,False,False,True,False,False,False,895,357,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/wickens-wicked-reptiles-chewy-150918,True,Align sitemap inclusion to the intended index state.,,Wickens Wicked Reptiles Chewy Storefront - Free shipping | Chewy,64,Shop Chewy for low prices and the best Wickens Wicked Reptiles Chewy Storefront! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,257,,Wickens Wicked Reptiles Chewy Storefront Shop More on Chewy,2,wickens-wicked-reptiles-chewy,False,False,False,False,True,False,False,False,66,369,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/clothing-accessories-12286,True,Align sitemap inclusion to the intended index state.,,Dog Clothing & Accessories Deals - Free shipping | Chewy,56,"Shop Chewy for low prices and the best Clothing & Accessories! We carry a large selection and the top brands like The Worthy Dog, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",246,,Dog Clothing & Accessories Deals,1,clothing-accessories,,False,False,False,True,False,False,False,432,361,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/food-8105,True,Align sitemap inclusion to the intended index state.,,Cat Food Deals - Free shipping | Chewy,38,"Shop Chewy for low prices and the best Food products! We carry a large selection and the top brands like Fancy Feast, Friskies, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,,Cat Food Deals,1,food,,False,False,False,True,False,False,False,238,358,2,,,,,,,,,,,,,,
Deals,Index,Sitemap/index-state mismatch,https://www.chewy.com/deals/litter-cleaning-8107,True,Align sitemap inclusion to the intended index state.,,Cat Litter & Cleaning Deals - Free shipping | Chewy,51,"Shop Chewy for low prices and the best Litter & Cleaning! We carry a large selection and the top brands like Tidy Cats, Pet House, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,,Cat Litter & Cleaning Deals,1,litter-cleaning,,False,False,False,True,False,False,False,250,350,2,,,,,,,,,,,,,,
