page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Meta,Duplicate meta description,https://www.chewy.com/chewy-egift-card/dp/226306,True,Make descriptions unique at the page/template level.,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/reconcile-fluoxetine-hydrochloride/dp/191440,True,Make descriptions unique at the page/template level.,"Help your canine companion cope with separation anxiety by giving him Reconcile Tablets for Dogs. These flavored, chewable tablets are formulated with fluoxetine hydrochloride and are FDA-approved for the treatment of canine separation anxiety when combined with a behavior modification plan. Reconcile not only helps your pup stay calm during stressful moments of separation, but it can also help reduce harmful behavior and even make him more open to training.","RECONCILE (fluoxetine hydrochloride) Tablets for Dogs, 32-mg - Easy Refills | Chewy Rx",86,"Help your canine companion cope with separation anxiety by giving him Reconcile Tablets for Dogs. These flavored, chewable tablets are formulated with fluoxetine hydrochloride and are FDA-approved for the treatment of canine separation anxiety when combined with a behavior modification plan. Reconcile not only helps your pup stay calm during stressful moments of separation, but it can also help reduce harmful behavior and even make him more open to training.",462,,"Reconcile (fluoxetine hydrochloride) Tablets for Dogs, 32-mg, 30 tablets",1,reconcile-fluoxetine-hydrochloride,True,True,False,False,True,True,True,True,49,322,2,good,2101.0,good,0.08,,,,,,,,,,2.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/sileo-dexmedetomidine-oromucosal/dp/173139,True,Make descriptions unique at the page/template level.,"Sileo (dexmedetomidine oromucosal gel) is the first and only FDA-approved treatment for dogs that suffer from noise aversion. This medication is prescribed by your veterinarian to help calm your dog when your pet is frightened by loud noises. Common noise aversion triggers include fireworks, thunder, construction work, traffic or street noise, celebrations, vacuum cleaners and smoke detectors.","SILEO (dexmedetomidine oromucosal) Oromucosal Gel for Dogs, 0.09-mg/mL, 3-mL - Easy Refills | Chewy Rx",102,"Sileo (dexmedetomidine oromucosal gel) is the first and only FDA-approved treatment for dogs that suffer from noise aversion. This medication is prescribed by your veterinarian to help calm your dog when your pet is frightened by loud noises. Common noise aversion triggers include fireworks, thunder, construction work, traffic or street noise, celebrations, vacuum cleaners and smoke detectors.",396,sileo,"Sileo (dexmedetomidine oromucosal) Oromucosal Gel for Dogs, 0.09-mg/mL, 3-mL",1,sileo-dexmedetomidine-oromucosal,True,True,False,False,True,True,True,True,61,319,2,good,2073.0,good,0.065,,,1,1,4.0,1,0,0,0,6.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/clomipramine-hydrochloride-generic/dp/396183,True,Make descriptions unique at the page/template level.,"Some furry friends have a very hard time being separated from their pet parents, but thankfully there are ways to help. Clomipramine Hydrochloride (Generic) Tablets is a prescriptions medication formulated to help reduce clinical signs of separation anxiety. It works by affecting serotonergic and noradrenergic neuronal transmission into your pets central nervous system.","CLOMIPRAMINE HYDROCHLORIDE (Generic) Tablets, 20 mg - Easy Refills | Chewy Rx",77,"Some furry friends have a very hard time being separated from their pet parents, but thankfully there are ways to help. Clomipramine Hydrochloride (Generic) Tablets is a prescriptions medication formulated to help reduce clinical signs of separation anxiety. It works by affecting serotonergic and noradrenergic neuronal transmission into your pets central nervous system.",372,,"Clomipramine Hydrochloride (Generic) Tablets, 20 mg, 30 tablets",1,clomipramine-hydrochloride-generic,True,False,False,False,True,True,True,True,87,325,2,,,,,,,,,,,,,,2.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/acepromazine-maleate-generic-tablets/dp/320693,True,Make descriptions unique at the page/template level.,"Acepromazine Maleate is a prescription medication for dogs who need tranquilization. This medication is not a pain reliever but can be used to sedate animals for minor procedures, such as nail trims. It comes in an uncoated tablet form, so you can easily hide it in a pill pocket and give it as a tasty treat or disguise it in your dog's favorite wet food.","ACEPROMAZINE Maleate (Generic) Tablets for Dogs, 25-mg - Easy Refills | Chewy Rx",80,"Acepromazine Maleate is a prescription medication for dogs who need tranquilization. This medication is not a pain reliever but can be used to sedate animals for minor procedures, such as nail trims. It comes in an uncoated tablet form, so you can easily hide it in a pill pocket and give it as a tasty treat or disguise it in your dog's favorite wet food.",356,,"Acepromazine Maleate (Generic) Tablets for Dogs, 25-mg, 30 tablets",1,acepromazine-maleate-generic-tablets,True,False,False,False,True,True,True,True,43,322,2,,,,,,,,,,,,,,
PDP,Meta,Duplicate meta description,https://www.chewy.com/cerenia-maropitant-citrate-tablets/dp/173067,True,Make descriptions unique at the page/template level.,"Cerenia is the first and only FDA-approved medication prescribed by veterinarians for dogs to help treat and help prevent vomiting caused by motion sickness. Each tablet is scored, allowing for easy and accurate dosing. As many as 1 in 5 dogs suffer from canine motion sickness, so whether you are taking your furry friend to the vet or going on a road trip together, Cerenia tablets are the number one choice among veterinarians to help stop your pal from feeling sick.","CERENIA (Maropitant Citrate) Tablets for Dogs, 16-mg - Easy Refills | Chewy Rx",78,"Cerenia is the first and only FDA-approved medication prescribed by veterinarians for dogs to help treat and help prevent vomiting caused by motion sickness. Each tablet is scored, allowing for easy and accurate dosing. As many as 1 in 5 dogs suffer from canine motion sickness, so whether you are taking your furry friend to the vet or going on a road trip together, Cerenia tablets are the number one choice among veterinarians to help stop your pal from feeling sick.",470,cerenia,"Cerenia (Maropitant Citrate) Tablets for Dogs, 16-mg, 4 tablets",1,cerenia-maropitant-citrate-tablets,True,True,False,False,True,True,True,True,371,324,2,good,2176.0,good,0.04,,,3,2,1.0,1,0,0,2,25.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/fluoxetine-generic-tablets-dogs-10-mg/dp/322086,True,Make descriptions unique at the page/template level.,"Fluoxetine is in the class of medications called selective serotonin reuptake inhibitors (SSRIs) that are prescribed for humans to treat a wide range of anxiety disorders (Major Depressive Disorder, Obsessive Compulsive Disorder, Bulimia Nervosa, and Panic Disorder). In companion animals, fluoxetine is used to alleviate their anxiety and helps to decrease their destructive, anxiety-related behaviors. Veterinarians prescribe fluoxetine in generic, proprietary (Prozac) and compounded formulations to dogs, cats and birds for a variety of behavioral problems.","FLUOXETINE (Generic) Tablets, 10-mg - Easy Refills | Chewy Rx",61,"Fluoxetine is in the class of medications called selective serotonin reuptake inhibitors (SSRIs) that are prescribed for humans to treat a wide range of anxiety disorders (Major Depressive Disorder, Obsessive Compulsive Disorder, Bulimia Nervosa, and Panic Disorder). In companion animals, fluoxetine is used to alleviate their anxiety and helps to decrease their destructive, anxiety-related behaviors. Veterinarians prescribe fluoxetine in generic, proprietary (Prozac) and compounded formulations to dogs, cats and birds for a variety of behavioral problems.",561,,"Fluoxetine (Generic) Tablets, 10-mg, 30 tablets",1,fluoxetine-generic-tablets-dogs-10-mg,True,False,False,False,True,True,True,True,48,323,2,good,2286.0,good,0.065,,,,,,,,,,3.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/clomicalm-clomipramine-hcl-tablets/dp/323200,True,Make descriptions unique at the page/template level.,Clomicalm is an oral medication prescribed by veterinarians to help control anxiety - including separation anxiety in dogs. These tablets can also be used as part of a behavior modification program. This medication comes in an oral tablet form and can be easily disguised in your canine companions favorite food.,"CLOMICALM (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets - Easy Refills | Chewy Rx",90,Clomicalm is an oral medication prescribed by veterinarians to help control anxiety - including separation anxiety in dogs. These tablets can also be used as part of a behavior modification program. This medication comes in an oral tablet form and can be easily disguised in your canine companions favorite food.,312,,"Clomicalm (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets",1,clomicalm-clomipramine-hcl-tablets,True,False,False,False,True,True,True,True,27,322,2,,,,,,,,,,,,,,4.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/selegiline-hcl-generic-capsules-dogs/dp/3546358,True,Make descriptions unique at the page/template level.,"Selegiline is an oral prescription medication used to treat cognitive dysfunction and senility in older dogs. It can also be used to treat Cushing's disease when it is caused by a pituitary tumor. Its a generic alternative to Anipryl, and its the only FDA-approved drug for canine senility.","SELEGILINE HCl (Generic) Capsules, 5-mg - Easy Refills | Chewy Rx",65,"Selegiline is an oral prescription medication used to treat cognitive dysfunction and senility in older dogs. It can also be used to treat Cushing's disease when it is caused by a pituitary tumor. Its a generic alternative to Anipryl, and its the only FDA-approved drug for canine senility.",290,,"Selegiline HCl (Generic) Capsules, 5-mg, 60 Capsules",1,selegiline-hcl-generic-capsules-dogs,True,False,False,False,True,True,True,True,56,324,2,,,,,,,,,,,,,,1.0
PDP,Meta,Duplicate meta description,https://www.chewy.com/clomipramine-hcl-compounded-capsule/dp/997382,True,Make descriptions unique at the page/template level.,Clomipramine HCl is a tricyclic antidepressant that may be prescribed for a variety of behavior problems. Clomipramine HCl Compounded capsule is a blue and white elongated capsule made specifically for your pet.,"CLOMIPRAMINE HCL COMPOUNDED Capsule, 60 mg, 60 capsules for Veterinary use - Easy Refills | Chewy Rx",100,Clomipramine HCl is a tricyclic antidepressant that may be prescribed for a variety of behavior problems. Clomipramine HCl Compounded capsule is a blue and white elongated capsule made specifically for your pet.,211,,"Clomipramine HCl Compounded Capsule, 60 mg, 60 capsules for Veterinary use",1,clomipramine-hcl-compounded-capsule,True,False,False,False,True,True,True,True,66,329,2,,,,,,,,,,,,,,1.0
