page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog-/flea-and-tick,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy flea and tick,,,,,,,,,,,,,,,,,,,,,5,5,2.75,4,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/calming/calming-cats,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,calm cat,,,,,,,,,,,,,,,,,,,,,2,2,24.0,0,0,2,0,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/cat-/flea-and-tick,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy flea and tick for cats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/general/behavior-breeds-11-french-dog-breeds,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,french dog,,,,,,,,,,,,,,,,,,,,,4,3,,0,0,0,4,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/small-pet/rabbit/what-to-do-when-you-see-red-in-your-rabbits-urine,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,rabbit peeing blood,,,,,,,,,,,,,,,,,,,,,3,3,,0,0,0,3,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/pet-allergies/cat-allergies,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,signs of allergies cats chewy,,,,,,,,,,,,,,,,,,,,,1,1,6.0,1,0,0,0,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy blog,,,,,,,,,,,,,,,,,,,,,2,2,1.0,1,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/horse/grooming,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy dog grooming,,,,,,,,,,,,,,,,,,,,,2,2,3.0,1,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/bird/health-and-wellness/older-macaw-begins-to-lay-eggs,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,macaw eggs,,,,,,,,,,,,,,,,,,,,,3,2,,0,0,0,3,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/cat/food-and-nutrition/how-to-feed-a-cat-a-rotational-diet,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cat food rotation,,,,,,,,,,,,,,,,,,,,,1,1,18.0,0,1,0,0,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/health-and-wellness/signs-of-dog-poisoning,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy poison control,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/small-pet/ferret/ferret-body-language,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,ferret body language,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/health-and-wellness/pet-health-insurance-what-every-pet-parent-needs-to-know,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,pumpkin vs chewy,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/health-and-wellness/health-wellness-6-ways-to-naturally-freshen-your-dogs-breath,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog bad breath home remedy,,,,,,,,,,,,,,,,,,,,,5,5,13.8,2,2,1,0,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/cat/pet-parenting/do-cats-get-lonely-if-left-home-alone-all-day,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,do cats have a sense of time,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/bird/cockatiel/my-cockatiel-laid-an-egg-so-now-what,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cockatiel egg,,,,,,,,,,,,,,,,,,,,,10,8,,0,0,0,10,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/cat/health-and-wellness/heartworm-disease-in-cats-everything-you-need-to-know,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cat heartworm medicine,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/health-and-wellness/natural-flea-remedies-for-pets,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,home remedy for fleas in the yard,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/grooming/3-steps-untangle-matted-dog-hair,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,best way to detangle dog hair,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/horse-breeds/clydesdale-horse,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,clydesdale health problems,,,,,,,,,,,,,,,,,,,,,7,7,24.29,0,2,5,0,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/horse/grooming/how-to-de-shed-a-horse,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,horse shedding tools,,,,,,,,,,,,,,,,,,,,,3,3,,0,0,0,3,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/general/behavior-breeds-korean-jindo-dog-breed,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,jindo,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/small-pet/rabbit/is-your-rabbit-sick,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,signs of a sick bunny,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/cat/general/behavior-breeds-american-shorthair-cat-breed,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,american shorthair,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Editorial,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/education/dog/health-and-wellness/bordetella-vaccine-for-dogs-protecting-your-pooch-from-kennel-cough,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,bordetella,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
