page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/justfoodfordogs-sampler-frozen/dp/4018438,True,Set the canonical to the normalized self URL for eligible pages.,,"JUSTFOODFORDOGS Sampler Variety Box Frozen Human-Grade Fresh Dog Food, 18-oz pouch, case of 7 - Chewy.com",105,"Buy JustFoodForDogs Sampler Variety Box Frozen Human-Grade Fresh Dog Food, 18-oz pouch, case of 7 at Chewy.com. FREE shipping and the BEST customer service!",156,,"Bundle: JustFoodForDogs Sampler Variety Box Frozen Human-Grade Fresh Dog Food, 18-oz pouch, case of 7",1,justfoodfordogs-sampler-frozen,,False,False,False,True,True,True,True,43,307,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/earth-rated-hypoallergenic-grooming/dp/5006310,True,Set the canonical to the normalized self URL for eligible pages.,,"EARTH RATED Hypoallergenic Grooming Bundle: 3-in-1 Dog Grooming Wipes, Unscented, 100 count + Ear Wipes Wild Oat Scent, 70 count + Eye Wipes Fragrance Free, 70 count - Chewy.com",177,"Buy Earth Rated Hypoallergenic Grooming Bundle: 3-in-1 Dog Grooming Wipes, Unscented, 100 count + Ear Wipes Wild Oat Scent, 70 count + Eye Wipes Fragrance Free, 70 count at Chewy.com. FREE shipping and the BEST customer service!",228,,"Bundle: Earth Rated Hypoallergenic Grooming Bundle: 3-in-1 Dog Grooming Wipes, Unscented, 100 count + Ear Wipes Wild Oat Scent, 70 count + Eye Wipes Fragrance Free, 70 count",1,earth-rated-hypoallergenic-grooming,,False,False,False,True,True,True,False,31,307,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/heartgard-plus-chew-dogs-up-to-25-lbs/dp/393107,True,Set the canonical to the normalized self URL for eligible pages.,,"Heartgard Plus Chew for Dogs, up to 25 lbs, (Blue Box), 6 Chews (6-mos. supply) & NexGard Chew for Dogs, 24.1-60 lbs, (Purple Box), 6 Chews (6-mos. supply) - Easy Refills | Chewy Rx",181,**Your furry friend must have a current heartworm test result on file with your veterinarian in order to be prescribed heartworm medication. Please visit your veterinarian to have this test performed annually to protect your four-legged friend.** This combo purchase has what it takes to protect your pet from pesky pests! It includes Heartgard Plus Chews for Dogs and NexGard Chews for Dogs.,392,,"Bundle: Heartgard Plus Chew for Dogs, up to 25 lbs, (Blue Box), 6 Chews (6-mos. supply) & NexGard Chew for Dogs, 24.1-60 lbs, (Purple Box), 6 Chews (6-mos. supply)",1,heartgard-plus-chew-dogs-up-to-25-lbs,,False,False,False,True,True,True,False,9,312,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/rooster-booster-poultry-booster/dp/566406,True,Set the canonical to the normalized self URL for eligible pages.,,"ROOSTER BOOSTER Poultry Booster Pellet Vitamin Supplement, 1.25-lb Jar + Pick-No-More Cover Up Poultry Lotion, 4-oz bottle - Chewy.com",134,"Buy Rooster Booster Poultry Booster Pellet Vitamin Supplement, 1.25-lb Jar + Pick-No-More Cover Up Poultry Lotion, 4-oz bottle at Chewy.com. FREE shipping and the BEST customer service!",185,,"Bundle: Rooster Booster Poultry Booster Pellet Vitamin Supplement, 1.25-lb Jar + Pick-No-More Cover Up Poultry Lotion, 4-oz bottle",1,rooster-booster-poultry-booster,,False,False,False,True,True,True,False,27,305,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/kalmbach-feeds-all-natural-17-protein/dp/282114,True,Set the canonical to the normalized self URL for eligible pages.,,"Kalmbach Feeds All Natural 17% Protein Hi Omega Layer Crumbles Chicken Feed, 50-lb bag & Brown's Dried Mealworms for Wild Birds & Chickens, 3-oz bag - Chewy.com",160,"Buy Kalmbach Feeds All Natural 17% Protein Hi Omega Layer Crumbles Chicken Feed, 50-lb bag & Brown's Dried Mealworms for Wild Birds & Chickens, 3-oz bag at Chewy.com. FREE shipping and the BEST customer service!",211,,"Bundle: Kalmbach Feeds All Natural 17% Protein Hi Omega Layer Crumbles Chicken Feed, 50-lb bag & Brown's Dried Mealworms for Wild Birds & Chickens, 3-oz bag",1,kalmbach-feeds-all-natural-17-protein,,False,False,False,True,True,True,True,31,307,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/new-age-pet-ecoflex-two-120g-reptile/dp/3646974,True,Set the canonical to the normalized self URL for eligible pages.,,"NEW AGE PET ECOFLEX Two 120g Reptile Enclosures Setup with Versa Stand, Grey - Chewy.com",88,"Buy New Age Pet ECOFLEX Two 120g Reptile Enclosures Setup with Versa Stand, Grey at Chewy.com. FREE shipping and the BEST customer service!",139,,"Bundle: New Age Pet ECOFLEX Two 120g Reptile Enclosures Setup with Versa Stand, Grey",1,new-age-pet-ecoflex-two-120g-reptile,,False,False,False,True,True,True,True,42,305,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/new-age-pet-ecoflex-two-120g-reptile/dp/3647054,True,Set the canonical to the normalized self URL for eligible pages.,,"NEW AGE PET ECOFLEX Two 120g Reptile Enclosures Setup without Stand, Grey - Chewy.com",85,"Buy New Age Pet ECOFLEX Two 120g Reptile Enclosures Setup without Stand, Grey at Chewy.com. FREE shipping and the BEST customer service!",136,,"Bundle: New Age Pet ECOFLEX Two 120g Reptile Enclosures Setup without Stand, Grey",1,new-age-pet-ecoflex-two-120g-reptile,,False,False,False,True,True,True,True,36,305,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/equus-magnificus-german-horse-muffin/dp/328223,True,Set the canonical to the normalized self URL for eligible pages.,,"EQUUS MAGNIFICUS The German Horse Muffin Molasses + Low Starch, Low Sugar Beet Horse Treats - Chewy.com",103,"Buy Equus Magnificus The German Horse Muffin Molasses + Low Starch, Low Sugar Beet Horse Treats at Chewy.com. FREE shipping and the BEST customer service!",154,,"Bundle: Equus Magnificus The German Horse Muffin Molasses + Low Starch, Low Sugar Beet Horse Treats",1,equus-magnificus-german-horse-muffin,,False,False,False,True,True,True,True,33,306,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/manna-pro-bite-size-nuggets-apple/dp/328329,True,Set the canonical to the normalized self URL for eligible pages.,,MANNA PRO Bite-Size Nuggets Apple + Peppermint Flavor Horse Treats - Chewy.com,78,Buy Manna Pro Bite-Size Nuggets Apple + Peppermint Flavor Horse Treats at Chewy.com. FREE shipping and the BEST customer service!,129,,Bundle: Manna Pro Bite-Size Nuggets Apple + Peppermint Flavor Horse Treats,1,manna-pro-bite-size-nuggets-apple,,False,False,False,True,True,True,False,27,306,2,,,,,,,,,,,,,,
PDP,Index,Missing self-referencing canonical,https://www.chewy.com/variety-pack-chewy-filled-crunchy-cat/dp/3252934,True,Set the canonical to the normalized self URL for eligible pages.,,"Variety Pack - Chewy Made Filled Crunchy Cat Treats, Catnip Flavor, Chicken Flavor, & Tuna Flavor (FORMERLY TINY TIGER) - Chewy.com",131,"Buy Variety Pack - Chewy Made Filled Crunchy Cat Treats, Catnip Flavor, Chicken Flavor, & Tuna Flavor (FORMERLY TINY TIGER) at Chewy.com. FREE shipping and the BEST customer service!",182,,"Bundle: Variety Pack - Chewy Made Filled Crunchy Cat Treats, Catnip Flavor, Chicken Flavor, & Tuna Flavor (FORMERLY TINY TIGER)",1,variety-pack-chewy-filled-crunchy-cat,,False,False,False,True,True,True,True,25,311,2,,,,,,,,,,,,,,
