page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/plastic-cat-balls-chaser-toys_c329_f7v17023,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,PLASTIC CAT BALLS & CHASER TOYS (Free Shipping) | Chewy,55,"Shop Chewy for the best deals on Plastic Cat Balls & Chaser Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Plastic Cat Balls & Chaser Toys for your pet.",243,cat balls and chaser toys,Plastic Cat Balls & Chaser Toys,1,plastic-cat-balls-chaser-toys,True,True,False,False,True,False,False,False,26,356,2,,,,,,,3,3,,0,0,0,3,1.0
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/temptations-cat-treats_c391_f1v388696,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,TEMPTATIONS CAT TREATS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Temptations Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Temptations Cat Treats for your pet.",225,chewy cat treats,Temptations Cat Treats,1,temptations-cat-treats,True,True,False,False,True,False,False,False,2,368,3,,,,,,,7,6,19.8,1,2,2,2,3.0
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/large-dog-elevated-bowls_c1423_f6v13792,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,ELEVATED DOG BOWLS FOR LARGE DOGS | CHEWY,41,"Compare elevated dog bowls for large dogs, with raised bowl stands designed for comfortable meals, steadier placement, easier access, and less bending.",151,large dog elevated bowls,Elevated Dog Bowls for Large Dogs,1,large-dog-elevated-bowls,True,True,False,False,True,False,False,True,36,367,3,,,,,,,7,6,10.33,4,1,1,1,14.0
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/black-friday-deals-on-dog-toys_c2810_f164v829800,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,black friday deals on dog chew toys,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/bearded-dragon-feeding-tongs_c13998_f164v829798,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,BEARDED DRAGON FEEDING TONGS (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Bearded Dragon Feeding Tongs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Bearded Dragon Feeding Tongs for your pet.",237,bearded dragon feeding tongs,Bearded Dragon Feeding Tongs,1,bearded-dragon-feeding-tongs,True,True,False,False,True,False,False,False,18,322,3,,,,,,,2,2,,0,0,0,2,1.0
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/kidney-care-cat-food_c387_f50v63773,True,"Review lost terms for relevance, indexability, and SERP intent fit.",4,KIDNEY CARE CAT FOOD (Free Shipping) | Chewy,44,"Shop Chewy for the best deals on Kidney Care Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Kidney Care Cat Food for your pet.",221,cat kidney food,Kidney Care Cat Food,1,kidney-care-cat-food,True,True,False,False,True,False,False,True,998,397,2,,,,,,,23,22,4.0,19,0,0,4,87.0
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/brain-health-dry-dog-food_c294_f50v63775,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,BRAIN HEALTH DRY DOG FOOD (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Brain Health Dry Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Brain Health Dry Dog Food for your pet.",231,dog food for brain health,Brain Health Dry Dog Food,1,brain-health-dry-dog-food,True,True,False,False,True,False,False,False,268,400,2,,,,,,,10,10,4.0,8,0,1,1,4.0
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/exclusively-dog-dog-treats_c335_f1v469849,False,"Review lost terms for relevance, indexability, and SERP intent fit.",3,,,,,exclusively dog,,,,,,,,,,,,,,,,,,,,,5,5,10.0,1,1,0,3,
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/small-dog-toys_c315_f6v13790,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,SMALL DOG TOYS (Free Shipping) | Chewy,38,"Explore small dog toys sized for little mouths, with dog toys for small dogs made for chewing, fetching, tugging, cuddling, and enrichment at home.",147,small dog toys,Small Dog Toys,1,small-dog-toys,True,True,False,False,True,False,False,True,1333,410,2,good,1687.0,poor,0.44499999999999995,,,10,10,14.14,3,3,1,3,11.0
HVF,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/f/organic-cat-treats_c391_f3v9078,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,ORGANIC CAT TREATS: BEST ORGANIC CAT TREATS | CHEWY,51,"Choose organic cat treats made with healty, natural ingredients and fewer additives. Get free shipping on orders $49+ and save more with autoship today!",152,organic cat treats,Organic Cat Treats,1,organic-cat-treats,True,True,False,False,True,False,False,False,238,374,2,,,,,,,2,2,10.0,1,0,0,1,4.0
