page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Meta,Duplicate page title,https://www.chewy.com/f/joint-support-horses_c1691_f50v13679,True,Make titles unique at the page/template level.,JOINT SUPPORT FOR HORSES | CHEWY,JOINT SUPPORT FOR HORSES | CHEWY,32,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,horse soreness relief,Joint Support For Horses,1,joint-support-horses,True,True,False,False,True,False,False,False,36,345,2,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/dog-bristle-brushes_c355_f70v83784,True,Make titles unique at the page/template level.,DOG BRISTLE BRUSHES (Free Shipping) | Chewy,DOG BRISTLE BRUSHES (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on Dog Bristle Brushes and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dog Bristle Brushes for your pet.",219,,Dog Bristle Brushes,1,dog-bristle-brushes,True,True,False,False,True,False,False,False,171,363,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/mesh-dog-carriers-travel-accessories_c371_f7v265760,True,Make titles unique at the page/template level.,MESH DOG CARRIERS (Free Shipping) | Chewy,MESH DOG CARRIERS (Free Shipping) | Chewy,41,"Shop Chewy for the best deals on Mesh Dog Carriers and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Mesh Dog Carriers for your pet.",215,mesh dog carriers,Mesh Dog Carriers,1,mesh-dog-carriers-travel-accessories,True,True,False,False,True,False,False,False,162,372,2,,,,,,,2,2,5.0,2,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/stainless-steel-dog-feeders-waterers_c338_f7v17020,True,Make titles unique at the page/template level.,STAINLESS STEEL DOG FEEDERS & WATERERS (Free Shipping) | Chewy,STAINLESS STEEL DOG FEEDERS & WATERERS (Free Shipping) | Chewy,62,"Shop Chewy for the best deals on Stainless Steel Dog Bowls & Feeders and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Stainless Steel Dog Bowls & Feeders for your pet.",251,stainless steel dog water bowls,Stainless Steel Dog Feeders & Waterers,1,stainless-steel-dog-feeders-waterers,True,True,False,False,True,False,False,True,212,395,2,,,,,,,5,4,16.4,1,3,1,0,8.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/sensitive-stomach-wet-cat-food_c389_f50v875440,True,Make titles unique at the page/template level.,WET CAT FOOD FOR SENSITIVE STOMACH | CHEWY,WET CAT FOOD FOR SENSITIVE STOMACH | CHEWY,42,"Shop Chewy for wet cat food for sensitive stomach, with fast free shipping, low prices, and award-winning customer service.",123,wet cat food for sensitive stomach,Sensitive Stomach Wet Cat Food,1,sensitive-stomach-wet-cat-food,True,True,False,False,True,False,False,True,421,388,2,,,,,,,19,19,6.53,14,4,1,0,36.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/new-york-giants-dog-jerseys_c1470_f47v85587,True,Make titles unique at the page/template level.,NEW YORK GIANTS DOG JERSEYS (Free Shipping) | Chewy,NEW YORK GIANTS DOG JERSEYS (Free Shipping) | Chewy,51,"""Shop Chewy for the best deals on Giants Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Giants Dog Jerseys for your pet.""",219,new york giants dog jerseys,Giants Dog Jerseys,1,new-york-giants-dog-jerseys,True,True,False,False,True,False,False,False,378,446,2,,,,,,,3,3,2.5,2,0,0,1,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/las-vegas-raiders-dog-jerseys_c1470_f47v835643,True,Make titles unique at the page/template level.,LAS VEGAS RAIDERS DOG JERSEYS (Free Shipping) | Chewy,LAS VEGAS RAIDERS DOG JERSEYS (Free Shipping) | Chewy,53,"Shop Chewy for the best deals on Raiders Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Raiders Dog Jerseys for your pet.",219,,Raiders Dog Jerseys,1,las-vegas-raiders-dog-jerseys,True,True,False,False,True,False,False,False,378,440,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/philadelphia-flyers-dog-clothing_c1470_f47v459732,True,Make titles unique at the page/template level.,PHILADELPHIA FLYERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,PHILADELPHIA FLYERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,70,"""Shop Chewy for the best deals on Philadelphia Flyers Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Philadelphia Flyers Dog Clothing & Accessories for your pet.""",275,philadelphia flyers dog clothing,Philadelphia Flyers Dog Clothing & Accessories,1,philadelphia-flyers-dog-clothing,True,True,False,False,True,False,False,False,384,437,2,,,,,,,1,1,3.0,1,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/buffalo-sabres-dog-clothing_c1470_f47v459739,True,Make titles unique at the page/template level.,BUFFALO SABRES DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,BUFFALO SABRES DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,65,"""Shop Chewy for the best deals on Buffalo Sabres Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Buffalo Sabres Dog Clothing & Accessories for your pet.""",265,buffalo sabres dog clothing,Buffalo Sabres Dog Clothing & Accessories,1,buffalo-sabres-dog-clothing,True,True,False,False,True,False,False,False,372,435,2,,,,,,,1,1,3.0,1,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/los-angeles-kings-dog-clothing_c1470_f47v459733,True,Make titles unique at the page/template level.,LOS ANGELES KINGS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,LOS ANGELES KINGS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,68,"""Shop Chewy for the best deals on Los Angeles Kings Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Los Angeles Kings Dog Clothing & Accessories for your pet.""",271,los angeles kings dog clothing,Los Angeles Kings Dog Clothing & Accessories,1,los-angeles-kings-dog-clothing,True,True,False,False,True,False,False,False,372,436,2,,,,,,,1,1,1.0,1,0,0,0,1.0
