page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Links,Below inlink target,https://www.chewy.com/f/cerenia-dog-anti-anxiety-medicine_c11580_f1v250834,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",1,CERENIA FOR DOGS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Cerenia for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cerenia for Dogs for your pet.",213,,Cerenia for Dogs,1,cerenia-dog-anti-anxiety-medicine,,False,False,False,True,False,False,False,1,314,2,,,,,,,,,,,,,,
HVF,Links,Below inlink target,https://www.chewy.com/f/high-protein-chicken-treats_c12995_f3v84890,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",9,HIGH-PROTEIN CHICKEN TREATS (Free Shipping) | Chewy,51,"Shop Chewy for the best deals on High-Protein Chicken Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right High-Protein Chicken Treats for your pet.",235,high protein chicken treats,High-Protein Chicken Treats,1,high-protein-chicken-treats,True,True,False,False,True,False,False,False,9,352,2,,,,,,,1,1,5.0,1,0,0,0,1.0
HVF,Links,Below inlink target,https://www.chewy.com/f/natural-chicken-treats_c12995_f3v716857,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",9,NATURAL CHICKEN TREATS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Natural Chicken Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Natural Chicken Treats for your pet.",225,,Natural Chicken Treats,1,natural-chicken-treats,True,True,False,False,True,False,False,False,9,351,2,,,,,,,,,,,,,,1.0
HVF,Links,Below inlink target,https://www.chewy.com/f/organic-chicken-treats_c12995_f3v9078,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",9,ORGANIC CHICKEN TREATS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Organic Chicken Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Organic Chicken Treats for your pet.",225,organic chicken treats,Organic Chicken Treats,1,organic-chicken-treats,True,True,False,False,True,False,False,False,9,327,2,,,,,,,1,1,13.0,0,1,0,0,1.0
HVF,Links,Below inlink target,https://www.chewy.com/f/dog-ear-mite-cleaner_c361_f50v373230,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",3,DOG EAR MITE CLEANER (Free Shipping) | Chewy,44,"Shop Chewy for the best deals on Dog Ear Mite Cleaner and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dog Ear Mite Cleaner for your pet.",221,,Dog Ear Mite Cleaner,1,dog-ear-mite-cleaner,True,True,False,False,True,False,False,False,3,318,2,,,,,,,,,,,,,,1.0
HVF,Links,Below inlink target,https://www.chewy.com/f/liquid-probiotics-cats_c1577_f83v20482,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",5,LIQUID PROBIOTICS FOR CATS (Free Shipping) | Chewy,50,"Shop Chewy for the best deals on Liquid Probiotics for Cats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Liquid Probiotics for Cats for your pet.",233,digestive health and probiotic liquid and gel supplements for cats,Liquid Probiotics for Cats,1,liquid-probiotics-cats,True,True,False,False,True,False,False,False,5,346,2,,,,,,,2,2,2.0,2,0,0,0,3.0
HVF,Links,Below inlink target,https://www.chewy.com/f/pumpkin-flavored-cat-digestive-health_c1577_f4v20055,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",5,PUMPKIN FLAVORED CAT DIGESTIVE HEALTH SUPPLEMENTS (Free Shipping) | Chewy,73,"Shop Chewy for the best deals on Pumpkin Flavored Cat Digestive Health Supplements and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Pumpkin Flavored Cat Digestive Health Supplements for your pet.",279,pumpkin flavored cat digestive health,Pumpkin Flavored Cat Digestive Health Supplements,1,pumpkin-flavored-cat-digestive-health,True,True,False,False,True,False,False,False,5,327,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Links,Below inlink target,https://www.chewy.com/f/apoquel-dog-allergy-medicine_c11568_f1v464442,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,APOQUEL FOR DOGS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Apoquel for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Apoquel for Dogs for your pet.",213,,Apoquel for Dogs,1,apoquel-dog-allergy-medicine,,False,False,False,True,False,False,False,6,316,2,,,,,,,,,,,,,,
HVF,Links,Below inlink target,https://www.chewy.com/f/atopica-dog-allergy-medicine_c11568_f1v259871,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",3,ATOPICA FOR DOGS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Atopica for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Atopica for Dogs for your pet.",213,,Atopica for Dogs,1,atopica-dog-allergy-medicine,,False,False,False,True,False,False,False,3,314,2,,,,,,,,,,,,,,
HVF,Links,Below inlink target,https://www.chewy.com/f/liquid-allergy-medicine-dogs_c11568_f83v20482,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,LIQUID ALLERGY MEDICINE FOR DOGS (Free Shipping) | Chewy,56,"Shop Chewy for the best deals on Liquid Allergy Medicine for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Liquid Allergy Medicine for Dogs for your pet.",245,liquid allergy medicine dogs,Liquid Allergy Medicine for Dogs,1,liquid-allergy-medicine-dogs,True,True,False,False,True,False,False,False,4,337,2,,,,,,,1,1,6.0,1,0,0,0,1.0
