page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,H1,H1 is too generic,https://www.chewy.com/b/catnip-1555,True,Make the H1 more descriptive of the page intent.,Catnip,Catnip - Catnip Cat Treats & More | Chewy,41,"Shop Catnip and Cat Treats with Catnip at Chewy. We offer a wide selection from top brands like Temptations, Meowijuana, Frisco & more for playful feline fun.",158,catnip,Catnip,1,catnip,True,True,False,False,True,False,False,True,318253,348,1,good,1628.0,poor,0.495,,,4,4,22.67,0,1,2,1,8.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/summer-shop-2338,True,Make the H1 more descriptive of the page intent.,Summer Shop,Summer Shop - Free shipping | Chewy,35,Shop Chewy for low prices and the best Summer Shop! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Summer Shop,1,summer-shop,True,False,False,False,True,False,False,False,203,334,1,good,1782.0,good,0.0,,,,,,,,,,4.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/bird-shop-12930,True,Make the H1 more descriptive of the page intent.,Bird Shop,Bird Shop | Chewy,17,"Shop Chewy for low prices and the best Shop by Bird! We carry a large selection and the top brands like A&E Cage Company, Fluconazole Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",254,shop by bird,Bird Shop,1,bird-shop,True,True,False,False,True,False,False,False,6979,364,2,,,,,,,2,2,11.0,1,1,0,0,5.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/fish-shop-122086,True,Make the H1 more descriptive of the page intent.,Fish Shop,Shop By Fish Type | Chewy,25,"Shop Chewy for low prices and the best Shop by Fish Type! We carry a large selection and the top brands like Underwater Treasures, Penn-Plax, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",250,,Fish Shop,1,fish-shop,False,False,False,False,True,False,False,False,3407,365,2,,,,,,,,,,,,,,1.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/reptile-shop-13993,True,Make the H1 more descriptive of the page intent.,Reptile Shop,Reptile Shop | Chewy,20,"Shop Chewy for low prices and the best Shop All Categories! We carry a large selection and the top brands like Zoo Med, Fluker's, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,chewy reptile,Reptile Shop,1,reptile-shop,False,False,False,False,True,False,False,False,1183,368,2,,,,,,,1,1,,0,0,0,1,1.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/halloween-shop-2026,True,Make the H1 more descriptive of the page intent.,Halloween Shop,"Halloween Pet Supplies: Costumes, Toys & More (Free Shipping) | Chewy",69,"Boo! Shop Chewy's 2024 Halloween Shop for the best dog and cat Halloween costumes, toys, treats, bandanas & more. Free shipping on orders $49+ and the BEST customer service.",173,halloween pet shop,Halloween Shop,1,halloween-shop,True,True,False,False,True,False,False,False,459,366,3,good,1733.0,needs,0.19,,,4,4,3.0,1,0,0,3,2.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/birthday-shop-2700,True,Make the H1 more descriptive of the page intent.,Birthday Shop,Pet Birthday Gifts For Dogs & Cats - Free Shipping | Chewy,58,"Shop Chewy for low prices and the best Birthday Shop! We carry a large selection and the top brands like Frisco, GoTags, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",229,chewy celebrate,Birthday Shop,1,birthday-shop,True,True,False,False,True,False,False,False,146,362,3,good,1844.0,good,0.01,,,1,1,4.0,1,0,0,0,7.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/backpacks-124798,True,Make the H1 more descriptive of the page intent.,Backpacks,Backpacks - Free shipping | Chewy,33,"Shop Chewy for low prices and the best Backpacks products! We carry a large selection and the top brands like Ruffsack, Non-stop Dogwear, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",246,,Backpacks,1,backpacks,True,True,False,False,True,False,False,False,22,351,3,,,,,,,,,,,,,,1.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/chewy-vet-care-treats-168726,True,Make the H1 more descriptive of the page intent.,Treats,Treats - Free shipping | Chewy,30,Shop Chewy for low prices and the best Chewy Vet Care Treats! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,238,,Treats,1,chewy-vet-care-treats,True,True,False,False,True,False,False,False,2,315,4,,,,,,,,,,,,,,1.0
Browse,H1,H1 is too generic,https://www.chewy.com/b/decorate-13061,True,Make the H1 more descriptive of the page intent.,Decorate,Decorate - Free shipping | Chewy,32,"Shop Chewy for low prices and the best Decorate products! We carry a large selection and the top brands like E&S PETS, PGS, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",232,,Decorate,1,decorate,,False,False,False,True,False,False,False,354,354,4,,,,,,,,,,,,,,
