page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/chewy-made-cat-supplies-3434318,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Chewy Made™ Cat Supplies | Chewy Exclusive Brand,48,"Shop Cat Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Cat Food and Treats, Waste Management and more. Get free shipping today on orders $49+!",157,cat food chewy,Chewy Made Cat Supplies,1,chewy-made-cat-supplies,True,True,False,False,True,False,False,True,344,362,2,good,1720.0,good,0.019999999999999997,,,23,23,19.67,0,9,9,5,2.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/chewy-made-dog-supplies-3434310,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Chewy Made™ Dog Supplies | Chewy Exclusive Brand,48,"Shop Dog Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Dog Food, Treats, Toys, and Waste Management supplies. Free shipping on orders $49+!",154,chewy dog,Chewy Made Dog Supplies,1,chewy-made-dog-supplies,True,True,False,False,True,False,False,True,170,365,2,,,,,,,11,10,27.67,0,0,3,8,2.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/trees-scratchers-10594,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Frisco Trees & Scratchers for Cats - Free shipping | Chewy,58,Shop Chewy for low prices and the best Trees & Scratchers! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,chewy cat scratcher,Frisco Trees & Scratchers for Cats,1,trees-scratchers,True,True,False,False,True,False,False,False,91,343,3,,,,,,,2,2,,0,0,0,2,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/chewy-made-cat-treats-3434422,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Chewy Made™ Cat Treats | Chewy Exclusive Brand,46,"Shop Cat Treats from Chewy Made™, a Chewy Exclusive Brand. Same great taste and recipes, now with a new look! Get free shipping today on orders $49+.",149,chewy exclusive cat treats,Chewy Made Cat Treats,1,chewy-made-cat-treats,True,True,False,False,True,False,False,False,9,333,2,,,,,,,1,1,,0,0,0,1,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/chewy-made-lickable-cat-treats-4285646,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Chewy Made™ Lickable Cat Treats | Chewy Exclusive Brand,55,"Shop Lickable Cat Treats from Chewy Made™, a Chewy Exclusive Brand. Discover chicken, tuna and salmon puree recipes in grain-free varieties. Free shipping on orders $49+!",170,chewy exclusive cat treats,Chewy Made Lickable Cat Treats,1,chewy-made-lickable-cat-treats,True,True,False,False,True,False,False,False,3,326,3,,,,,,,1,1,,0,0,0,1,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/chewy-made-dog-dental-treats-4286062,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Chewy Made™ Dog Dental Treats | Chewy Exclusive Brand,53,"Shop Dental Dog Treats from Chewy Made™, a Chewy Exclusive Brand. Discover Beef, Bacon, Peanut Butter and Mint flavored dental chews for dogs to support your pup's health, happiness and fresh breath!",199,chewy exclusive dog dental treats,Chewy Made Dog Dental Treats,1,chewy-made-dog-dental-treats,True,True,False,False,True,False,False,False,4,311,3,,,,,,,1,1,18.0,0,1,0,0,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/wet-food-13836,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,American Journey Landmark Wet Food for Cats - Free shipping | Chewy,67,Shop Chewy for low prices and the best Wet Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,american journey for cats,American Journey Landmark Wet Food for Cats,1,wet-food,True,True,False,False,True,False,False,False,1,312,6,,,,,,,4,4,21.0,0,1,1,2,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/beef-bone-treats-12657,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Bones & Chews Made in USA Beef Bone Dog Treats - Free shipping | Chewy,70,Shop Chewy for low prices and the best Beef Bone Treats! We carry a large selection and the top brands like Bones & Chews and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,bones and chews made in usa beef bone dog treats,Bones & Chews Made in USA Beef Bone Dog Treats,1,beef-bone-treats,True,True,False,False,True,False,False,False,1,310,5,,,,,,,2,2,15.5,0,2,0,0,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/leashes-collars-harnesses-13835,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"Frisco Leashes, Collars & Harnesses for Dogs - Free shipping | Chewy",68,"Shop Chewy for low prices and the best Leashes, Collars & Harnesses! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,frisco leashes,"Frisco Leashes, Collars & Harnesses for Dogs",1,leashes-collars-harnesses,True,True,False,False,True,False,False,False,42,343,4,,,,,,,1,1,,0,0,0,1,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/personalized-bowls-12896,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Frisco Personalized Dog Bowls - Free shipping | Chewy,53,Shop Chewy for low prices and the best Personalized Bowls! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,frisco personalized dog bowls,Frisco Personalized Dog Bowls,1,personalized-bowls,True,True,False,False,True,False,False,False,2,339,5,,,,,,,1,1,,0,0,0,1,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/puzzles-12884,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Frisco Puzzles - Free shipping | Chewy,38,Shop Chewy for low prices and the best Puzzles products! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,223,frisco puzzles,Frisco Puzzles,1,puzzles,True,True,False,False,True,False,False,False,2,307,4,,,,,,,1,1,24.0,0,0,1,0,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/petlab-extractos-13131,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,PetLab Extractos - Free shipping | Chewy,40,Shop Chewy for low prices and the best PetLab Extractos! We carry a large selection and the top brands like PetLab Extractos and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,petlab extractos,PetLab Extractos,1,petlab-extractos,True,True,False,False,True,False,False,False,3,305,3,,,,,,,1,1,,0,0,0,1,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/immune-system-allergy-107310,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Vibeful Allergy & Immune - Free shipping | Chewy,48,Shop Chewy for low prices and the best Immune System & Allergy! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,vibeful allergy & immune,Vibeful Allergy & Immune,1,immune-system-allergy,True,True,False,False,True,False,False,False,13,307,3,,,,,,,3,2,11.0,0,1,0,2,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/multivitamins-107294,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Vibeful Multivitamins - Free shipping | Chewy,45,Shop Chewy for low prices and the best Multivitamins products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,239,vibeful multivitamins,Vibeful Multivitamins,1,multivitamins,True,True,False,False,True,False,False,False,12,314,3,,,,,,,1,1,,0,0,0,1,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/worlds-best-7757,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,World's Best Cat Litter & Kitty Litter | Chewy,46,"Discover World's Best Cat Litter on Chewy, with a range of options to choose from and tens of thousands of customer reviews. Get free shipping now on orders $49+!",162,cat litter chewy,World's Best Cat Litter Long Lasting Odor Control,2,worlds-best,False,False,False,False,True,False,False,True,1,316,3,,,,,,,2,2,18.5,0,2,0,0,
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/arm-hammer-litter-6457,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Arm & Hammer Litter for Cats - Free shipping | Chewy,52,Shop Chewy for low prices and the best Arm & Hammer Litter! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,236,arm and hammer multi-cat strength litter for cats,Arm & Hammer Litter for Cats Plant-based performance with lasting freshness,2,arm-hammer-litter,False,False,False,False,True,False,False,True,1,340,3,,,,,,,8,7,18.83,0,3,3,2,
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/clumping-157846,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Fresh Step Clumping Cat Litter - Free shipping | Chewy,54,Shop Chewy for low prices and the best Clumping products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,chewy cat litter,Fresh Step Clumping Cat Litter,1,clumping,True,True,False,False,True,False,False,False,1,315,3,,,,,,,1,1,26.0,0,0,1,0,1.0
Brand,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/brands/dry-cat-food-13864,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Fancy Feast Dry Cat Food - Free Shipping | Chewy,48,"Discover Fancy Feast Dry Cat Food at Chewy, with grain-free, chicken-free, and high protein options. Free shipping on orders $49+!",130,fancy feast dry cat food,Fancy Feast Dry Cat Food,1,dry-cat-food,True,True,False,False,True,False,False,True,5,310,3,,,,,,,3,3,16.67,0,3,0,0,4.0
