page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/high-protein-chicken-treats_c12995_f3v84890,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,HIGH-PROTEIN CHICKEN TREATS (Free Shipping) | Chewy,51,"Shop Chewy for the best deals on High-Protein Chicken Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right High-Protein Chicken Treats for your pet.",235,high protein chicken treats,High-Protein Chicken Treats,1,high-protein-chicken-treats,True,True,False,False,True,False,False,False,9,352,2,,,,,,,1,1,5.0,1,0,0,0,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/natural-chicken-treats_c12995_f3v716857,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,NATURAL CHICKEN TREATS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Natural Chicken Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Natural Chicken Treats for your pet.",225,,Natural Chicken Treats,1,natural-chicken-treats,True,True,False,False,True,False,False,False,9,351,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/organic-chicken-treats_c12995_f3v9078,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,ORGANIC CHICKEN TREATS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Organic Chicken Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Organic Chicken Treats for your pet.",225,organic chicken treats,Organic Chicken Treats,1,organic-chicken-treats,True,True,False,False,True,False,False,False,9,327,2,,,,,,,1,1,13.0,0,1,0,0,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/rope-dog-chew-toys_c316_f7v63632,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,ROPE CHEW TOYS FOR DOGS (Free Shipping) | Chewy,47,"Shop Chewy for the best deals on Rope Chew Toys for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Rope Chew Toys for Dogs for your pet.",227,,Rope Chew Toys for Dogs,1,rope-dog-chew-toys,True,True,False,False,True,False,False,False,300,367,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/extra-small-toy-breeds-dog-rope-tug_c321_f6v13789,True,Use this cohort to prioritize pages with the largest reachable audience gap.,2.0,ROPE & TUG TOYS FOR EXTRA SMALL DOGS (Free Shipping) | Chewy,60,"Shop Chewy for the best deals on Rope & Tug Toys for Extra Small Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Rope & Tug Toys for Extra Small Dogs for your pet.",253,extra small toy breeds dog rope tug,Rope & Tug Toys for Extra Small Dogs,1,extra-small-toy-breeds-dog-rope-tug,True,True,False,False,True,False,False,False,24,329,2,,,,,,,1,1,3.0,1,0,0,0,2.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/tug-toys-small-dogs_c321_f6v13790,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,TUG TOYS FOR SMALL DOGS (Free Shipping) | Chewy,47,"Shop Chewy for the best deals on Tug Toys for Small Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tug Toys for Small Dogs for your pet.",227,,Tug Toys for Small Dogs,1,tug-toys-small-dogs,True,True,False,False,True,False,False,False,44,367,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/tug-toys-medium-dogs_c321_f6v13791,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,TUG TOYS FOR MEDIUM DOGS (Free Shipping) | Chewy,48,"Shop Chewy for the best deals on Tug Toys for Medium Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tug Toys for Medium Dogs for your pet.",229,,Tug Toys for Medium Dogs,1,tug-toys-medium-dogs,True,True,False,False,True,False,False,False,44,369,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/large-dog-rope-tug-toys_c321_f6v13792,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,LARGE DOG ROPE & TUG TOYS (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Large Dog Rope & Tug Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Large Dog Rope & Tug Toys for your pet.",231,,Large Dog Rope & Tug Toys,1,large-dog-rope-tug-toys,True,True,False,False,True,False,False,False,44,369,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/giant-dog-rope-tug-toys_c321_f6v13793,True,Use this cohort to prioritize pages with the largest reachable audience gap.,6.0,ROPE & TUG TOYS FOR EXTRA LARGE DOGS (Free Shipping) | Chewy,60,"Shop Chewy for the best deals on Rope & Tug Toys for Extra Large Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Rope & Tug Toys for Extra Large Dogs for your pet.",253,rope toys for large dogs,Rope & Tug Toys for Extra Large Dogs,1,giant-dog-rope-tug-toys,True,True,False,False,True,False,False,False,29,343,2,,,,,,,3,3,4.0,3,0,0,0,6.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/squeaky-tug-toys-dogs_c321_f58v70047,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,SQUEAKY TUG TOYS FOR DOGS (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Squeaky Tug Toys for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Squeaky Tug Toys for Dogs for your pet.",231,,Squeaky Tug Toys for Dogs,1,squeaky-tug-toys-dogs,True,True,False,False,True,False,False,False,44,369,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/dental-dog-rope-tug-toys_c321_f58v370714,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,DENTAL ROPE & TUG TOYS FOR DOGS (Free Shipping) | Chewy,55,"Shop Chewy for the best deals on Dental Rope & Tug Toys for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dental Rope & Tug Toys for Dogs for your pet.",243,,Dental Rope & Tug Toys for Dogs,1,dental-dog-rope-tug-toys,True,True,False,False,True,False,False,False,39,365,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/training-dog-rope-tug-toys_c321_f58v370691,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,TRAINING ROPE & TUG TOYS FOR DOGS (Free Shipping) | Chewy,57,"Shop Chewy for the best deals on Training Rope & Tug Toys for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Training Rope & Tug Toys for Dogs for your pet.",247,,Training Rope & Tug Toys for Dogs,1,training-dog-rope-tug-toys,True,True,False,False,True,False,False,False,39,358,2,,,,,,,,,,,,,,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/outdoor-tug-toys-dogs_c321_f58v658394,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,OUTDOOR TUG TOYS FOR DOGS (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Outdoor Tug Toys for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Outdoor Tug Toys for Dogs for your pet.",231,outdoor tug toys dogs,Outdoor Tug Toys for Dogs,1,outdoor-tug-toys-dogs,True,True,False,False,True,False,False,False,43,368,2,,,,,,,1,1,10.0,1,0,0,0,1.0
HVF,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/f/crinkle-dog-rope-tug-toys_c321_f58v370694,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,CRINKLE ROPE & TUG TOYS FOR DOGS (Free Shipping) | Chewy,56,"Shop Chewy for the best deals on Crinkle Rope & Tug Toys for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Crinkle Rope & Tug Toys for Dogs for your pet.",245,crinkle dog rope tug toys,Crinkle Rope & Tug Toys for Dogs,1,crinkle-dog-rope-tug-toys,True,True,False,False,True,False,False,False,39,354,2,,,,,,,1,1,,0,0,0,1,1.0
