page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/temptations-7577,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands,False,Push near-page-one terms with title/H1/meta/linking improvements.,18,,,,,shop as seen on tv dog supplies,,,,,,,,,,,,,,,,,,,,,100,95,19.13,18,18,42,22,
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/chewy-made-cat-supplies-3434318,True,Push near-page-one terms with title/H1/meta/linking improvements.,9,Chewy Made™ Cat Supplies | Chewy Exclusive Brand,48,"Shop Cat Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Cat Food and Treats, Waste Management and more. Get free shipping today on orders $49+!",157,cat food chewy,Chewy Made Cat Supplies,1,chewy-made-cat-supplies,True,True,False,False,True,False,False,True,344,362,2,good,1720.0,good,0.019999999999999997,,,23,23,19.67,0,9,9,5,2.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/chewy-made-170606,True,Push near-page-one terms with title/H1/meta/linking improvements.,6,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/chewy-made-dog-treats-3434382,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,Chewy Made Dog Treats | Chewy Exclusive Brand,45,"Shop Dog Treats & Dog Bones from Chewy Made, a Chewy Exclusive Brand. Now offering everything from Dental Sticks to Marrow Bones, Crunchy Biscuits and more.",156,american journey dog treats,Chewy Made Dog Treats & Bones,1,chewy-made-dog-treats,True,True,False,False,True,False,False,False,217,345,2,,,,,,,14,12,6.73,8,3,0,3,1.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/frisco-6767,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Frisco Pet Supplies - Free Shipping | Chewy,43,"Shop Chewy for low prices and the best Frisco products! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,frisco by chewy,Frisco by Chewy,1,frisco,False,False,False,False,True,False,False,False,57,369,3,,,,,,,7,7,7.67,4,1,1,1,
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/shop-by-dog-10578,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Frisco for Dogs - Free shipping | Chewy,39,Shop Chewy for low prices and the best Shop By Dog! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,218,frisco by chewy,Frisco for Dogs,1,shop-by-dog,True,True,False,False,True,False,False,False,136,356,3,,,,,,,4,4,16.0,1,1,1,1,1.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/purina-7330,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"Purina Dog & Cat Food & Treats: Low Prices, Free Shipping | Chewy",65,"Shop Chewy for low prices on Purina Dog and Cat Food and Treats. We carry a wide selection of Purina Brands including Alpo, Beggin', Busy Bone, Cat Chow, Dentalife, Dog Chow, Fancy Feast and Friskies that your dog or cat will love. FREE shipping on orders $49+ and the BEST customer service!",291,purina,Purina,1,purina,False,False,False,False,True,False,False,True,24,369,4,,,,,,,8,7,11.71,5,1,1,1,
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/chewy-made-dog-dental-treats-4286062,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Chewy Made™ Dog Dental Treats | Chewy Exclusive Brand,53,"Shop Dental Dog Treats from Chewy Made™, a Chewy Exclusive Brand. Discover Beef, Bacon, Peanut Butter and Mint flavored dental chews for dogs to support your pup's health, happiness and fresh breath!",199,chewy exclusive dog dental treats,Chewy Made Dog Dental Treats,1,chewy-made-dog-dental-treats,True,True,False,False,True,False,False,False,4,311,3,,,,,,,1,1,18.0,0,1,0,0,1.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/toys-10582,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Frisco Toys for Dogs - Free shipping | Chewy,44,Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,frisco toys for dogs,Frisco Toys for Dogs,1,toys,True,True,False,False,True,False,False,False,107,347,3,good,1563.0,needs,0.21,,,6,6,6.0,2,1,0,3,4.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/wet-food-13836,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,American Journey Landmark Wet Food for Cats - Free shipping | Chewy,67,Shop Chewy for low prices and the best Wet Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,american journey for cats,American Journey Landmark Wet Food for Cats,1,wet-food,True,True,False,False,True,False,False,False,1,312,6,,,,,,,4,4,21.0,0,1,1,2,1.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/bones-chews-6551,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Bones & Chews Dog Treats | Chewy,32,Shop Chewy for low prices and the best Bones & Chews! We carry a large selection and the top brands like Bones & Chews and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,bones & chews,Bones & Chews,1,bones-chews,True,True,False,False,True,False,False,False,129,347,3,,,,,,,6,6,6.6,4,1,0,1,7.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/beef-bone-treats-12657,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Bones & Chews Made in USA Beef Bone Dog Treats - Free shipping | Chewy,70,Shop Chewy for low prices and the best Beef Bone Treats! We carry a large selection and the top brands like Bones & Chews and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,bones and chews made in usa beef bone dog treats,Bones & Chews Made in USA Beef Bone Dog Treats,1,beef-bone-treats,True,True,False,False,True,False,False,False,1,310,5,,,,,,,2,2,15.5,0,2,0,0,1.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/shop-by-cat-10588,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Frisco Shop By Cat - Free shipping | Chewy,42,Shop Chewy for low prices and the best Shop By Cat! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,218,frisco shop by cat,Frisco Shop By Cat,1,shop-by-cat,True,True,False,False,True,False,False,False,121,357,3,,,,,,,9,9,17.5,2,1,3,3,4.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/immune-system-allergy-107310,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Vibeful Allergy & Immune - Free shipping | Chewy,48,Shop Chewy for low prices and the best Immune System & Allergy! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,vibeful allergy & immune,Vibeful Allergy & Immune,1,immune-system-allergy,True,True,False,False,True,False,False,False,13,307,3,,,,,,,3,2,11.0,0,1,0,2,1.0
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/tidy-cats-7459,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Tidy Cats: Cat Litter (Free Shipping) | Chewy,45,Shop Chewy for low prices and the best Tidy Cats! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,tidy cats,Tidy Cats Cat Litter,1,tidy-cats,False,False,False,False,True,False,False,True,1,351,3,,,,,,,4,3,12.0,2,2,0,0,
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/worlds-best-7757,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,World's Best Cat Litter & Kitty Litter | Chewy,46,"Discover World's Best Cat Litter on Chewy, with a range of options to choose from and tens of thousands of customer reviews. Get free shipping now on orders $49+!",162,cat litter chewy,World's Best Cat Litter Long Lasting Odor Control,2,worlds-best,False,False,False,False,True,False,False,True,1,316,3,,,,,,,2,2,18.5,0,2,0,0,
Brand,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/brands/arm-hammer-litter-6457,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,Arm & Hammer Litter for Cats - Free shipping | Chewy,52,Shop Chewy for low prices and the best Arm & Hammer Litter! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,236,arm and hammer multi-cat strength litter for cats,Arm & Hammer Litter for Cats Plant-based performance with lasting freshness,2,arm-hammer-litter,False,False,False,False,True,False,False,True,1,340,3,,,,,,,8,7,18.83,0,3,3,2,
