page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Links,Below inlink target,https://www.chewy.com/education/dog/pet-parenting/should-i-get-a-dog,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,Should I Get a Dog? 8 Questions To Ask l Chewy,46,Thinking about getting a dog? Here’s what to ask yourself in preperation before you bring home a new bestie.,108,should i get a dog,Should I Get a Dog? 8 Questions to Ask Before Bringing Home a Pup,1,should-i-get-a-dog,True,True,False,False,False,False,False,False,4,353,2,,,,,,,4,4,13.0,2,0,1,1,8.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/dog/pet-parenting/dog-pool-party,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,Summer Is Pool Party Season—for You and Your Dog | Chewy,56,"Dog pool parties are a hot trend this summer, and Frisco by Chewy has everything you need to splash down with your pup.",119,,Summer Is Pool Party Season—for You and Your Dog,1,dog-pool-party,True,True,False,False,False,False,False,False,4,326,2,,,,,,,,,,,,,,1.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/dog/new-dog/christmas-names-for-pets,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,The 200 Most Festive Christmas Dog Names | Chewy,48,Bringing home a dog during the holiday season? Give them one of these adorable Christmas dog names to celebrate the occasion.,125,christmas dog names,The 200 Most Festive Christmas Dog Names,1,christmas-names-for-pets,True,True,False,False,False,False,False,False,4,320,2,,,,,,,1,1,3.0,1,0,0,0,10.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/dog/new-dog/white-dog-names,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,The 200+ Best White Dog Names for Your Pup | Chewy,50,"From Snow to Bianca to Casper, we’ve got the ultimate list of white dog names for your new pup.",95,white dog names,The 200+ Best White Dog Names for Your Pup,1,white-dog-names,True,True,False,False,False,False,False,False,4,333,2,needs,2759.0,good,0.08,,,3,3,7.0,2,1,0,0,273.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/dog/new-dog/marvel-dog-names,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,100 Marvel Dog Names For Your Super-Pup | Chewy,47,"From Hulk to Loki to Captain America, choose one of these Marvel dog names to show the world what a superhero your dog really is.",129,marvel dog names,100 Marvel Dog Names For Your Super-Pup,1,marvel-dog-names,True,True,False,False,False,False,False,False,4,345,2,needs,2835.0,good,0.09,,,3,3,2.0,3,0,0,0,41.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/cat/grooming/best-lint-brush-for-pet-hair,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,Accessorizing with Pet Fur? You Need These Lint Brushes | Chewy,63,"With my two super fluffy cats, nothing but the best lint brush will do to keep my outfits and furniture free from pet hair.",123,best lint roller for pet hair,"Accessorizing with Pet Fur? You Need These Lint Brushes, STAT",1,best-lint-brush-for-pet-hair,True,True,False,False,False,False,False,False,4,309,2,,,,,,,5,4,13.2,2,2,1,0,1.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/cat/grooming/4-flea-shampoos-cats-will-make-coats-shine,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,"8 Best Flea Shampoos for Cats, According to Reviews | Chewy",59,"When used properly, flea shampoo for cats can be one step in the process of eliminating fleas. Here are top-rated flea shampoos for cats.",137,flea shampoo for cats,"The 8 Best Flea Shampoos for Cats, According to Reviews",1,4-flea-shampoos-cats-will-make-coats-shine,True,True,False,False,False,False,False,False,4,316,2,,,,,,,3,3,20.5,0,1,1,1,9.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/cat/grooming/lion-cut-for-cats-pros-and-cons,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",2,"Lion Cut For Cats: Pros, Cons, and Care Tips | Chewy",52,"Considering a lion cut for your cat? Here are pros and cons of this trending cat trimming method, with input from a professional groomer.",137,lion cut cat,Lion Cut For Cats: Pros and Cons,1,lion-cut-for-cats-pros-and-cons,True,True,False,False,False,False,False,False,2,313,2,,,,,,,3,3,2.0,3,0,0,0,97.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/cat/grooming/persian-cat-face-grooming-and-cleaning-tips,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",2,Persian Cat Face Grooming And Cleaning Tips | Chewy,51,See how you can keep your Persian cat’s fur from getting tear stains and what the perfect Persian cat face looks like to cat show judges.,137,persian cat grooming,Persian Cat Face Grooming And Cleaning Tips,1,persian-cat-face-grooming-and-cleaning-tips,True,True,False,False,False,False,False,False,2,310,2,,,,,,,2,2,17.0,0,1,0,1,6.0
Editorial,Links,Below inlink target,https://www.chewy.com/education/small-pet/guinea-pig/guinea-pig-grooming,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,Guinea Pig Grooming: Everything a Pet Parent Needs To Know | Chewy,66,"Learn how to groom your guinea pig—from brushing and nail trims to bathing and ear care—so they stay clean, comfortable, and healthy.",133,skinny pig grooming,Guinea Pig Grooming: Everything a Pet Parent Needs To Know,1,guinea-pig-grooming,True,True,False,False,False,False,False,False,4,325,2,,,,,,,10,9,16.11,3,4,2,1,1.0
