page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/dog/flea-and-tick,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Dog Flea & Tick: Symptoms, Risks, Prevention Tips & More | Chewy",64,"Learn how to identify flea and tick symptoms in dogs, understand the risks, explore causes of infestation, and take steps to prevent future issues.",147,,Dog Flea & Tick,1,flea-and-tick,True,True,False,False,False,False,False,False,318249,321,1,,,,,,,,,,,,,,4.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/dog/grooming,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Dog Grooming Tips and Guides for Bathing, Brushing & More | Chewy.com",69,"Discover dog grooming tips and guides for brushing, bathing, nail trimming, and coat care. Learn how to make grooming calm and consistent.",138,best grooming for dogs,Dog Grooming,1,grooming,True,True,False,False,False,False,False,False,318249,321,1,,,,,,,4,4,8.5,1,1,0,2,2.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/dog/pet-parenting,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Dog Parenting: Emotional Wellbeing, Structure, Bonding & More | Chewy.com",73,"Discover dog parenting tips for building routines, supporting emotional needs, managing transitions, and creating a strong bond with your dog.",142,chewy for dog,Pet Parenting,1,pet-parenting,True,True,False,False,False,False,False,False,318249,325,1,,,,,,,9,9,20.11,0,5,4,0,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/cat/flea-and-tick,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Cat Flea & Tick: Spotting Signs, Life Cycle, Prevention & More | Chewy",70,Learn how to prevent and treat flea and tick issues in cats with our Cat Flea & Tick Hub.,89,chewy cat flea treatment,Cat Flea & Tick,1,flea-and-tick,True,True,False,False,False,False,False,False,318249,320,1,,,,,,,1,1,24.0,0,0,1,0,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/cat/food-and-nutrition,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Cat Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Explore cat food and nutrition tips on feeding routines, ingredients, diet transitions, and choosing the right food for your cat’s age and health needs.",152,chewy pet food for cats,Cat Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,326,1,,,,,,,1,1,6.0,1,0,0,0,3.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/cat/grooming,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Cat Grooming Tips for Brushing, Nail Care, Bathing & More | Chewy.com",69,"Learn cat grooming tips for brushing, nail trimming, detangling, and bathing. Discover how to create a calm routine for cats of any coat type.",142,cat grooming,Cat Grooming,1,grooming,True,True,False,False,False,False,False,False,318249,317,1,,,,,,,3,3,16.0,0,3,0,0,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/cat/health-and-wellness,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Cat Health: Recognizing Symptoms, Managing Conditions & More | Chewy",68,"Learn how to recognize cat health symptoms, understand common causes, explore treatment options, and take steps to prevent serious illness.",139,,Cat Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,328,1,,,,,,,,,,,,,,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/cat/pet-parenting,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Cat Parenting Tips for Bonding, Routines, Emotional Support & More | Chewy",74,"Learn cat parenting tips to support bonding, manage emotional changes, and create a strong, trusting relationship with your cat from Chewy Education.",149,,Pet Parenting,1,pet-parenting,True,True,False,False,False,False,False,False,318249,324,1,,,,,,,,,,,,,,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/cat/training-and-behavior,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Cat Training & Behavior: House Rules, Bonding Techniques & More | Chewy",71,"Discover cat training and behavior insights, including how to manage unwanted habits, encourage positive routines, and reduce stress.",133,why does my cat steal my socks,Cat Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,329,1,,,,,,,2,2,,0,0,0,2,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/cat/food-and-nutrition/best-cat-food,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"10 Best Cat Foods in 2026, Vet Recommended",42,"These are our veterinary experts’ picks for the best cat food, from wet food to dry food to therapeutic diets.",110,best kitten dry food vet recommended,"10 Best Cat Foods in 2026, Vet Recommended",1,best-cat-food,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,4,4,20.0,0,2,2,0,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/horse,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Horse Care Tips, Maintenance Advice, and Information | Chewy",60,"Discover trusted horse care tips, daily maintenance guides, and practical information to support healthy and happy horses from the experts of Chewy Education.",158,,Horse,1,horse,True,True,False,False,False,False,False,False,318249,340,1,,,,,,,,,,,,,,1.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/horse/feed-and-nutrition,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Horse Feed & Nutrition: Diet Planning, Feeding Tips & More | Chewy",66,"Learn about horse feed and nutrition, including diet planning, feeding schedules, forage versus grain, and tips for seasonal and age-related adjustments.",153,horse eating hay,Feed & Nutrition,1,feed-and-nutrition,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,5,4,10.5,2,2,0,1,2.0
Editorial,Speed,Speed measurement missing,https://www.chewy.com/education/horse/health-and-wellness,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"Horse Health: Illness Symptoms, Wound Care, Vaccines & More | Chewy",67,"Learn horse health essentials with tips on identifying symptoms, treating wounds, managing common diseases, and staying current with vaccinations.",146,,Horse Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,,,,,,,,1.0
