page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/holiday/gifts,True,Move important URLs closer to major crawl paths.,6,Holiday Gifting Archives | Chewy,32,,,,Holiday Gifts,1,gifts,True,True,False,False,False,False,False,False,4,307,6,,,,,,,,,,,,,,1.0
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/holiday/equine,True,Move important URLs closer to major crawl paths.,6,Holiday Equine Archives | Chewy,31,,,,Holidays With Horses,1,equine,True,True,False,False,False,False,False,False,4,306,6,,,,,,,,,,,,,,
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/holiday/safety,True,Move important URLs closer to major crawl paths.,6,Holiday Safety Archives | Chewy,31,,,,Holiday Pet Safety,1,safety,True,True,False,False,False,False,False,False,4,310,6,,,,,,,,,,,,,,
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/holiday/recipes,True,Move important URLs closer to major crawl paths.,6,Holiday Recipes Archives | Chewy,32,,,,Holiday Recipes,1,recipes,True,True,False,False,False,False,False,False,4,307,6,,,,,,,,,,,,,,1.0
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/holiday/general/chewy-claus-wishathon-house-rabbit-society,True,Move important URLs closer to major crawl paths.,6,Chewy Claus Wish-A-Thon: Support the House Rabbit Society | Chewy,65,"Look for the House Rabbit Society during tonight's Wish-A-Thon, and support their work by donating to their Chewy Wish List.",124,,Chewy Claus Wish-A-Thon: Support the House Rabbit Society,1,chewy-claus-wishathon-house-rabbit-society,True,True,False,False,False,False,False,False,6,311,6,,,,,,,,,,,,,,1.0
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/holiday/general/chewy-claus-wish-a-thon-mdas-brady-hunter,True,Move important URLs closer to major crawl paths.,6,Chewy Claus Wish-A-Thon: Support Miami-Dade Animal Services and The Brady Hunter Foundation | Chewy,99,"Look for Miami-Dade Animal Services and The Brady Hunter Foundation during tonight's Wish-A-Thon, and support their work by donating to their Chewy Wish List.",158,,Chewy Claus Wish-A-Thon: Support Miami-Dade Animal Services and The Brady Hunter Foundation,1,chewy-claus-wish-a-thon-mdas-brady-hunter,True,True,False,False,False,False,False,False,6,310,6,,,,,,,,,,,,,,1.0
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/holiday/general/puzzle-answers,True,Move important URLs closer to major crawl paths.,6,Puzzle Solved: Your Holiday Answers Await | Chewy,49,,,,Puzzle Solved: Your Holiday Answers Await,1,puzzle-answers,True,True,False,False,False,False,False,False,6,310,6,,,,,,,,,,,,,,1.0
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/dog/health-and-wellness/dog-corns,True,Move important URLs closer to major crawl paths.,6,Dog Corns: What Are They? And How Do Vets Treat It? | Chewy,59,"Without proper care, dog corns can lead to complications such as infections, limping and even lameness. Learn all about corns in dogs.",134,corn on dog paw,Dog Corns (AKA Paw Pad Keratoma): What Is It? And How Do Vets Treat It?,1,dog-corns,True,True,False,False,False,False,False,False,2,310,6,good,2341.0,good,0.09,,,3,3,1.67,3,0,0,0,58.0
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/dog/health-and-wellness/dog-dark-brown-vomit,True,Move important URLs closer to major crawl paths.,6,Why Is My Dog Throwing Up Black or Dark Brown Vomit? | Chewy,60,"Is a dog’s dark brown, black or red vomit a concern? Learn the potential causes, what symptoms to watch for, and when it’s time call the vet.",141,dog throwing up brown liquid,Why Is My Dog Throwing Up Black or Dark Brown Vomit?,1,dog-dark-brown-vomit,True,True,False,False,False,False,False,False,2,318,6,needs,3473.0,good,0.08,,,3,3,2.33,3,0,0,0,148.0
Editorial,Links,Crawl depth too deep,https://www.chewy.com/education/dog/general/how-to-put-on-a-dog-harness,True,Move important URLs closer to major crawl paths.,6,"How to Put On a Dog Harness: A Simple, Step-By-Step Guide | Chewy",65,Struggling with your pup’s new harness? You’re not alone. Follow our advice on how to put on a dog harness for a secure and comfortable walk.,141,how to put on a dog harness,"How to Put On a Dog Harness: A Simple, Step-By-Step Guide",1,how-to-put-on-a-dog-harness,True,True,False,False,False,False,False,False,2,325,6,poor,4180.0,good,0.09,,,3,3,5.33,3,0,0,0,80.0
