page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVSP,Links,Below inlink target,https://www.chewy.com/sp/cat-laxative,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",18,Cat Laxative (Free Shipping) | Chewy,36,"Shop Chewy for low prices and the best cat laxative! We carry a large selection and the top brands like Doxycycline, Pet Honesty, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Cat Laxative,1,cat-laxative,True,True,False,False,False,False,False,False,18,340,2,,,,,,,,,,,,,,2.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/melatonin-for-cats,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",13,Melatonin For Cats (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best melatonin for cats! We carry a large selection and the top brands like Feliway, Comfort Zone, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,melatonin for cats,Melatonin For Cats,1,melatonin-for-cats,True,True,False,False,False,False,False,False,13,341,2,,,,,,,1,1,25.0,0,0,1,0,2.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/crystal-litter-for-cats,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",9,Crystal Litter For Cats (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best crystal litter for cats! We carry a large selection and the top brands like PetSafe, Fresh Step Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",253,,Crystal Litter For Cats,1,crystal-litter-for-cats,True,True,False,False,False,False,False,False,9,340,2,,,,,,,,,,,,,,1.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/pyrethrin-insecticides,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",12,Pyrethrin Insecticides (Free Shipping) | Chewy,46,"Shop Chewy for low prices and the best pyrethrin insecticides! We carry a large selection and the top brands like Martin's, Cedarcide, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",243,,Pyrethrin Insecticides,1,pyrethrin-insecticides,True,True,False,False,False,False,False,False,12,340,2,,,,,,,,,,,,,,3.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/real-meat-dog-treats,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",11,Real Meat Dog Treats (Free Shipping) | Chewy,44,"Shop Chewy for low prices and the best real meat dog treats! We carry a large selection and the top brands like Beggin', Scoochie Pet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",243,real meat dog treats,Real Meat Dog Treats,1,real-meat-dog-treats,True,True,False,False,False,False,False,False,11,340,3,,,,,,,1,1,,0,0,0,1,1.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/puzzle-feeders,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",18,Puzzle Feeders (Free Shipping) | Chewy,38,"Shop Chewy for low prices and the best puzzle feeders! We carry a large selection and the top brands like Potaroma, PuzzleFeeder, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Puzzle Feeders,1,puzzle-feeders,True,True,False,False,False,False,False,False,18,341,3,,,,,,,,,,,,,,11.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/bird-beds,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",16,Bird Beds (Free Shipping) | Chewy,33,"Shop Chewy for low prices and the best bird beds! We carry a large selection and the top brands like Fuzzy Bird, SunGrow, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",230,bird beds,Bird Beds,1,bird-beds,True,True,False,False,False,False,False,False,16,340,3,,,,,,,1,1,2.0,1,0,0,0,1.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/low-calorie-dog-food,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",5,Low Calorie Dog Food (Free Shipping) | Chewy,44,"Shop Chewy for low prices and the best low calorie dog food! We carry a large selection and the top brands like Good 'n' Tasty, Iams, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",242,,Low Calorie Dog Food,1,low-calorie-dog-food,True,True,False,False,False,False,False,False,5,340,3,,,,,,,,,,,,,,1.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/dog-car-seat-lookout,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",1,Dog Car Seat Lookout (Free Shipping) | Chewy,44,"Shop Chewy for low prices and the best dog car seat lookout! We carry a large selection and the top brands like Snoozer Pet Products, FidoRido, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,,Dog Car Seat Lookout,1,dog-car-seat-lookout,True,True,False,False,False,False,False,False,1,339,3,,,,,,,,,,,,,,1.0
HVSP,Links,Below inlink target,https://www.chewy.com/sp/dog-leash-running,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",7,Dog Leash Running (Free Shipping) | Chewy,41,"Shop Chewy for low prices and the best dog leash running! We carry a large selection and the top brands like Chai's Choice, Mendota Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",250,dog leash running,Dog Leash Running,1,dog-leash-running,True,True,False,False,False,False,False,False,7,345,3,,,,,,,1,1,23.0,0,0,1,0,1.0
