page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/dog-deals-2733,True,Update meta-description templates to reflect the primary ranking phrase.,coupons chewy,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/50-off-your-first-autoship-order-3448422,True,Update meta-description templates to reflect the primary ranking phrase.,chewy autoship promo code,50% off your first Autoship order of prescription medication - Free shipping | Chewy,84,"Shop Chewy for low prices and the best 50% off your first Autoship order of prescription medication! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",306,chewy autoship promo code,50% off your first Autoship order of prescription medication,1,50-off-your-first-autoship-order,True,True,False,False,True,False,False,False,48,351,1,good,1814.0,good,0.085,,,1,1,,0,0,0,1,21.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/chicken-deals-3889878,True,Update meta-description templates to reflect the primary ranking phrase.,chicken treat offers,Chicken Deals - Free shipping | Chewy,37,Shop Chewy for low prices and the best Chicken Deals! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chicken treat offers,Chicken Deals,1,chicken-deals,True,True,False,False,True,False,False,False,208,345,2,,,,,,,1,1,,0,0,0,1,1.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/toys-705030,True,Update meta-description templates to reflect the primary ranking phrase.,deals on small animal chew toys,Small Pet Toys - Free shipping | Chewy,38,Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Chewy Exclusives and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,deals on small animal chew toys,Small Pet Toys,1,toys,True,True,False,False,True,False,False,False,45,346,3,,,,,,,1,1,8.0,1,0,0,0,1.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/food-156398,True,Update meta-description templates to reflect the primary ranking phrase.,deals on small animal food,Small Animal Food - Free shipping | Chewy,41,"Shop Chewy for low prices and the best Food products! We carry a large selection and the top brands like Kaytee, Oxbow, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,deals on small animal food,Small Animal Food,1,food,True,True,False,False,True,False,False,False,41,342,3,,,,,,,1,1,8.0,1,0,0,0,
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/bedding-litter-156406,True,Update meta-description templates to reflect the primary ranking phrase.,deals on small animal bedding,Small Animal Bedding & Litter - Free shipping | Chewy,53,"Shop Chewy for low prices and the best Bedding & Litter! We carry a large selection and the top brands like Carefresh, Kaytee, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,deals on small animal bedding,Small Animal Bedding & Litter,1,bedding-litter,True,True,False,False,True,False,False,False,39,336,3,,,,,,,1,1,,0,0,0,1,1.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/beds-hideouts-156414,True,Update meta-description templates to reflect the primary ranking phrase.,small pet beds hideouts and mats,"Small Pet Beds, Hideouts & Mats - Free shipping | Chewy",55,"Shop Chewy for low prices and the best Beds & Hideouts! We carry a large selection and the top brands like Kaytee, Nibbles by A&E Cage Company, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,small pet beds hideouts and mats,"Small Pet Beds, Hideouts & Mats",1,beds-hideouts,True,True,False,False,True,False,False,False,39,327,3,,,,,,,3,3,10.0,2,1,0,0,1.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/treats-156182,True,Update meta-description templates to reflect the primary ranking phrase.,chicken treat offers,Chicken & Farm Treat Deals - Free shipping | Chewy,50,"Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Culinary Coop, Happy Hen Treats, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",248,chicken treat offers,Chicken & Farm Treat Deals,1,treats,True,True,False,False,True,False,False,False,66,339,3,,,,,,,1,1,22.0,0,0,1,0,1.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/decor-accessories-156326,True,Update meta-description templates to reflect the primary ranking phrase.,reptile and amphibian terrarium decor and accessories,Reptile & Amphibian Terrarium Decor & Accessories - Free shipping | Chewy,73,"Shop Chewy for low prices and the best Décor & Accessories! We carry a large selection and the top brands like Zoo Med, Komodo, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,reptile and amphibian terrarium decor and accessories,Reptile & Amphibian Terrarium Decor & Accessories,1,decor-accessories,True,True,False,False,True,False,False,False,19,342,3,,,,,,,1,1,,0,0,0,1,1.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/food-treats-156206,True,Update meta-description templates to reflect the primary ranking phrase.,cyber week deals on fish food and treats,Fish Food - Free shipping | Chewy,33,"Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like Fluval, API, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",226,cyber week deals on fish food and treats,Fish Food,1,food-treats,True,True,False,False,True,False,False,False,22,341,3,,,,,,,2,2,24.5,0,0,2,0,
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/litter-136374,True,Update meta-description templates to reflect the primary ranking phrase.,deals on cat litter,Cat Litter Deals - Free shipping | Chewy,40,"Shop Chewy for low prices and the best Litter products! We carry a large selection and the top brands like Tidy Cats, Boxiecat, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,deals on cat litter,Cat Litter Deals,1,litter,True,True,False,False,True,False,False,False,26,341,3,,,,,,,2,2,9.0,1,0,0,1,1.0
Deals,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/deals/collars-106588,True,Update meta-description templates to reflect the primary ranking phrase.,deals on cat collars,Deals on Cat Collars - Free shipping | Chewy,44,"Shop Chewy for low prices and the best Collars products! We carry a large selection and the top brands like Pawtitas, Red Dingo, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,deals on cat collars,Deals on Cat Collars,1,collars,,False,False,False,True,False,False,False,11,345,4,,,,,,,1,1,21.0,0,0,1,0,1.0
