page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/dog-pool-toys,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Dog Pool Toys (Free Shipping) | Chewy,37,"Shop Chewy for low prices and the best dog pool toys! We carry a large selection and the top brands like Pets First, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,dog water toys,Dog Pool Toys,1,dog-pool-toys,True,True,False,False,False,False,False,False,166,344,2,,,,,,,7,6,15.43,1,5,1,0,9.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/dog-chewing-up-toys,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Dog Chewing Up Toys (Free Shipping) | Chewy,43,"Shop Chewy for low prices and the best dog chewing up toys! We carry a large selection and the top brands like Littlearth, Healthy Breeds, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",247,,Dog Chewing Up Toys,1,dog-chewing-up-toys,True,True,False,False,False,False,False,False,354,340,2,,,,,,,,,,,,,,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/4health-dog-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,4health Dog Food (Free Shipping) | Chewy,40,"Shop Chewy for low prices and the best 4health dog food! We carry a large selection and the top brands like Wellness, Merrick, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,4health dog food,4health Dog Food,1,4health-dog-food,True,True,False,False,False,False,False,False,330,341,2,,,,,,,3,3,6.0,1,0,0,2,9.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/dog-food-for-diabetic-dog,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Dog Food For Diabetic Dog (Free Shipping) | Chewy,49,"Shop Chewy for low prices and the best dog food for diabetic dog! We carry a large selection and the top brands like Furosemide, Wysong, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",245,veterinary diet dog food for diabetes,Dog Food For Diabetic Dog,1,dog-food-for-diabetic-dog,True,True,False,False,False,False,False,False,169,340,2,,,,,,,4,4,5.5,2,0,0,2,7.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/vitality-dog-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Vitality Dog Food (Free Shipping) | Chewy,41,"Shop Chewy for low prices and the best vitality dog food! We carry a large selection and the top brands like Vital Essentials, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",245,vitality dog food,Vitality Dog Food,1,vitality-dog-food,True,True,False,False,False,False,False,False,76,340,2,,,,,,,1,1,4.0,1,0,0,0,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/yellow-parrot-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Yellow Parrot Food (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best yellow parrot food! We carry a large selection and the top brands like Kaytee, Pedigree, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,yellow parrot food,Yellow Parrot Food,1,yellow-parrot-food,True,True,False,False,False,False,False,False,110,344,2,,,,,,,2,1,18.0,0,1,0,1,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/parrot-food-vegetables,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Parrot Food Vegetables (Free Shipping) | Chewy,46,"Shop Chewy for low prices and the best parrot food vegetables! We carry a large selection and the top brands like Blue Buffalo, Royal Canin, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,parrot food vegetables,Parrot Food Vegetables,1,parrot-food-vegetables,True,True,False,False,False,False,False,False,163,344,2,,,,,,,1,1,21.0,0,0,1,0,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/large-bags-of-parrot-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Large Bags Of Parrot Food (Free Shipping) | Chewy,49,"Shop Chewy for low prices and the best large bags of parrot food! We carry a large selection and the top brands like Royal Canin, Blue Buffalo, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,,Large Bags Of Parrot Food,1,large-bags-of-parrot-food,True,True,False,False,False,False,False,False,80,344,2,,,,,,,,,,,,,,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/cat-treats-human-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Cat Treats Human Food (Free Shipping) | Chewy,45,"Shop Chewy for low prices and the best cat treats human food! We carry a large selection and the top brands like Applaws, PureBites, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,cat food and treats by chewy,Cat Treats Human Food,1,cat-treats-human-food,True,True,False,False,False,False,False,False,331,341,2,,,,,,,1,1,16.0,0,1,0,0,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/kittles-cat-treats,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Kittles Cat Treats (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best kittles cat treats! We carry a large selection and the top brands like Fussie Cat, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Kittles Cat Treats,1,kittles-cat-treats,True,True,False,False,False,False,False,False,348,341,2,,,,,,,,,,,,,,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/healthy-treats-for-cats,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Healthy Treats For Cats (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best healthy treats for cats! We carry a large selection and the top brands like Trilostane Compounded, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,healthy treats for cats,Healthy Treats For Cats,1,healthy-treats-for-cats,True,True,False,False,False,False,False,False,687,344,2,,,,,,,4,4,19.0,0,1,1,2,3.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/healthy-cat-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Healthy Cat Food (Free Shipping) | Chewy,40,"Shop Chewy for low prices and the best healthy cat food! We carry a large selection and the top brands like Wellness, Inaba, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,chewy com cat food,Healthy Cat Food,1,healthy-cat-food,True,True,False,False,False,False,False,False,590,344,2,,,,,,,1,1,,0,0,0,1,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/medical-grooming-for-dogs,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Medical Grooming For Dogs (Free Shipping) | Chewy,49,"Shop Chewy for low prices and the best medical grooming for dogs! We carry a large selection and the top brands like TropiClean, Bio-Groom, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",248,chewy dog grooming,Medical Grooming For Dogs,1,medical-grooming-for-dogs,True,True,False,False,False,False,False,False,766,344,2,,,,,,,1,1,32.0,0,0,1,0,2.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/dog-bone-grooming,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Dog Bone Grooming (Free Shipping) | Chewy,41,"Shop Chewy for low prices and the best dog bone grooming! We carry a large selection and the top brands like Bone Dry, Treatly, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,dog bone grooming,Dog Bone Grooming,1,dog-bone-grooming,True,True,False,False,False,False,False,False,584,340,2,,,,,,,1,1,16.0,0,1,0,0,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/bow-ties-dog-grooming,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Bow Ties Dog Grooming (Free Shipping) | Chewy,45,"Shop Chewy for low prices and the best bow ties dog grooming! We carry a large selection and the top brands like The Worthy Dog, DAPPER DEXTER, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,bow ties dog grooming,Bow Ties Dog Grooming,1,bow-ties-dog-grooming,True,True,False,False,False,False,False,False,107,340,2,,,,,,,1,1,18.0,0,1,0,0,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/horse-feed-oil,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Horse Feed Oil (Free Shipping) | Chewy,38,"Shop Chewy for low prices and the best horse feed oil! We carry a large selection and the top brands like Blue Buffalo, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,horse feed oil,Horse Feed Oil,1,horse-feed-oil,True,True,False,False,False,False,False,False,307,344,2,,,,,,,1,1,24.0,0,0,1,0,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/soft-dry-cat-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Soft Dry Cat Food (Free Shipping) | Chewy,41,"Shop Chewy for low prices and the best soft dry cat food! We carry a large selection and the top brands like Meow Mix, Chewy Made, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,soft dry cat food,Soft Dry Cat Food,1,soft-dry-cat-food,True,True,False,False,False,False,False,False,462,340,2,good,1953.0,good,0.055,,,3,3,5.5,2,0,0,1,86.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/automatic-cat-feeder-wet-food,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Automatic Cat Feeder Wet Food (Free Shipping) | Chewy,53,"Shop Chewy for low prices and the best automatic cat feeder wet food! We carry a large selection and the top brands like IMIPAW, OneIsAll, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",247,automatic cat feeder wet food,Automatic Cat Feeder Wet Food,1,automatic-cat-feeder-wet-food,True,True,False,False,False,False,False,False,1461,341,2,good,1812.0,good,0.035,,,2,2,6.0,1,0,0,1,46.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/blue-fish-aquariums,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Blue Fish Aquariums (Free Shipping) | Chewy,43,"Shop Chewy for low prices and the best blue fish aquariums! We carry a large selection and the top brands like Blue Buffalo, Underwater Treasures, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",255,blue fish aquariums,Blue Fish Aquariums,1,blue-fish-aquariums,True,True,False,False,False,False,False,False,468,344,2,,,,,,,1,1,,0,0,0,1,1.0
HVSP,Speed,INP measurement missing,https://www.chewy.com/sp/fish-tank-light-bulbs,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Fish Tank Light Bulbs (Free Shipping) | Chewy,45,"Shop Chewy for low prices and the best fish tank light bulbs! We carry a large selection and the top brands like Aqueon, Aquatop, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,bulbs for fish tanks,Fish Tank Light Bulbs,1,fish-tank-light-bulbs,True,True,False,False,False,False,False,False,174,344,2,,,,,,,3,3,19.0,0,1,1,1,3.0
