page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/horse/feed-and-nutrition,True,Make descriptions unique at the page/template level.,"Learn about horse feed and nutrition, including diet planning, feeding schedules, forage versus grain, and tips for seasonal and age-related adjustments.","Horse Feed & Nutrition: Diet Planning, Feeding Tips & More | Chewy",66,"Learn about horse feed and nutrition, including diet planning, feeding schedules, forage versus grain, and tips for seasonal and age-related adjustments.",153,horse eating hay,Feed & Nutrition,1,feed-and-nutrition,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,5,4,10.5,2,2,0,1,2.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/dog/new-dog/how-to-potty-train-your-dog-in-7-days,True,Make descriptions unique at the page/template level.,Find out how to potty train a puppy as quickly as possible with these housetraining tips and techniques from a dog trainer.,How To Potty Train a Puppy | Chewy,34,Find out how to potty train a puppy as quickly as possible with these housetraining tips and techniques from a dog trainer.,123,how to potty train a puppy,How To Potty Train a Puppy,1,how-to-potty-train-your-dog-in-7-days,True,True,False,False,False,False,False,False,166,323,2,needs,3170.0,good,0.065,,,14,14,17.91,2,6,3,3,102.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/cat/grooming/pro-tips-for-cutting-cat-nails-a-step-by-step-guide,True,Make descriptions unique at the page/template level.,"Save time and the stress of getting in the car and going to a groomer by learning how to calmly trim your cat's nails, and what to do if you cut the quick.",How to Trim Cat Nails: Step-by-Step Tips From a Pro | Chewy,59,"Save time and the stress of getting in the car and going to a groomer by learning how to calmly trim your cat's nails, and what to do if you cut the quick.",155,how to trim a cat's nails,How to Trim Cat Nails: Step-by-Step Tips From a Professional Groomer,1,pro-tips-for-cutting-cat-nails-a-step-by-step-guide,True,True,False,False,False,False,False,False,37,322,2,needs,3226.0,good,0.07,,,1,1,25.0,0,0,1,0,15.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/cat/training-and-behavior/do-cats-get-bored,True,Make descriptions unique at the page/template level.,Learn to spot the signs of a bored cat and explore the best cat toys and enrichment activities to keep your cat lively and content.,Do Cats Get Bored? | Chewy,26,Learn to spot the signs of a bored cat and explore the best cat toys and enrichment activities to keep your cat lively and content.,131,do cats get bored,Do You Have a Bored Cat?,1,do-cats-get-bored,True,True,False,False,False,False,False,False,11,352,2,,,,,,,10,8,10.11,6,3,0,1,16.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/dog/general/is-this-normal-my-cat-is-afraid-of-my-new-dog,True,Make descriptions unique at the page/template level.,Adding a new pet to your home? Find out how to introduce cats and dogs safely and gradually by following our trainer’s step-by-step guide.,How to Introduce Cats and Dogs | Chewy,38,Adding a new pet to your home? Find out how to introduce cats and dogs safely and gradually by following our trainer’s step-by-step guide.,138,how to introduce cats and dogs,How to Introduce Cats and Dogs,1,is-this-normal-my-cat-is-afraid-of-my-new-dog,True,True,False,False,False,False,False,False,34,327,2,,,,,,,6,4,9.0,1,2,0,3,6.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/cat/health-and-wellness/how-long-do-cats-live,True,Make descriptions unique at the page/template level.,The lifespan of a cat can vary greatly depending on several factors. But how long do cats live? Learn about cat life expectancy here.,How Long Do Cats Live? | Chewy,30,The lifespan of a cat can vary greatly depending on several factors. But how long do cats live? Learn about cat life expectancy here.,133,how long do cats live,How Long Do Cats Live? It Depends,1,how-long-do-cats-live,True,True,False,False,False,False,False,False,30,329,2,,,,,,,5,4,15.5,1,0,1,3,98.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/cat/food-and-nutrition/what-human-foods-can-cats-eat,True,Make descriptions unique at the page/template level.,Searching for a tasty treat for your cat? Look no further than your own pantry. Here are 28 human foods safe for cats to enjoy in moderation.,What Human Foods Can Cats Eat? | Chewy,38,Searching for a tasty treat for your cat? Look no further than your own pantry. Here are 28 human foods safe for cats to enjoy in moderation.,141,what does cat eat,What Human Foods Can Cats Eat? 28 Human Foods Safe for Cats,1,what-human-foods-can-cats-eat,True,True,False,False,False,False,False,False,25,334,2,good,2314.0,good,0.045,,,7,7,19.25,0,2,2,3,33.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/cat/training-and-behavior/why-do-cats-eat-plants,True,Make descriptions unique at the page/template level.,"Cats eating plants is perfectly normal—and common—behavior, but why do cats eat plants? Here are some reasons why.",Why Do Cats Eat Plants? Is This Normal? | Chewy,47,"Cats eating plants is perfectly normal—and common—behavior, but why do cats eat plants? Here are some reasons why.",114,how to stop cats from eating plants,Why Does My Cat Eat Plants? Is This Normal?,1,why-do-cats-eat-plants,True,True,False,False,False,False,False,False,12,332,2,,,,,,,3,3,8.33,2,1,0,0,22.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/cat/training-and-behavior/tips-for-cat-boredom,True,Make descriptions unique at the page/template level.,Learn to spot the signs of a bored cat and explore the best cat toys and enrichment activities to keep your cat lively and content.,Is Your Cat Bored? Tips to Fight Feline Boredom | Chewy,55,Learn to spot the signs of a bored cat and explore the best cat toys and enrichment activities to keep your cat lively and content.,131,,Is Your Cat Bored? Tips to Fight Feline Boredom,1,tips-for-cat-boredom,True,True,False,False,False,False,False,False,7,331,2,,,,,,,,,,,,,,1.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/fish/betta-fish/betta-fish-bubble-nest,True,Make descriptions unique at the page/template level.,"Thinking about getting pet betta fish? Learn what size fish tank they need to live a full, healthy life.",Betta Fish Bubble Nest: What It Means and How To Care for It | Chewy,68,"Thinking about getting pet betta fish? Learn what size fish tank they need to live a full, healthy life.",104,betta bubble nest,Betta Fish Bubble Nest: What It Means and How To Care for It,1,betta-fish-bubble-nest,True,True,False,False,False,False,False,False,23,321,2,needs,3144.0,good,0.09,,,1,1,11.0,0,1,0,0,73.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/fish/betta-fish/what-size-betta-fish-tank-do-i-need,True,Make descriptions unique at the page/template level.,"Thinking about getting pet betta fish? Learn what size fish tank they need to live a full, healthy life.",What Size Betta Tank Do I Need? A Complete Betta Fish Tank Size Guide | Chewy,77,"Thinking about getting pet betta fish? Learn what size fish tank they need to live a full, healthy life.",104,betta fish tank,What Size Betta Tank Do I Need? A Complete Betta Fish Tank Size Guide,1,what-size-betta-fish-tank-do-i-need,True,True,False,False,False,False,False,False,21,319,2,,,,,,,28,27,9.46,16,7,1,4,131.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/reptile-and-amphibian/turtle-and-tortoise/how-long-do-turtles-live,True,Make descriptions unique at the page/template level.,"Do you know how long turtles live? Get the answer, plus tips on extending your pet turtle or tortoise's lifespan.",How Long Do Turtles and Tortoises Live? | Chewy,47,"Do you know how long turtles live? Get the answer, plus tips on extending your pet turtle or tortoise's lifespan.",113,how long can turtles live,How Long Do Turtles and Tortoises Live?,1,how-long-do-turtles-live,True,True,False,False,False,False,False,False,11,317,3,,,,,,,5,4,19.33,0,2,1,2,34.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/reptile-and-amphibian/general/do-pet-reptiles-need-uvb-lighting,True,Make descriptions unique at the page/template level.,Discover everything you need to know about UVB lighting and the amount your reptile needs to stay healthy.,Do Pet Reptiles Need UVB Lighting? | Chewy,42,Discover everything you need to know about UVB lighting and the amount your reptile needs to stay healthy.,106,,Do Pet Reptiles Need UVB Lighting? What Every Reptile Owner Should Know,1,do-pet-reptiles-need-uvb-lighting,True,True,False,False,False,False,False,False,22,321,3,,,,,,,,,,,,,,2.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/dog/health-and-wellness/hot-spots-on-dogs,True,Make descriptions unique at the page/template level.,"Hot spots are a pain—literally—but they’re usually pretty easy to handle and prevent. Here's how to treat hot spots on dogs, and more.",What Are Hot Spots on Dogs? How Do I Treat Them? | Chewy,56,"Hot spots are a pain—literally—but they’re usually pretty easy to handle and prevent. Here's how to treat hot spots on dogs, and more.",134,treatment hot spot dog,What Are Hot Spots on Dogs? And How Do I Treat Them?,1,hot-spots-on-dogs,True,True,False,False,False,False,False,False,25,330,3,needs,3360.0,good,0.065,,,9,7,27.5,0,0,4,5,59.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/dog/general/nose-work-for-dogs,True,Make descriptions unique at the page/template level.,"Nose work for dogs taps into natural sniffing instincts. Learn how scent training for dogs works, benefits, and how to get started at home.",Nose Work for Dogs: Benefits and Training Tips | Chewy,54,"Nose work for dogs taps into natural sniffing instincts. Learn how scent training for dogs works, benefits, and how to get started at home.",139,nose work for dogs,Nose Work for Dogs: A Guide to Scent Training for Dogs,1,nose-work-for-dogs,True,True,False,False,False,False,False,False,10,335,3,,,,,,,2,2,5.5,2,0,0,0,14.0
Editorial,Meta,Duplicate meta description,https://www.chewy.com/education/dog/health-and-wellness/heatstroke-in-dogs,True,Make descriptions unique at the page/template level.,"Heatstroke in dogs is a life-threatening emergency caused by overheating. Learn the warning signs, how it’s treated, and how to protect your dog.","Heatstroke in Dogs: Signs, Treatment, and Prevention | Chewy",60,"Heatstroke in dogs is a life-threatening emergency caused by overheating. Learn the warning signs, how it’s treated, and how to protect your dog.",145,,"Heatstroke in Dogs: Signs, Treatment, and Prevention",1,heatstroke-in-dogs,True,True,False,False,False,False,False,False,8,321,3,,,,,,,,,,,,,,1.0
