page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Schema,FAQ schema missing,https://www.chewy.com/worthy-dog-rubber-duck-dog-dress-blue/dp/1573622,True,Add FAQ schema where available; this is a nice-to-have.,,"THE WORTHY DOG Rubber Duck Dog Dress, Blue, Large - Chewy.com",61,"Buy The Worthy Dog Rubber Duck Dog Dress, Blue, Large at Chewy.com. FREE shipping and the BEST customer service!",112,,"The Worthy Dog Rubber Duck Dog Dress, Blue, Large",1,worthy-dog-rubber-duck-dog-dress-blue,True,True,False,False,True,True,True,False,6,315,1,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/gabapentin-compounded-oral-liquid/dp/1105630,True,Add FAQ schema where available; this is a nice-to-have.,,"GABAPENTIN COMPOUNDED Chicken Oral Oil Suspension, 50 mg/ml, 30 ml for Veterinary use - Easy Refills | Chewy Rx",111,Gabapentin is a prescription medication used to treat chronic pain or may be used for refractory or complex seizures.,117,gabapentin for dogs chewy,"Gabapentin Compounded Chicken Oral Oil Suspension, 50 mg/ml, 30 ml for Veterinary use",1,gabapentin-compounded-oral-liquid,True,True,False,False,True,True,True,False,50,333,2,poor,4001.0,good,0.06,,,1,1,,0,0,0,1,5.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/small-pet-select-coop-cookies-all/dp/4961510,True,Add FAQ schema where available; this is a nice-to-have.,,"SMALL PET SELECT Coop Cookies, All-Natural Nutritious Enrichment Chicken Treats, 2 count, 21.1-oz bag - Chewy.com",113,"Buy Small Pet Select Coop Cookies, All-Natural Nutritious Enrichment Chicken Treats, 2 count, 21.1-oz bag at Chewy.com. FREE shipping and the BEST customer service!",164,,"Small Pet Select Coop Cookies, All-Natural Nutritious Enrichment Chicken Treats, 2 count, 21.1-oz bag",1,small-pet-select-coop-cookies-all,True,True,False,False,True,True,True,False,16,307,2,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/culinary-coop-dried-soldier-worm/dp/812350,True,Add FAQ schema where available; this is a nice-to-have.,,"CULINARY COOP Dried Soldier Worm Chicken Treats, 1-lb bag, - Chewy.com",70,"Buy Culinary Coop Dried Soldier Worm Chicken Treats, 1-lb bag, at Chewy.com. FREE shipping and the BEST customer service!",121,,"Culinary Coop Dried Soldier Worm Chicken Treats, 1-lb bag,",1,culinary-coop-dried-soldier-worm,True,True,False,False,True,True,True,False,68,330,2,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/bar-ale-tillies-treats-non-gmo-6-way/dp/952142,True,Add FAQ schema where available; this is a nice-to-have.,,"BAR ALE Tillie's Treats Non-GMO 6 Way Whole Grain Party Pak Chicken Treats, 10-lb bag - Chewy.com",97,"Buy Bar ALE Tillie's Treats Non-GMO 6 Way Whole Grain Party Pak Chicken Treats, 10-lb bag at Chewy.com. FREE shipping and the BEST customer service!",148,,"Bar ALE Tillie's Treats Non-GMO 6 Way Whole Grain Party Pak Chicken Treats, 10-lb bag",1,bar-ale-tillies-treats-non-gmo-6-way,True,True,False,False,True,True,True,False,45,326,2,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/manna-pro-farmhouse-favorites-garden/dp/1326142,True,Add FAQ schema where available; this is a nice-to-have.,,"MANNA PRO Farmhouse Favorites Garden Treat Thyme Chicken Treats, 4-lb bag - Chewy.com",85,"Buy Manna Pro Farmhouse Favorites Garden Treat Thyme Chicken Treats, 4-lb bag at Chewy.com. FREE shipping and the BEST customer service!",136,,"Manna Pro Farmhouse Favorites Garden Treat Thyme Chicken Treats, 4-lb bag",1,manna-pro-farmhouse-favorites-garden,True,True,False,False,True,True,True,False,48,326,2,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/small-pet-select-peck-n-play-hanging/dp/4961526,True,Add FAQ schema where available; this is a nice-to-have.,,"SMALL PET SELECT Peck 'N Play Hanging All-Natural Nutritious Enrichment Chicken Treats, 2 count, 8.46-oz box - Chewy.com",120,"Buy Small Pet Select Peck 'N Play Hanging All-Natural Nutritious Enrichment Chicken Treats, 2 count, 8.46-oz box at Chewy.com. FREE shipping and the BEST customer service!",171,,"Small Pet Select Peck 'N Play Hanging All-Natural Nutritious Enrichment Chicken Treats, 2 count, 8.46-oz box",1,small-pet-select-peck-n-play-hanging,True,True,False,False,True,True,True,False,14,310,2,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/nutrena-naturewise-tidbits-healthy/dp/3525118,True,Add FAQ schema where available; this is a nice-to-have.,,"NUTRENA NatureWise TidBits Healthy Eggs Chicken Treat, 5-lb bag - Chewy.com",75,"Buy Nutrena NatureWise TidBits Healthy Eggs Chicken Treat, 5-lb bag at Chewy.com. FREE shipping and the BEST customer service!",126,,"Nutrena NatureWise TidBits Healthy Eggs Chicken Treat, 5-lb bag",1,nutrena-naturewise-tidbits-healthy,True,True,False,False,True,True,True,False,34,319,2,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/bar-ale-tillies-treats-non-gmo-omega3/dp/952030,True,Add FAQ schema where available; this is a nice-to-have.,,"BAR ALE Tillie's Treats Non-GMO Omega3 Poultry Snack Pak Chicken Treats, 10-lb bag - Chewy.com",94,"Buy Bar ALE Tillie's Treats Non-GMO Omega3 Poultry Snack Pak Chicken Treats, 10-lb bag at Chewy.com. FREE shipping and the BEST customer service!",145,,"Bar ALE Tillie's Treats Non-GMO Omega3 Poultry Snack Pak Chicken Treats, 10-lb bag",1,bar-ale-tillies-treats-non-gmo-omega3,True,True,False,False,True,True,True,False,34,327,2,,,,,,,,,,,,,,1.0
PDP,Schema,FAQ schema missing,https://www.chewy.com/pecking-order-grub-toppings-dessert/dp/1046350,True,Add FAQ schema where available; this is a nice-to-have.,,"PECKING ORDER Grub Toppings Dessert Bucket Chicken Treats, 5-lb bag - Chewy.com",79,"Buy Pecking Order Grub Toppings Dessert Bucket Chicken Treats, 5-lb bag at Chewy.com. FREE shipping and the BEST customer service!",130,,"Pecking Order Grub Toppings Dessert Bucket Chicken Treats, 5-lb bag",1,pecking-order-grub-toppings-dessert,True,True,False,False,True,True,True,False,29,327,2,,,,,,,,,,,,,,1.0
