page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/cosequin-7126,True,Align sitemap inclusion to the intended index state.,,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,False,False,False,False,True,False,False,False,1,335,2,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/royal-canin-dog-food-150798,True,Align sitemap inclusion to the intended index state.,,Royal Canin Dog Food - Free shipping | Chewy,44,Shop Chewy for low prices and the best Royal Canin Dog Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Royal Canin Dog Food,1,royal-canin-dog-food,False,False,False,False,True,False,False,False,5,359,2,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/nutrena-121270,True,Align sitemap inclusion to the intended index state.,,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,False,False,False,False,True,False,False,False,1,346,2,,,,,,,2,2,15.0,1,0,1,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/shop-by-cat-8891,True,Align sitemap inclusion to the intended index state.,,Iams Cat Food (Free Shipping) | Chewy,37,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Iams for Cats,1,shop-by-cat,False,False,False,False,True,False,False,False,136,339,2,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/vibeful-106534,True,Align sitemap inclusion to the intended index state.,,Vibeful Pet Supplements by Chewy - Free shipping,48,Shop Chewy for low prices and the best Vibeful products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,vibeful,Vibeful,1,vibeful,False,False,False,False,True,False,False,True,133,345,2,,,,,,,1,1,1.0,1,0,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/zesty-paws-7767,True,Align sitemap inclusion to the intended index state.,,Zesty Paws: Dog & Cat Supplements (Free Shipping) | Chewy,57,Shop Chewy for low prices and the best Zesty Paws! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,zesty paws,Zesty Paws,1,zesty-paws,False,False,False,False,True,False,False,False,133,358,2,,,,,,,4,4,10.75,2,2,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/nutramax-7125,True,Align sitemap inclusion to the intended index state.,,Nutramax Laboratories | Chewy,29,"Shop Chewy for low prices on Nutramax Laboratories pet health products. We carry a wide selection of Nutramax Lab products including Dasuquin, Cosequin, Crananidin, Denamarin, Denosyl, Proviable and more. FREE shipping on orders $49+ and the BEST customer service!",264,nutramax,Nutramax,1,nutramax,False,False,False,False,True,False,False,False,135,355,2,,,,,,,3,3,6.5,2,0,0,1,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/native-pet-105742,True,Align sitemap inclusion to the intended index state.,,Native Pet - Free shipping | Chewy,34,Shop Chewy for low prices and the best Native Pet! We carry a large selection and the top brands like Native Pet and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,221,native pet,Native Pet,1,native-pet,False,False,False,False,True,False,False,True,98,352,2,,,,,,,2,2,17.0,0,2,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/vetriscience-7677,True,Align sitemap inclusion to the intended index state.,,VetriScience Supplements & Treats - Free Shipping | Chewy,57,"Shop Chewy for low prices on VetriScience Supplements and Treats for dogs, cats and birds. We carry a wide selection of VetriScience treats and supplements to help with joint support, behavioral health, immune system health, digestive health and more. FREE shipping on orders $49+ and the BEST customer service!",311,vetriscience,VetriScience,1,vetriscience,False,False,False,False,True,False,False,False,35,342,2,,,,,,,1,1,9.0,1,0,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/d-8967,True,Align sitemap inclusion to the intended index state.,,Hill's Prescription Diet a/d for Cats - Free shipping | Chewy,61,Shop Chewy for low prices and the best a/d products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,229,,Hill's Prescription Diet a/d for Cats,1,d,True,False,False,False,True,False,False,False,2,306,3,,,,,,,,,,,,,,1.0
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/frisco-6767,True,Align sitemap inclusion to the intended index state.,,Frisco Pet Supplies - Free Shipping | Chewy,43,"Shop Chewy for low prices and the best Frisco products! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,frisco by chewy,Frisco by Chewy,1,frisco,False,False,False,False,True,False,False,False,57,369,3,,,,,,,7,7,7.67,4,1,1,1,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/frisco-halloween-170454,True,Align sitemap inclusion to the intended index state.,,Frisco Halloween - Free shipping | Chewy,40,Shop Chewy for low prices and the best Frisco Halloween! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,,Frisco Halloween,1,frisco-halloween,True,False,False,False,True,False,False,False,62,345,3,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/worlds-best-7757,True,Align sitemap inclusion to the intended index state.,,World's Best Cat Litter & Kitty Litter | Chewy,46,"Discover World's Best Cat Litter on Chewy, with a range of options to choose from and tens of thousands of customer reviews. Get free shipping now on orders $49+!",162,cat litter chewy,World's Best Cat Litter Long Lasting Odor Control,2,worlds-best,False,False,False,False,True,False,False,True,1,316,3,,,,,,,2,2,18.5,0,2,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/tidy-cats-7459,True,Align sitemap inclusion to the intended index state.,,Tidy Cats: Cat Litter (Free Shipping) | Chewy,45,Shop Chewy for low prices and the best Tidy Cats! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,tidy cats,Tidy Cats Cat Litter,1,tidy-cats,False,False,False,False,True,False,False,True,1,351,3,,,,,,,4,3,12.0,2,2,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/arm-hammer-litter-6457,True,Align sitemap inclusion to the intended index state.,,Arm & Hammer Litter for Cats - Free shipping | Chewy,52,Shop Chewy for low prices and the best Arm & Hammer Litter! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,236,arm and hammer multi-cat strength litter for cats,Arm & Hammer Litter for Cats Plant-based performance with lasting freshness,2,arm-hammer-litter,False,False,False,False,True,False,False,True,1,340,3,,,,,,,8,7,18.83,0,3,3,2,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/shop-by-dog-159030,True,Align sitemap inclusion to the intended index state.,,Shop Pet Honesty for Dogs - Free shipping | Chewy,49,Shop Chewy for low prices and the best Shop by Dog! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Shop Pet Honesty for Dogs,1,shop-by-dog,False,False,False,False,True,False,False,False,1,341,3,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/fancy-feast-petites-158046,True,Align sitemap inclusion to the intended index state.,,Shop Fancy Feast Petites for Cats - Free shipping | Chewy,57,Shop Chewy for low prices and the best Fancy Feast Petites! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,236,,Shop Fancy Feast Petites for Cats,1,fancy-feast-petites,True,False,False,False,True,False,False,False,5,309,3,,,,,,,,,,,,,,2.0
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/tiny-tiger-7630,True,Align sitemap inclusion to the intended index state.,,Tiny Tiger: Cat Food – Free Shipping (35% Off Your First Autoship Order),72,Shop Chewy for low prices and the best Tiny Tiger! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,tiny tiger,Tiny Tiger There's a lot to love about Tiny Tiger Wildly delicious Complete & balanced Irresistible prices,5,tiny-tiger,False,False,False,False,True,False,False,True,1,346,3,,,,,,,9,9,3.88,7,1,0,1,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/yeowww-7763,True,Align sitemap inclusion to the intended index state.,,Yeowww! - Free shipping | Chewy,31,Shop Chewy for low prices and the best Yeowww! products! We carry a large selection and the top brands like Yeowww! and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,224,yeowww catnip toys,Yeowww!,1,yeowww,False,False,False,False,True,False,False,False,1,340,3,,,,,,,6,6,11.0,2,2,0,2,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/supplements-168470,True,Align sitemap inclusion to the intended index state.,,Purina Pro Plan Supplements for Cats - Free shipping | Chewy,60,Shop Chewy for low prices and the best Supplements products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Purina Pro Plan Supplements for Cats,1,supplements,True,False,False,False,True,False,False,False,4,310,3,,,,,,,,,,,,,,1.0
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/best-sellers-11679,True,Align sitemap inclusion to the intended index state.,,KONG Best Sellers - Free shipping | Chewy,41,"Shop Chewy for low prices and the best Best Sellers! We carry a large selection and the top brands like KONG, MidWest, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",227,,KONG Best Sellers,1,best-sellers,,False,False,False,True,False,False,False,22,346,3,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/new-11680,True,Align sitemap inclusion to the intended index state.,,New KONG - Free shipping | Chewy,32,Shop Chewy for low prices and the best New products! We carry a large selection and the top brands like KONG and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,217,,New KONG,1,new,,False,False,False,True,False,False,False,14,340,3,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/petlabco-15522,True,Align sitemap inclusion to the intended index state.,,PetLabCo. - Free shipping | Chewy,33,Shop Chewy for low prices and the best PetLabCo. products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,235,petlab co.,PetLabCo.,1,petlabco,False,False,False,False,True,False,False,True,0,341,3,,,,,,,1,1,8.0,1,0,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/shop-by-cat-159038,True,Align sitemap inclusion to the intended index state.,,Shop Pet Honesty for Cats - Free shipping | Chewy,49,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Shop Pet Honesty for Cats,1,shop-by-cat,False,False,False,False,True,False,False,False,1,328,3,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/royal-canin-veterinary-diet-7490,True,Align sitemap inclusion to the intended index state.,,"Royal Canin Veterinary Diet: Low Prices, Free Shipping | Chewy",62,"Shop Chewy for low prices on Royal Canin Veterinary Diet Dog and Cat Food. We carry a wide selection of Royal Canin Veterinary Diet products to help with bladder issues, kidney and liver support, weight control, digestive support, skin and coat for all size breeds. FREE shipping on orders $49+ and the BEST customer service!",325,royal canin veterinary diet dog food,Royal Canin Veterinary Diet,1,royal-canin-veterinary-diet,False,False,False,False,True,False,False,True,3,345,3,,,,,,,7,7,5.5,5,1,0,1,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/d-8903,True,Align sitemap inclusion to the intended index state.,,Hill's Prescription Diet a/d for Dogs - Free shipping | Chewy,61,Shop Chewy for low prices and the best a/d products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,229,,Hill's Prescription Diet a/d for Dogs,1,d,True,False,False,False,True,False,False,False,2,306,3,,,,,,,,,,,,,,1.0
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/tiki-cat-7617,True,Align sitemap inclusion to the intended index state.,,"Tiki Cat Food: Tiki Cat Treats & Wet Food - Deals, Free Shipping",64,"Shop Chewy for low prices and the best Tiki Cat! We carry a large selection and the top brands like Tiki Cat, Tiki Cat Veterinary Solutions, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,tiki cat wet cat food,Tiki Cat,1,tiki-cat,False,False,False,False,True,False,False,False,6,366,3,,,,,,,6,5,14.33,2,3,1,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/royal-canin-7487,True,Align sitemap inclusion to the intended index state.,,Royal Canin: Dog Food & Cat Food (Free Shipping) | Chewy,56,Shop Chewy for low prices on Royal Canin Dog and Cat Food. We carry a wide selection of Royal Canin Dog and Cat Food available in prescription and non-prescription for small to large breeds. FREE shipping on orders $49+ and the BEST customer service!,250,royal canin dog food,Royal Canin,1,royal-canin,False,False,False,False,True,False,False,True,8,359,3,,,,,,,18,18,13.69,6,3,4,5,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/friskies-7369,True,Align sitemap inclusion to the intended index state.,,Friskies Cat Food & Treats | Chewy,34,Shop Chewy for low prices and the best Friskies products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,friskies,Friskies Cat Food & Treats,1,friskies,False,False,False,False,True,False,False,True,3,354,3,,,,,,,8,7,12.67,4,0,2,2,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/purina-pro-plan-7434,True,Align sitemap inclusion to the intended index state.,,"Purina Pro Plan: Low Prices, Free Shipping | Chewy",50,"Shop Chewy for low prices on Purina Pro Plan Dog and Cat Food. We carry a wide selection of Purina Pro Plan Dog and Cat Food including wet and dry food, grain-free, weight control and more that come in a variety of flavors your pet will love. FREE shipping on orders $49+ and the BEST customer service!",302,purina pro plan,Purina Pro Plan,1,purina-pro-plan,False,False,False,False,True,False,False,True,8,350,4,,,,,,,3,3,9.33,3,0,0,0,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/food-treats-159454,True,Align sitemap inclusion to the intended index state.,,Food & Treats - Free shipping | Chewy,37,Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,,Food & Treats,1,food-treats,True,False,False,False,True,False,False,False,5,342,4,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/heating-lighting-humidity-159462,True,Align sitemap inclusion to the intended index state.,,"Heating, Lighting & Humidity - Free shipping | Chewy",52,"Shop Chewy for low prices and the best Heating, Lighting & Humidity! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",245,,"Heating, Lighting & Humidity",1,heating-lighting-humidity,True,False,False,False,True,False,False,False,4,325,4,,,,,,,,,,,,,,
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/habitats-accessories-159470,True,Align sitemap inclusion to the intended index state.,,Habitats & Accessories - Free shipping | Chewy,46,Shop Chewy for low prices and the best Habitats & Accessories! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,239,,Habitats & Accessories,1,habitats-accessories,True,False,False,False,True,False,False,False,4,314,4,,,,,,,,,,,,,,1.0
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/health-wellness-159478,True,Align sitemap inclusion to the intended index state.,,Health & Wellness - Free shipping | Chewy,41,Shop Chewy for low prices and the best Health & Wellness! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Health & Wellness,1,health-wellness,True,False,False,False,True,False,False,False,4,318,4,,,,,,,,,,,,,,1.0
Brand,Index,Sitemap/index-state mismatch,https://www.chewy.com/brands/kidney-liver-support-10549,True,Align sitemap inclusion to the intended index state.,,Royal Canin Veterinary Diet Kidney & Liver Support for Dogs - Free shipping | Chewy,83,Shop Chewy for low prices and the best Kidney & Liver Support! We carry a large selection and the top brands like Royal Canin Veterinary Diet and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,250,royal canin veterinary diet kidney and liver support for dogs,Royal Canin Veterinary Diet Kidney & Liver Support for Dogs,1,kidney-liver-support,False,False,False,False,True,False,False,False,1,319,4,,,,,,,2,2,2.5,2,0,0,0,
