page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/food-treats-156206,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Fish Food - Free shipping | Chewy,33,"Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like Fluval, API, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",226,cyber week deals on fish food and treats,Fish Food,1,food-treats,True,True,False,False,True,False,False,False,22,341,3,,,,,,,2,2,24.5,0,0,2,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/rawhide-for-dogs-3939606,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,black friday deals on rawhide dog chews,,,,,,,,,,,,,,,,,,,,,2,2,26.5,0,0,2,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/104902,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,chewy exclusive dog treats,,,,,,,,,,,,,,,,,,,,,2,2,29.0,0,0,1,1,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/antlers-for-dogs-3939670,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,cyber week deals on antler dog chews,,,,,,,,,,,,,,,,,,,,,2,2,28.0,0,0,1,1,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/id-tags-collars-leashes-134374,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,top rated dog leashes collars and id tags by chewy,,,,,,,,,,,,,,,,,,,,,2,2,18.0,0,1,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/id-tags-collars-leashes-8735,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"Dog ID Tags, Collars, & Leashes Deals - Free shipping | Chewy",61,"Shop Chewy for low prices and the best ID Tags, Collars & Leashes! We carry a large selection and the top brands like Buckle-Down, Pawtitas, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,top rated dog leashes collars and id tags by chewy,"Dog ID Tags, Collars, & Leashes Deals",1,id-tags-collars-leashes,,False,False,False,True,False,False,False,217,348,3,,,,,,,1,1,25.0,0,0,1,0,1.0
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/trees-condos-3974702,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,top rated cat trees condos and furniture by chewy,,,,,,,,,,,,,,,,,,,,,1,1,29.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/dental-chews-4330358,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Dog Dental Chews: Dental Sticks & Treats (Free Shipping) | Chewy,64,"Shop Chewy for low prices on dog dental chews. We carry a wide selection of the best dog dental chews, sticks and treats from top brands like, Greenies and SmartBones, to keep your pup's teeth clean and come in a variety of different flavors they'll love. *FREE* shipping on orders $49+ and the BEST customer service!",317,chewy exclusive dog dental treats,Dog Dental Chews & Treats,1,dental-chews,True,True,False,False,True,False,False,True,1,334,5,,,,,,,1,1,28.0,0,0,1,0,1.0
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/todays-deals-2723,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"Today's Deals: Chewy Promo Codes, Discounts & Coupons | Chewy",61,"Check out Chewy's best deals, promo codes & coupons. Take 40% off your first Autoship order & an extra 5% off select brands. Orders over $49 get free shipping!",159,chewy promo code,Today's Deals,1,todays-deals,True,True,False,False,True,False,False,False,327550,376,1,good,2444.0,good,0.0033333333333333335,,,72,72,2.08,69,2,1,0,85.0
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/dog-deals-2733,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",7,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/soft-chewy-treats-115070,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Deals on Dog Soft & Chewy Treats - Free shipping | Chewy,56,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Zuke's, Beggin', and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,deals on soft & chewy dog treats,Deals on Dog Soft & Chewy Treats,1,soft-chewy-treats,,False,False,False,True,False,False,False,39,344,3,,,,,,,3,2,29.0,0,0,1,2,1.0
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/health-consideration-3450854,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,deals on shop wet cat food by health consideration,,,,,,,,,,,,,,,,,,,,,2,2,26.0,0,0,2,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/cat-travel-bowls-2686486,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,deals on cat travel bowls,,,,,,,,,,,,,,,,,,,,,2,1,20.0,0,1,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/dental-care-3983190,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,deals on cat dental care products,,,,,,,,,,,,,,,,,,,,,1,1,30.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/wet-cat-food-for-weight-loss-3933390,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,weight control wet cat food on sale,,,,,,,,,,,,,,,,,,,,,2,2,24.5,0,0,2,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/dog-13594,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,deals on dog favorites by chewy,,,,,,,,,,,,,,,,,,,,,2,2,26.0,0,0,2,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/trial-size-dog-food-3939750,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,trial size dry dog food on sale,,,,,,,,,,,,,,,,,,,,,2,2,23.0,0,0,1,1,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/3603582,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,aquatic reptile filters and pumps,,,,,,,,,,,,,,,,,,,,,3,3,14.0,2,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/lightweight-3938462,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,deals on lightweight cat litter,,,,,,,,,,,,,,,,,,,,,1,1,28.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/dry-cat-food-for-sensitive-skin-3933158,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,deals on sensitive skin dry cat food,,,,,,,,,,,,,,,,,,,,,4,3,22.5,0,2,2,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/cat-food-container-3975774,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",5,,,,,deals on cat food storage,,,,,,,,,,,,,,,,,,,,,5,5,25.0,0,0,5,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/3461342,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,deals on kidney care wet cat food,,,,,,,,,,,,,,,,,,,,,1,1,23.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/chicken-free-cat-food-3938766,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,deals on chicken-free cat food,,,,,,,,,,,,,,,,,,,,,1,1,29.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/dog-ear-cleaners-3998990,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,dog ear cleaners on sale,,,,,,,,,,,,,,,,,,,,,1,1,26.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/food-3938350,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,cat favorites by chewy on sale,,,,,,,,,,,,,,,,,,,,,1,1,21.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/pate-cat-food-3938846,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,deals on pate cat food,,,,,,,,,,,,,,,,,,,,,1,1,29.0,0,0,1,0,
Deals,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/deals/shop-by-dietary-need-3939006,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",3,,,,,deals on shop wet cat food by dietary need,,,,,,,,,,,,,,,,,,,,,3,3,23.67,0,0,3,0,
