page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/healthy-treats-for-cats,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Healthy Treats For Cats (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best healthy treats for cats! We carry a large selection and the top brands like Trilostane Compounded, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,healthy treats for cats,Healthy Treats For Cats,1,healthy-treats-for-cats,True,True,False,False,False,False,False,False,687,344,2,,,,,,,4,4,19.0,0,1,1,2,3.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/ferret-cage-extensions,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Ferret Cage Extensions (Free Shipping) | Chewy,46,"Shop Chewy for low prices and the best ferret cage extensions! We carry a large selection and the top brands like MidWest, PawHut, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,ferret cage extensions,Ferret Cage Extensions,1,ferret-cage-extensions,True,True,False,False,False,False,False,False,7,345,4,,,,,,,3,2,23.0,0,0,1,2,1.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/healthy-dog-treats,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",3,Healthy Dog Treats (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best healthy dog treats! We carry a large selection and the top brands like Healthy Breeds, Trilostane Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",257,chewy dog food treats,Healthy Dog Treats,1,healthy-dog-treats,True,True,False,False,False,False,False,False,2385,344,2,,,,,,,7,7,19.43,0,4,3,0,1.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/gerbil-water-feeder,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Gerbil Water Feeder (Free Shipping) | Chewy,43,"Shop Chewy for low prices and the best gerbil water feeder! We carry a large selection and the top brands like Frisco, Little Giant, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,mongolian gerbil feeder,Gerbil Water Feeder,1,gerbil-water-feeder,True,True,False,False,False,False,False,False,84,344,4,,,,,,,6,4,18.0,0,3,1,2,1.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/48-inch-dog-kennels,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,48 inch dog kennels,,,,,,,,,,,,,,,,,,,,,4,4,13.75,2,0,2,0,
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/pink-dog-coats-for-large-dogs,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Pink Dog Coats For Large Dogs (Free Shipping) | Chewy,53,"Shop Chewy for low prices and the best pink dog coats for large dogs! We carry a large selection and the top brands like LupinePet, The Worthy Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,pink dog coats for large dogs,Pink Dog Coats For Large Dogs,1,pink-dog-coats-for-large-dogs,True,True,False,False,False,False,False,False,401,343,3,,,,,,,1,1,24.0,0,0,1,0,1.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/self-play-cat-toys,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Self Play Cat Toys (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best self play cat toys! We carry a large selection and the top brands like allforpaws, NonoPets, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,cat toys chewy,Self Play Cat Toys,1,self-play-cat-toys,True,True,False,False,False,False,False,False,472,341,2,,,,,,,7,7,18.86,0,6,1,0,1.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/indestructible-dog-toys,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Indestructible Dog Toys (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best indestructible dog toys! We carry a large selection and the top brands like Pets First, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",247,indestructible dog toys,Indestructible Dog Toys,1,indestructible-dog-toys,True,True,False,False,False,False,False,False,209,344,3,good,1998.0,good,0.07,,,3,3,19.0,0,2,1,0,6.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/bulk-dog-supplies,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",8,,,,,bulk dog treats,,,,,,,,,,,,,,,,,,,,,9,9,24.33,0,1,8,0,
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/starter-cat-supplies,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Starter Cat Supplies (Free Shipping) | Chewy,44,"Shop Chewy for low prices and the best starter cat supplies! We carry a large selection and the top brands like Frisco, Basic Spirit, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",242,starter cat supplies,Starter Cat Supplies,1,starter-cat-supplies,True,True,False,False,False,False,False,False,220,341,2,,,,,,,4,4,15.5,1,0,1,2,3.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/double-dog-crate,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,double dog crate,,,,,,,,,,,,,,,,,,,,,5,5,17.2,2,1,2,0,
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/comfortable-dog-collars,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Comfortable Dog Collars (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best comfortable dog collars! We carry a large selection and the top brands like Gooby, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,comfortable dog collars,Comfortable Dog Collars,1,comfortable-dog-collars,True,True,False,False,False,False,False,False,1921,338,2,,,,,,,3,3,15.33,1,1,1,0,2.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/gps-dog-collars,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Gps Dog Collars (Free Shipping) | Chewy,39,"Shop Chewy for low prices and the best gps dog collars! We carry a large selection and the top brands like Besties, Curli, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",231,gps dog collars,Gps Dog Collars,1,gps-dog-collars,True,True,False,False,False,False,False,False,501,342,2,,,,,,,2,2,25.0,0,0,2,0,1.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/cute-dog-supplies,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Cute Dog Supplies (Free Shipping) | Chewy,41,"Shop Chewy for low prices and the best cute dog supplies! We carry a large selection and the top brands like OmniPet, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,cute dog supplies,Cute Dog Supplies,1,cute-dog-supplies,True,True,False,False,False,False,False,False,210,338,2,,,,,,,2,2,19.5,0,1,1,0,1.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/xxl-dog-crate,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,xxl dog crate,,,,,,,,,,,,,,,,,,,,,2,2,16.5,1,0,1,0,
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/large-cat-carriers,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Large Cat Carriers (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best large cat carriers! We carry a large selection and the top brands like Frisco, Snoozer Pet Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",248,chewy cat carrier,Large Cat Carriers,1,large-cat-carriers,True,True,False,False,False,False,False,False,53,343,3,,,,,,,3,3,13.33,2,0,1,0,5.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/airline-approved-cat-carriers,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,cat carrier chewy,,,,,,,,,,,,,,,,,,,,,3,3,21.67,0,1,2,0,
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/hard-pet-carrier,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,,,,,hard pet carrier,,,,,,,,,,,,,,,,,,,,,5,5,15.2,3,0,2,0,
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/cat-enclosures,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Cat Enclosures (Free Shipping) | Chewy,38,"Shop Chewy for low prices and the best cat enclosures! We carry a large selection and the top brands like The Refined Feline, Cesicia, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",243,cat enclosures,Cat Enclosures,1,cat-enclosures,True,True,False,False,False,False,False,False,11,344,4,,,,,,,4,4,9.25,2,1,1,0,11.0
HVSP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/sp/designer-dog-collars,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Designer Dog Collars (Free Shipping) | Chewy,44,"Shop Chewy for low prices and the best designer dog collars! We carry a large selection and the top brands like LupinePet, Doggie Design, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",246,designer dog collars,Designer Dog Collars,1,designer-dog-collars,True,True,False,False,False,False,False,False,841,344,3,,,,,,,2,2,21.5,0,1,1,0,1.0
