page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/cat-treats-human-food,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Cat Treats Human Food (Free Shipping) | Chewy,45,"Shop Chewy for low prices and the best cat treats human food! We carry a large selection and the top brands like Applaws, PureBites, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,cat food and treats by chewy,Cat Treats Human Food,1,cat-treats-human-food,True,True,False,False,False,False,False,False,331,341,2,,,,,,,1,1,16.0,0,1,0,0,1.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/mouse-litter-box,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Mouse Litter Box (Free Shipping) | Chewy,40,"Shop Chewy for low prices and the best mouse litter box! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,mouse litter box,Mouse Litter Box,1,mouse-litter-box,True,True,False,False,False,False,False,False,251,344,3,,,,,,,3,2,,0,0,0,3,1.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/healthy-treats-for-cats,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Healthy Treats For Cats (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best healthy treats for cats! We carry a large selection and the top brands like Trilostane Compounded, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,healthy treats for cats,Healthy Treats For Cats,1,healthy-treats-for-cats,True,True,False,False,False,False,False,False,687,344,2,,,,,,,4,4,19.0,0,1,1,2,3.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/ferret-cage-extensions,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Ferret Cage Extensions (Free Shipping) | Chewy,46,"Shop Chewy for low prices and the best ferret cage extensions! We carry a large selection and the top brands like MidWest, PawHut, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,ferret cage extensions,Ferret Cage Extensions,1,ferret-cage-extensions,True,True,False,False,False,False,False,False,7,345,4,,,,,,,3,2,23.0,0,0,1,2,1.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/healthy-dog-treats,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Healthy Dog Treats (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best healthy dog treats! We carry a large selection and the top brands like Healthy Breeds, Trilostane Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",257,chewy dog food treats,Healthy Dog Treats,1,healthy-dog-treats,True,True,False,False,False,False,False,False,2385,344,2,,,,,,,7,7,19.43,0,4,3,0,1.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/gerbil-water-feeder,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Gerbil Water Feeder (Free Shipping) | Chewy,43,"Shop Chewy for low prices and the best gerbil water feeder! We carry a large selection and the top brands like Frisco, Little Giant, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,mongolian gerbil feeder,Gerbil Water Feeder,1,gerbil-water-feeder,True,True,False,False,False,False,False,False,84,344,4,,,,,,,6,4,18.0,0,3,1,2,1.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/pink-dog-coats-for-large-dogs,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Pink Dog Coats For Large Dogs (Free Shipping) | Chewy,53,"Shop Chewy for low prices and the best pink dog coats for large dogs! We carry a large selection and the top brands like LupinePet, The Worthy Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,pink dog coats for large dogs,Pink Dog Coats For Large Dogs,1,pink-dog-coats-for-large-dogs,True,True,False,False,False,False,False,False,401,343,3,,,,,,,1,1,24.0,0,0,1,0,1.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/self-play-cat-toys,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Self Play Cat Toys (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best self play cat toys! We carry a large selection and the top brands like allforpaws, NonoPets, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,cat toys chewy,Self Play Cat Toys,1,self-play-cat-toys,True,True,False,False,False,False,False,False,472,341,2,,,,,,,7,7,18.86,0,6,1,0,1.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/indestructible-dog-toys,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Indestructible Dog Toys (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best indestructible dog toys! We carry a large selection and the top brands like Pets First, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",247,indestructible dog toys,Indestructible Dog Toys,1,indestructible-dog-toys,True,True,False,False,False,False,False,False,209,344,3,good,1998.0,good,0.07,,,3,3,19.0,0,2,1,0,6.0
HVSP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/sp/bulk-dog-supplies,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,bulk dog treats,,,,,,,,,,,,,,,,,,,,,9,9,24.33,0,1,8,0,
