page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/parrot-food-pellets_c943_f2v64311,True,Update meta-description templates to reflect the primary ranking phrase.,best pellet bird food,PARROT FOOD PELLETS (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on Parrot Food Pellets and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Parrot Food Pellets for your pet.",219,best pellet bird food,Parrot Food Pellets,1,parrot-food-pellets,True,True,False,False,True,False,False,False,84,355,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/joint-support-horses_c1691_f50v13679,True,Update meta-description templates to reflect the primary ranking phrase.,horse soreness relief,JOINT SUPPORT FOR HORSES | CHEWY,32,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,horse soreness relief,Joint Support For Horses,1,joint-support-horses,True,True,False,False,True,False,False,False,36,345,2,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/chicken-feed-pellets_c951_f2v64311,True,Update meta-description templates to reflect the primary ranking phrase.,chicken feed pellets,PELLET FEED FOR CHICKENS (Free Shipping) | Chewy,48,"Shop Chewy for the best deals on Pellet Feed For Chickens and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Pellet Feed For Chickens for your pet.",229,chicken feed pellets,Pellet Feed For Chickens,1,chicken-feed-pellets,True,True,False,False,True,False,False,True,30,363,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/liquid-probiotics-cats_c1577_f83v20482,True,Update meta-description templates to reflect the primary ranking phrase.,digestive health and probiotic liquid and gel supplements for cats,LIQUID PROBIOTICS FOR CATS (Free Shipping) | Chewy,50,"Shop Chewy for the best deals on Liquid Probiotics for Cats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Liquid Probiotics for Cats for your pet.",233,digestive health and probiotic liquid and gel supplements for cats,Liquid Probiotics for Cats,1,liquid-probiotics-cats,True,True,False,False,True,False,False,False,5,346,2,,,,,,,2,2,2.0,2,0,0,0,3.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/adult-cat-food_c387_f5v9060,True,Update meta-description templates to reflect the primary ranking phrase.,chewy com cats,ADULT CAT FOOD (Free Shipping) | Chewy,38,"Shop Chewy for the best deals on Adult Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Adult Cat Food for your pet.",209,chewy com cats,Adult Cat Food,1,adult-cat-food,True,True,False,False,True,False,False,False,1333,436,2,,,,,,,3,3,29.0,0,0,1,2,5.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/injectable-allergy-medicine-dogs_c11568_f83v383900,True,Update meta-description templates to reflect the primary ranking phrase.,cytopoint chewy,INJECTABLE ALLERGY MEDICINE FOR DOGS (Free Shipping) | Chewy,60,"Shop Chewy for the best deals on Injectable Allergy Medicine for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Injectable Allergy Medicine for Dogs for your pet.",253,cytopoint chewy,Injectable Allergy Medicine for Dogs,1,injectable-allergy-medicine-dogs,True,True,False,False,True,False,False,False,4,318,2,,,,,,,2,2,4.5,2,0,0,0,11.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/tortoise-terrariums-habitats_c1036_f57v68273,True,Update meta-description templates to reflect the primary ranking phrase.,russian tortoise enclosure,TORTOISE TERRARIUMS & HABITATS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Tortoise Terrariums & Habitats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tortoise Terrariums & Habitats for your pet.",241,russian tortoise enclosure,Tortoise Terrariums & Habitats,1,tortoise-terrariums-habitats,True,True,False,False,True,False,False,True,56,366,2,,,,,,,6,6,6.8,4,1,0,1,13.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/40-gallon-fish-tanks_c1735_f739v966790,True,Update meta-description templates to reflect the primary ranking phrase.,40 gallon saltwater aquarium,40 GALLON FISH TANKS & UNDER (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on 31-40 Gallon Fish Tanks and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right 31-40 Gallon Fish Tanks & Under for your pet.",235,40 gallon saltwater aquarium,40 Gallon Fish Tanks,1,40-gallon-fish-tanks,True,True,False,False,True,False,False,True,14,327,2,,,,,,,3,3,17.33,0,3,0,0,9.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/incandescent-heating-lighting_c1047_f68v85073,True,Update meta-description templates to reflect the primary ranking phrase.,snake heat lamp and bulbs,INCANDESCENT HEATING & LIGHTING REPTILES (Free Shipping) | Chewy,64,"Shop Chewy for the best deals on Incandescent Heating & Lighting Reptiles and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Incandescent Heating & Lighting Reptiles for your pet.",261,snake heat lamp and bulbs,Incandescent Heating & Lighting Reptiles,1,incandescent-heating-lighting,True,True,False,False,True,False,False,False,48,356,2,,,,,,,2,2,,0,0,0,2,1.0
HVF,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/f/puppy-clothes_c1470_f6v13790,True,Update meta-description templates to reflect the primary ranking phrase.,best extra small breed puppy apparel,PUPPY CLOTHES (Free Shipping) | Chewy,37,"Browse puppy clothes at Chewy, including puppy outfits and cute puppy clothes for walks, photos, celebrations, layering, and everyday comfort.",142,best extra small breed puppy apparel,Puppy Clothes,1,puppy-clothes,True,True,False,False,True,False,False,True,368,455,2,,,,,,,2,2,20.0,0,1,0,1,2.0
