page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Links,Below inlink target,https://www.chewy.com/b/autoship-save-15682,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Autoship & Save - Free shipping | Chewy,39,Shop Chewy for low prices and the best Autoship & Save! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,chewy autoship,Autoship & Save,1,autoship-save,True,True,False,False,True,False,False,False,6,313,1,good,1551.0,good,0.005,,,164,159,12.78,57,42,29,36,62.0
Browse,Links,Below inlink target,https://www.chewy.com/b/wild-bird-12931,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",5,,,,,,,0,wild-bird,,True,False,False,False,False,False,False,5,0,1,,,,,,,,,,,,,,
Browse,Links,Below inlink target,https://www.chewy.com/b/daily-calming-165406,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",11,Prescription Calming Medications for Ongoing Behavior Support in Dogs - Free shipping | Chewy,93,"Shop Chewy for low prices and the best Daily Calming! We carry a large selection and the top brands like Fluoxetine HCl Compounded, Clomipramine HCl Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",269,,Prescription Calming Medications for Ongoing Behavior Support in Dogs,1,daily-calming,True,True,False,False,True,False,False,False,11,331,2,,,,,,,,,,,,,,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/situational-calming-165414,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",12,"Prescription Calming Medications for Travel, Storms & More - Free shipping | Chewy",82,"Shop Chewy for low prices and the best Situational Calming! We carry a large selection and the top brands like Gabapentin Compounded, Trazodone HCl Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",268,,"Prescription Calming Medications for Travel, Storms & More",1,situational-calming,True,True,False,False,True,False,False,False,12,329,2,,,,,,,,,,,,,,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/daily-calming-165686,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",15,Prescription Calming Medications for Cats - Daily Behavior Support - Free shipping | Chewy,90,"Shop Chewy for low prices and the best Daily Calming! We carry a large selection and the top brands like Fluoxetine HCl Compounded, Clomipramine HCl Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",269,,Prescription Calming Medications for Cats - Daily Behavior Support,1,daily-calming,True,True,False,False,True,False,False,False,15,330,2,,,,,,,,,,,,,,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/llama-supplements-12747,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",3,Llama Supplements | Chewy,25,"Shop Chewy for low prices and the best Health & Insect Control! We carry a large selection and the top brands like Andover Healthcare, Nature's Helper, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",260,llama and alpaca health and insect control,Llama & Alpaca Health & Insect Control,1,llama-supplements,True,True,False,False,True,False,False,True,3,348,2,,,,,,,1,1,2.0,1,0,0,0,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/hairball-control-442,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,,,,,,,0,hairball-control,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,
Browse,Links,Below inlink target,https://www.chewy.com/b/eye-care-420,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",7,,,,,,,0,eye-care,,True,False,False,False,False,False,False,7,0,2,,,,,,,,,,,,,,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/ear-care-421,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,,,,,,,0,ear-care,,True,False,False,False,False,False,False,4,0,2,,,,,,,,,,,,,,
Browse,Links,Below inlink target,https://www.chewy.com/b/first-aid-recovery-452,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",5,,,,,,,0,first-aid-recovery,,True,False,False,False,False,False,False,5,0,2,,,,,,,,,,,,,,
Browse,Links,Below inlink target,https://www.chewy.com/b/test-kits-2690,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,,,,,,,0,test-kits,,True,False,False,False,False,False,False,4,0,2,,,,,,,,,,,,,,
Browse,Links,Below inlink target,https://www.chewy.com/b/dog-ear-powder-2438,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",11,Dog Ear Powders & Gels (Free Shipping) | Chewy,46,"Shop Chewy for low prices and the best Gels & Powders! We carry a large selection and the top brands like Bio-Groom, Professional Pet Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,dog ear powders,Dog Ear Powders,1,dog-ear-powder,True,True,False,False,True,False,False,True,11,316,2,,,,,,,5,5,13.8,2,2,1,0,4.0
Browse,Links,Below inlink target,https://www.chewy.com/b/metabolic-medications-170926,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",14,Metabolic Prescription Medications for Horses - Free shipping | Chewy,69,"Shop Chewy for low prices and the best Metabolic Medications! We carry a large selection and the top brands like Trilostane Compounded, Pergolide Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",266,,Metabolic Prescription Medications for Horses,1,metabolic-medications,False,False,False,False,True,False,False,False,14,348,2,,,,,,,,,,,,,,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/joint-support-medications-171086,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",19,Joint Support and Anti-Inflammatory Medications - Free shipping | Chewy,71,"Shop Chewy for low prices and the best Joint Support Medications! We carry a large selection and the top brands like Prednisone Compounded, Isoxsuprine HCl Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",276,,Joint Support and Anti-Inflammatory Medications,1,joint-support-medications,False,False,False,False,True,False,False,False,19,352,2,,,,,,,,,,,,,,
Browse,Links,Below inlink target,https://www.chewy.com/b/chicken-feed-951,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",8,Chicken Feed | Chewy,20,"Buy nutrient-rich Chicken Feed from Chewy. Your chickens and poultry will love our specialty-diet GMO-free, high-protein, organic and vegetarian options from top-rated brands!",175,chicken feed,Chicken Feed,1,chicken-feed,False,False,False,False,True,False,False,True,8,375,2,,,,,,,40,38,16.3,9,13,11,7,
Browse,Links,Below inlink target,https://www.chewy.com/b/medicated-feed-171150,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",20,Medicated Feed - Free shipping | Chewy,38,"Shop Chewy for low prices and the best Medicated Feed! We carry a large selection and the top brands like Purina Animal Nutrition, Hudson Feeds, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",253,,Medicated Feed,1,medicated-feed,True,True,False,False,True,False,False,False,20,322,2,,,,,,,,,,,,,,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/rawhide-1545,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,,,,,,,0,rawhide,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,
Browse,Links,Below inlink target,https://www.chewy.com/b/antlers-1541,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,,,,,,,0,antlers,,True,False,False,False,False,False,False,4,0,2,,,,,,,,,,,,,,1.0
Browse,Links,Below inlink target,https://www.chewy.com/b/natural-chews-1544,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,,,,,,,0,natural-chews,,True,False,False,False,False,False,False,4,0,2,,,,,,,,,,,,,,
