page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/pet-tech-dna-tests-16160,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,cyber week deals on dog technology,,,,,,,,,,,,,,,,,,,,,4,4,17.0,0,1,0,3,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/small-animal-bedding-and-litter-13513,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Small Animal Bedding & Litter | Chewy,37,"Shop Chewy for small pet bedding and litter, liners pans and accessories from all the top brands. We carry products for rabbits, guinea pigs, ferrets, hamsters, gerbils and more. Having a clean, cozy habitat is extremely important for small critters. *FREE* shipping on orders $49+ and the BEST customer service.",312,deals on small animal litter,Small Animal Bedding & Litter,1,small-animal-bedding-and-litter,True,True,False,False,True,False,False,True,209,377,2,,,,,,,3,3,27.0,0,0,1,2,1.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/cyber-monday-bird-food-treats-13253,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Cyber Week 2023 Deals on Bird Food & Treats | Chewy,51,"Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like Kaytee, Brown's, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",230,cyber week deals on bird food and treats,Cyber Week Deals on Bird Food & Treats,1,cyber-monday-bird-food-treats,True,True,False,False,True,False,False,False,60,344,7,,,,,,,1,1,,0,0,0,1,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/black-friday-dog-vitamins-supplements-8538,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,black friday deals on dog vitamins and supplements,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/trending-cat-costumes-12470,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Trending Cat Costumes - Free shipping | Chewy,45,Shop Chewy for low prices and the best Trending products! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,224,trending cat costumes,Trending Cat Costumes,1,trending-cat-costumes,True,True,False,False,True,False,False,True,13,328,4,,,,,,,1,1,,0,0,0,1,1.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/career-costumes-12334,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,career cat costumes,,,,,,,,,,,,,,,,,,,,,1,1,28.0,0,0,1,0,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/black-friday-dog-beds-crates-containment-5243,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,black friday deals on dog beds crates and containment,,,,,,,,,,,,,,,,,,,,,2,1,16.0,0,1,0,1,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/cyber-monday-cat-scratcher-toys-8587,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Cyber Week 2025 Deals on Cat Scratcher Toys | Chewy,51,"Shop Chewy for low prices and the best Scratchers products! We carry a large selection and the top brands like Frisco, Necoichi, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,cyber week deals on cat scratcher toys,Cyber Week Deals on Cat Scratcher Toys,1,cyber-monday-cat-scratcher-toys,True,True,False,False,True,False,False,False,88,347,7,,,,,,,1,1,,0,0,0,1,1.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/dog-2669,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,New Arrivals for Dogs - Free shipping | Chewy,45,"Shop Chewy for low prices and the best Dog products! We carry a large selection and the top brands like Parisian Pet, Kseroo, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,new arrivals for dogs,New Arrivals for Dogs,1,dog,True,True,False,False,True,False,False,False,6603,350,3,,,,,,,1,1,,0,0,0,1,1.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/black-friday-dog-collars-leashes-clothing-13439,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,black friday deals on dog collars and leashes,,,,,,,,,,,,,,,,,,,,,1,1,16.0,0,1,0,0,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/dog-14340,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,top rated dog toys treats and more by chewy,,,,,,,,,,,,,,,,,,,,,2,2,22.5,0,1,1,0,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/toys-127238,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,add once to your next autoship dog toys,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/toys-14364,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy com cat toys,,,,,,,,,,,,,,,,,,,,,3,3,25.0,0,0,1,2,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/black-friday-dog-freeze-dried-dehydrated-treats-3256,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,black friday deals on freeze-dried and dehydrated dog treats,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/rugs-home-goods-4322814,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Rugs & Home Goods - Free shipping | Chewy,41,"Shop Chewy for low prices and the best Rugs & Home Goods! We carry a large selection and the top brands like Hi-Line Gift, Nuloom, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,chewy home collection,Rugs & Home Goods,1,rugs-home-goods,True,True,False,False,True,False,False,False,3825,348,3,,,,,,,1,1,18.0,0,1,0,0,1.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/cat-home-goods-12438,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Cat Birthday Home Goods - Free shipping | Chewy,47,"Shop Chewy for low prices and the best Cat Home Goods! We carry a large selection and the top brands like Majestic Pet, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,chewy home collection,Cat Birthday Home Goods,1,cat-home-goods,True,True,False,False,True,False,False,False,10,341,5,,,,,,,1,1,26.0,0,0,1,0,1.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/fun-trendy-165174,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Fun & Trendy Cat Furniture - Free shipping | Chewy,50,"Shop Chewy for low prices and the best Fun & Trendy! We carry a large selection and the top brands like THE LICKER STORE, Happy & Polly, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",245,chewy home collection,Fun & Trendy Cat Furniture,1,fun-trendy,True,True,False,False,True,False,False,False,230,355,2,,,,,,,1,1,27.0,0,0,1,0,1.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/dog-11501,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"Dog Halloween Collars, Bandanas & Harnesses - Free shipping | Chewy",67,"Shop Chewy for low prices and the best Dog products! We carry a large selection and the top brands like Buckle-Down, The Worthy Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,cat and dog halloween collars bandanas and harnesses,"Dog Halloween Collars, Bandanas & Harnesses",1,dog,True,True,False,False,True,False,False,False,14,350,5,,,,,,,2,2,,0,0,0,2,8.0
Browse,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/b/shop-by-dog-8940,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,dog food chewy,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
