page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Speed,INP measurement missing,https://www.chewy.com/chewy-egift-card/dp/226306,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,Speed,INP measurement missing,https://www.chewy.com/frisco-summer-coastal-crab-fetch/dp/2122958,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"FRISCO Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium - Chewy.com",78,"Buy Frisco Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium at Chewy.com. FREE shipping and the BEST customer service!",129,,"Frisco Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium",1,frisco-summer-coastal-crab-fetch,True,True,False,False,True,True,True,True,111,318,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/chuckit-ultra-rubber-ball-tough-dog/dp/38371,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"CHUCKIT! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack - Chewy.com",68,"Buy Chuckit! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack at Chewy.com. FREE shipping and the BEST customer service!",119,,"Chuckit! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack",1,chuckit-ultra-rubber-ball-tough-dog,True,True,False,False,True,True,True,True,630,330,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/canada-pooch-cooling-20-dog-snood/dp/1467878,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"CANADA POOCH Cooling 2.0 Dog Snood, Grey, Large - Chewy.com",59,"Buy Canada Pooch Cooling 2.0 Dog Snood, Grey, Large at Chewy.com. FREE shipping and the BEST customer service!",110,,"Canada Pooch Cooling 2.0 Dog Snood, Grey, Large",1,canada-pooch-cooling-20-dog-snood,True,True,False,False,True,True,True,True,17,311,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/lucy-co-tinned-fish-step-in-cat/dp/3827782,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"LUCY & CO. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest - Chewy.com",82,"Buy Lucy & Co. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest at Chewy.com. FREE shipping and the BEST customer service!",133,,"Lucy & Co. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest",1,lucy-co-tinned-fish-step-in-cat,True,True,False,False,True,True,True,True,32,324,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/kong-squeakair-balls-packs-dog-toy/dp/177318,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count - Chewy.com",63,"Buy KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count at Chewy.com. FREE shipping and the BEST customer service!",114,,"KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count",1,kong-squeakair-balls-packs-dog-toy,True,True,False,False,True,True,True,True,85,318,1,good,2177.0,needs,0.12,,,,,,,,,,8.0
PDP,Speed,INP measurement missing,https://www.chewy.com/ruffwear-hitch-hiker-polyester/dp/3975342,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"RUFFWEAR Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime - Chewy.com",112,"Buy Ruffwear Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime at Chewy.com. FREE shipping and the BEST customer service!",163,,"Ruffwear Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime",1,ruffwear-hitch-hiker-polyester,True,True,False,False,True,True,True,True,7,314,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/frisco-summer-coastal-shark-bubble/dp/2123230,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,FRISCO Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip - Chewy.com,95,Buy Frisco Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip at Chewy.com. FREE shipping and the BEST customer service!,146,,Frisco Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip,1,frisco-summer-coastal-shark-bubble,True,True,False,False,True,True,True,True,107,317,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/worthy-dog-rubber-duck-dog-dress-blue/dp/1573622,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"THE WORTHY DOG Rubber Duck Dog Dress, Blue, Large - Chewy.com",61,"Buy The Worthy Dog Rubber Duck Dog Dress, Blue, Large at Chewy.com. FREE shipping and the BEST customer service!",112,,"The Worthy Dog Rubber Duck Dog Dress, Blue, Large",1,worthy-dog-rubber-duck-dog-dress-blue,True,True,False,False,True,True,True,False,6,315,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/frisco-summer-coastal-lobster/dp/2123166,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,FRISCO Coastal Lobster Restaurant Cardboard Cat House with Catnip - Chewy.com,77,Buy Frisco Coastal Lobster Restaurant Cardboard Cat House with Catnip at Chewy.com. FREE shipping and the BEST customer service!,128,,Frisco Coastal Lobster Restaurant Cardboard Cat House with Catnip,1,frisco-summer-coastal-lobster,True,True,False,False,True,True,True,True,47,319,1,good,1871.0,good,0.0,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/non-stop-dogwear-cooling-dog-vest/dp/3595310,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"NON-STOP DOGWEAR Cooling Dog Vest, Light Gray/Teal, Medium - Chewy.com",70,"Buy Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, Medium at Chewy.com. FREE shipping and the BEST customer service!",121,,"Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, Medium",1,non-stop-dogwear-cooling-dog-vest,True,False,False,False,True,True,True,True,15,310,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/frisco-hot-tropics-flamingo-feathers/dp/1329166,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,FRISCO Flamingo with Feathers Plush Kicker Cat Toy with Silvervine & Catnip - Chewy.com,87,Buy Frisco Flamingo with Feathers Plush Kicker Cat Toy with Silvervine & Catnip at Chewy.com. FREE shipping and the BEST customer service!,138,,Frisco Flamingo with Feathers Plush Kicker Cat Toy with Silvervine & Catnip,1,frisco-hot-tropics-flamingo-feathers,True,True,False,False,True,True,True,True,48,317,1,,,,,,,,,,,,,,1.0
PDP,Speed,INP measurement missing,https://www.chewy.com/reconcile-fluoxetine-hydrochloride/dp/191440,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"RECONCILE (fluoxetine hydrochloride) Tablets for Dogs, 32-mg - Easy Refills | Chewy Rx",86,"Help your canine companion cope with separation anxiety by giving him Reconcile Tablets for Dogs. These flavored, chewable tablets are formulated with fluoxetine hydrochloride and are FDA-approved for the treatment of canine separation anxiety when combined with a behavior modification plan. Reconcile not only helps your pup stay calm during stressful moments of separation, but it can also help reduce harmful behavior and even make him more open to training.",462,,"Reconcile (fluoxetine hydrochloride) Tablets for Dogs, 32-mg, 30 tablets",1,reconcile-fluoxetine-hydrochloride,True,True,False,False,True,True,True,True,49,322,2,good,2101.0,good,0.08,,,,,,,,,,2.0
PDP,Speed,INP measurement missing,https://www.chewy.com/sileo-dexmedetomidine-oromucosal/dp/173139,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"SILEO (dexmedetomidine oromucosal) Oromucosal Gel for Dogs, 0.09-mg/mL, 3-mL - Easy Refills | Chewy Rx",102,"Sileo (dexmedetomidine oromucosal gel) is the first and only FDA-approved treatment for dogs that suffer from noise aversion. This medication is prescribed by your veterinarian to help calm your dog when your pet is frightened by loud noises. Common noise aversion triggers include fireworks, thunder, construction work, traffic or street noise, celebrations, vacuum cleaners and smoke detectors.",396,sileo,"Sileo (dexmedetomidine oromucosal) Oromucosal Gel for Dogs, 0.09-mg/mL, 3-mL",1,sileo-dexmedetomidine-oromucosal,True,True,False,False,True,True,True,True,61,319,2,good,2073.0,good,0.065,,,1,1,4.0,1,0,0,0,6.0
PDP,Speed,INP measurement missing,https://www.chewy.com/clomipramine-hydrochloride-generic/dp/396183,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"CLOMIPRAMINE HYDROCHLORIDE (Generic) Tablets, 20 mg - Easy Refills | Chewy Rx",77,"Some furry friends have a very hard time being separated from their pet parents, but thankfully there are ways to help. Clomipramine Hydrochloride (Generic) Tablets is a prescriptions medication formulated to help reduce clinical signs of separation anxiety. It works by affecting serotonergic and noradrenergic neuronal transmission into your pets central nervous system.",372,,"Clomipramine Hydrochloride (Generic) Tablets, 20 mg, 30 tablets",1,clomipramine-hydrochloride-generic,True,False,False,False,True,True,True,True,87,325,2,,,,,,,,,,,,,,2.0
PDP,Speed,INP measurement missing,https://www.chewy.com/acepromazine-maleate-generic-tablets/dp/320693,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"ACEPROMAZINE Maleate (Generic) Tablets for Dogs, 25-mg - Easy Refills | Chewy Rx",80,"Acepromazine Maleate is a prescription medication for dogs who need tranquilization. This medication is not a pain reliever but can be used to sedate animals for minor procedures, such as nail trims. It comes in an uncoated tablet form, so you can easily hide it in a pill pocket and give it as a tasty treat or disguise it in your dog's favorite wet food.",356,,"Acepromazine Maleate (Generic) Tablets for Dogs, 25-mg, 30 tablets",1,acepromazine-maleate-generic-tablets,True,False,False,False,True,True,True,True,43,322,2,,,,,,,,,,,,,,
PDP,Speed,INP measurement missing,https://www.chewy.com/cerenia-maropitant-citrate-tablets/dp/173067,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"CERENIA (Maropitant Citrate) Tablets for Dogs, 16-mg - Easy Refills | Chewy Rx",78,"Cerenia is the first and only FDA-approved medication prescribed by veterinarians for dogs to help treat and help prevent vomiting caused by motion sickness. Each tablet is scored, allowing for easy and accurate dosing. As many as 1 in 5 dogs suffer from canine motion sickness, so whether you are taking your furry friend to the vet or going on a road trip together, Cerenia tablets are the number one choice among veterinarians to help stop your pal from feeling sick.",470,cerenia,"Cerenia (Maropitant Citrate) Tablets for Dogs, 16-mg, 4 tablets",1,cerenia-maropitant-citrate-tablets,True,True,False,False,True,True,True,True,371,324,2,good,2176.0,good,0.04,,,3,2,1.0,1,0,0,2,25.0
PDP,Speed,INP measurement missing,https://www.chewy.com/fluoxetine-generic-tablets-dogs-10-mg/dp/322086,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"FLUOXETINE (Generic) Tablets, 10-mg - Easy Refills | Chewy Rx",61,"Fluoxetine is in the class of medications called selective serotonin reuptake inhibitors (SSRIs) that are prescribed for humans to treat a wide range of anxiety disorders (Major Depressive Disorder, Obsessive Compulsive Disorder, Bulimia Nervosa, and Panic Disorder). In companion animals, fluoxetine is used to alleviate their anxiety and helps to decrease their destructive, anxiety-related behaviors. Veterinarians prescribe fluoxetine in generic, proprietary (Prozac) and compounded formulations to dogs, cats and birds for a variety of behavioral problems.",561,,"Fluoxetine (Generic) Tablets, 10-mg, 30 tablets",1,fluoxetine-generic-tablets-dogs-10-mg,True,False,False,False,True,True,True,True,48,323,2,good,2286.0,good,0.065,,,,,,,,,,3.0
PDP,Speed,INP measurement missing,https://www.chewy.com/clomicalm-clomipramine-hcl-tablets/dp/323200,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,"CLOMICALM (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets - Easy Refills | Chewy Rx",90,Clomicalm is an oral medication prescribed by veterinarians to help control anxiety - including separation anxiety in dogs. These tablets can also be used as part of a behavior modification program. This medication comes in an oral tablet form and can be easily disguised in your canine companions favorite food.,312,,"Clomicalm (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets",1,clomicalm-clomipramine-hcl-tablets,True,False,False,False,True,True,True,True,27,322,2,,,,,,,,,,,,,,4.0
