page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/parrot-food-toys_c12966_f164v202868,True,Add breadcrumb schema.,,,,,,,,0,parrot-food-toys,,True,False,False,False,False,False,False,86,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/delectables_f1v32446,True,Add breadcrumb schema.,,Delectables - Free shipping | Chewy,35,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Delectables,1,delectables,True,True,False,False,False,False,False,False,173,339,2,,,,,,,,,,,,,,1.0
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/dry-food-senior-cats_c388_f5v9063,True,Add breadcrumb schema.,,,,,,,,0,dry-food-senior-cats,,True,False,False,False,False,False,False,293,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/horse-first-aid-supplies_c1691_f50v68823,True,Add breadcrumb schema.,,,,,,,,0,horse-first-aid-supplies,,True,False,False,False,False,False,False,425,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/cockatiel-food-treats_c946_f2v20223,True,Add breadcrumb schema.,,,,,,,,0,cockatiel-food-treats,,True,False,False,False,False,False,False,48,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/therapetmd_f1v31086,True,Add breadcrumb schema.,,TherapetMD - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,TherapetMD,1,therapetmd,True,True,False,False,False,False,False,False,215,307,2,,,,,,,,,,,,,,1.0
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/dry-reptile-food_c1026_f2v9069,True,Add breadcrumb schema.,,,,,,,,0,dry-reptile-food,,True,False,False,False,False,False,False,214,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/parakeet-perch-toys_c12937_f164v829717,True,Add breadcrumb schema.,,,,,,,,0,parakeet-perch-toys,,True,False,False,False,False,False,False,49,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/glowing-light-up-cat-toys_c326_f58v370687,True,Add breadcrumb schema.,,,,,,,,0,glowing-light-up-cat-toys,,True,False,False,False,False,False,False,326,0,2,,,,,,,,,,,,,,1.0
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/plastic-bird-perches-toys_c967_f7v17023,True,Add breadcrumb schema.,,,,,,,,0,plastic-bird-perches-toys,,True,False,False,False,False,False,False,106,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/stainless-steel-bird-perches-toys_c967_f7v17020,True,Add breadcrumb schema.,,,,,,,,0,stainless-steel-bird-perches-toys,,True,False,False,False,False,False,False,106,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/steel-bird-cages_c1743_f7v375469,True,Add breadcrumb schema.,,,,,,,,0,steel-bird-cages,,True,False,False,False,False,False,False,23,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/purple-dog-beds_c365_f51v257520,True,Add breadcrumb schema.,,,,,,purple dog beds,,0,purple-dog-beds,,True,False,False,False,False,False,False,421,0,2,,,,,,,1,1,20.0,0,1,0,0,4.0
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/blue-buffalo-dog-treats_c335_f1v144700,True,Add breadcrumb schema.,,,,,,,,0,blue-buffalo-dog-treats,,True,False,False,False,False,False,False,204,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/horse-stable-blankets_c11455_f213v752349,True,Add breadcrumb schema.,,,,,,,,0,horse-stable-blankets,,True,False,False,False,False,False,False,305,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/unscented-dust-free-cat-litter_c10663_f64v70044,True,Add breadcrumb schema.,,,,,,,,0,unscented-dust-free-cat-litter,,True,False,False,False,False,False,False,7,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/small-pet-chew-toys_c1066_f235v15668,True,Add breadcrumb schema.,,,,,,,,0,small-pet-chew-toys,,True,False,False,False,False,False,False,238,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/horse-medicine-pain_c11617_f88v377550,True,Add breadcrumb schema.,,,,,,,,0,horse-medicine-pain,,True,False,False,False,False,False,False,4,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/pet-rat-chew-toys_c10983_f235v15668,True,Add breadcrumb schema.,,,,,,,,0,pet-rat-chew-toys,,True,False,False,False,False,False,False,46,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/natural-dry-dog-food_c294_f3v716857,True,Add breadcrumb schema.,,,,,,,,0,natural-dry-dog-food,,True,False,False,False,False,False,False,340,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/chicken-flavored-dry-dog-food_c294_f4v19896,True,Add breadcrumb schema.,,,,,,chicken flavored dog food,,0,chicken-flavored-dry-dog-food,,True,False,False,False,False,False,False,303,0,2,,,,,,,2,2,3.0,2,0,0,0,1.0
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/clumping-natural-cat-litter_c10664_f64v70038,True,Add breadcrumb schema.,,,,,,,,0,clumping-natural-cat-litter,,True,False,False,False,False,False,False,31,0,2,,,,,,,,,,,,,,
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/green-cat-trees-condos_c1482_f51v257514,True,Add breadcrumb schema.,,,,,,green cat trees,,0,green-cat-trees-condos,,True,False,False,False,False,False,False,80,0,2,,,,,,,6,4,1.75,4,0,0,2,9.0
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/fashions-talk_f1v23830,True,Add breadcrumb schema.,,Fashion's Talk - Free shipping | Chewy,38,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Fashion's Talk,1,fashions-talk,True,True,False,False,False,False,False,False,33,335,3,,,,,,,,,,,,,,1.0
HVF,Schema,Breadcrumb schema missing,https://www.chewy.com/f/ae-cage-company_f1v542415,True,Add breadcrumb schema.,,,,,,,,0,ae-cage-company,,True,False,False,False,False,False,False,452,0,3,,,,,,,,,,,,,,
