page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/black-friday-deals-on-dog-toys_c2810_f164v829800,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on dog chew toys,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/exclusively-dog-dog-treats_c335_f1v469849,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,exclusively dog,,,,,,,,,,,,,,,,,,,,,5,5,10.0,1,1,0,3,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/dog-training-treats-deals_c1550_f10101v90412,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy exclusive dog training treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/triumph-jerky-dog-treats_c1546_f1v110023,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,triumph dog treats,,,,,,,,,,,,,,,,,,,,,3,3,7.5,1,1,0,1,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/black-friday-bird-food_c2731_f164v202868,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday bird food,,,,,,,,,,,,,,,,,,,,,2,2,1.0,2,0,0,0,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/carefresh-hedgehog-supplies_c10859_f1v465544,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,carefresh hedgehog supplies,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/pet-zone-cat-toys_c326_f1v249798,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,pet zone cat toys,,,,,,,,,,,,,,,,,,,,,2,2,1.0,2,0,0,0,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/yellow-dog-chew-toys_c316_f51v257525,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,yellow dog toys,,,,,,,,,,,,,,,,,,,,,3,3,2.0,2,0,0,1,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/bone-dry-dog-beds_c365_f1v294675,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,bone dry dog beds,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVF,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/f/aspca-dog-beds_c365_f1v294032,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,aspca dog beds,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
