page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Speed,LCP is not good,https://www.chewy.com/chewy-egift-card/dp/226306,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2608.0,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,Speed,LCP is not good,https://www.chewy.com/gabapentin-compounded-oral-liquid/dp/1105630,True,Prioritize template performance work for pages with needs-improvement or poor field data.,4001.0,"GABAPENTIN COMPOUNDED Chicken Oral Oil Suspension, 50 mg/ml, 30 ml for Veterinary use - Easy Refills | Chewy Rx",111,Gabapentin is a prescription medication used to treat chronic pain or may be used for refractory or complex seizures.,117,gabapentin for dogs chewy,"Gabapentin Compounded Chicken Oral Oil Suspension, 50 mg/ml, 30 ml for Veterinary use",1,gabapentin-compounded-oral-liquid,True,True,False,False,True,True,True,False,50,333,2,poor,4001.0,good,0.06,,,1,1,,0,0,0,1,5.0
PDP,Speed,LCP is not good,https://www.chewy.com/hills-science-diet-adult-small-mini/dp/34122,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2522.0,"HILL'S SCIENCE DIET Adult Small Breed & Mini Breed Chicken Meal & Rice Recipe Dry Dog Food, 15.5-lb bag - Chewy.com",115,"Buy Hill's Science Diet Adult Small Breed & Mini Breed Chicken Meal & Rice Recipe Dry Dog Food, 15.5-lb bag at Chewy.com. FREE shipping and the BEST customer service!",166,,"Hill's Science Diet Adult Small Breed & Mini Breed Chicken Meal & Rice Recipe Dry Dog Food, 15.5-lb bag",1,hills-science-diet-adult-small-mini,True,True,False,False,True,True,True,True,57,328,2,needs,2522.0,good,0.085,,,,,,,,,,5.0
PDP,Speed,LCP is not good,https://www.chewy.com/bonkers-purr-pops-grain-free-chicky/dp/1291062,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2531.0,"BONKERS Purrpops Chicken Flavored Freeze-Dried Cat Treats, 4 count - Chewy.com",78,"Buy BONKERS Purrpops Chicken Flavored Freeze-Dried Cat Treats, 4 count at Chewy.com. FREE shipping and the BEST customer service!",129,,"BONKERS Purrpops Chicken Flavored Freeze-Dried Cat Treats, 4 count",1,bonkers-purr-pops-grain-free-chicky,True,True,False,False,True,True,True,True,21,318,2,needs,2531.0,good,0.05,,,,,,,,,,19.0
PDP,Speed,LCP is not good,https://www.chewy.com/shameless-pets-catnip-n-chill-crunchy/dp/396371,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2637.0,"SHAMELESS PETS Catnip N Chill Chicken Crunchy Cat Treats, 2.5-oz bag - Chewy.com",80,"Buy Shameless Pets Catnip N Chill Chicken Crunchy Cat Treats, 2.5-oz bag at Chewy.com. FREE shipping and the BEST customer service!",131,,"Shameless Pets Catnip N Chill Chicken Crunchy Cat Treats, 2.5-oz bag",1,shameless-pets-catnip-n-chill-crunchy,True,True,False,False,True,True,True,True,34,330,2,needs,2637.0,good,0.08,,,,,,,,,,2.0
PDP,Speed,LCP is not good,https://www.chewy.com/pethonesty-dual-texture-immune/dp/845390,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2573.0,"PET HONESTY Dual Texture Chicken Flavored Immune Support Lysine Chews for Cats, 3.7-oz pouch - Chewy.com",104,"Buy Pet Honesty Dual Texture Chicken Flavored Immune Support Lysine Chews for Cats, 3.7-oz pouch at Chewy.com. FREE shipping and the BEST customer service!",155,,"Pet Honesty Dual Texture Chicken Flavored Immune Support Lysine Chews for Cats, 3.7-oz pouch",1,pethonesty-dual-texture-immune,True,True,False,False,True,True,True,True,140,330,2,needs,2573.0,good,0.02,,,,,,,,,,2.0
PDP,Speed,LCP is not good,https://www.chewy.com/vetriscience-perio-support-powder/dp/42648,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2586.0,"VETRISCIENCE Perio Dental Care Powder Clinically Tested Breath & Plaque Control Supplement for Dogs & Cats, 4.2-oz bottle - Chewy.com",133,"Buy VetriScience Perio Dental Care Powder Clinically Tested Breath & Plaque Control Supplement for Dogs & Cats, 4.2-oz bottle at Chewy.com. FREE shipping and the BEST customer service!",184,,"VetriScience Perio Dental Care Powder Clinically Tested Breath & Plaque Control Supplement for Dogs & Cats, 4.2-oz bottle",1,vetriscience-perio-support-powder,True,True,False,False,True,True,True,True,53,332,2,needs,2586.0,good,0.085,,,,,,,,,,15.0
PDP,Speed,LCP is not good,https://www.chewy.com/vetnique-labs-oticbliss-ear-flush/dp/297030,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2635.0,"VETNIQUE LABS OticBliss Advanced Vet Strength Anti-Bacterial & Anti-Fungal Dog & Cat Ear Flush Cleaner for Ear Infections, 12-oz bottle - Chewy.com",147,"Buy Vetnique Labs OticBliss Advanced Vet Strength Anti-Bacterial & Anti-Fungal Dog & Cat Ear Flush Cleaner for Ear Infections, 12-oz bottle at Chewy.com. FREE shipping and the BEST customer service!",198,,"Vetnique Labs OticBliss Advanced Vet Strength Anti-Bacterial & Anti-Fungal Dog & Cat Ear Flush Cleaner for Ear Infections, 12-oz bottle",1,vetnique-labs-oticbliss-ear-flush,True,True,False,False,True,True,True,True,39,330,2,needs,2635.0,good,0.04,,,,,,,,,,11.0
PDP,Speed,LCP is not good,https://www.chewy.com/cat-chow-complete-chicken-vitamins/dp/229334,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2667.0,"Purina Cat Chow Complete with Real Chicken & Vitamins Dry Cat Food, 20-lb bag - Chewy.com",89,"Buy Purina Cat Chow Complete with Real Chicken & Vitamins Dry Cat Food, 20-lb bag at Chewy.com. FREE shipping and the BEST customer service!",140,purina cat chow reviews,"Purina Cat Chow Complete with Real Chicken & Vitamins Dry Cat Food, 20-lb bag",1,cat-chow-complete-chicken-vitamins,True,True,False,False,True,True,True,True,70,332,2,needs,2667.0,good,0.08,,,2,2,11.0,1,1,0,0,4.0
PDP,Speed,LCP is not good,https://www.chewy.com/purina-cat-chow-naturals-original/dp/238029,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2635.0,"Purina Cat Chow Naturals Original No Artificial Flavors or Preservatives Added Vitamins, Minerals & Nutrients Real Chicken Dry Cat Food, 18-lb bag - Chewy.com",158,"Buy Purina Cat Chow Naturals Original No Artificial Flavors or Preservatives Added Vitamins, Minerals & Nutrients Real Chicken Dry Cat Food, 18-lb bag at Chewy.com. FREE shipping and the BEST customer service!",209,cat chow cat food,"Purina Cat Chow Naturals Original No Artificial Flavors or Preservatives Added Vitamins, Minerals & Nutrients Real Chicken Dry Cat Food, 18-lb bag",1,purina-cat-chow-naturals-original,True,True,False,False,True,True,True,True,80,335,2,needs,2635.0,good,0.04,,,1,1,8.0,1,0,0,0,1.0
