page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Links,Below inlink target,https://www.chewy.com/brands/cosequin-7126,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",1,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,False,False,False,False,True,False,False,False,1,335,2,,,,,,,,,,,,,,
Brand,Links,Below inlink target,https://www.chewy.com/brands/puppy-food-2170478,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Puppy Food - Free shipping | Chewy,46,Shop Chewy for low prices and the best Puppy Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,royal canin puppy food,Royal Canin Puppy Food,1,puppy-food,True,True,False,False,True,False,False,False,6,341,2,,,,,,,1,1,,0,0,0,1,2.0
Brand,Links,Below inlink target,https://www.chewy.com/brands/royal-canin-dog-food-150798,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",5,Royal Canin Dog Food - Free shipping | Chewy,44,Shop Chewy for low prices and the best Royal Canin Dog Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Royal Canin Dog Food,1,royal-canin-dog-food,False,False,False,False,True,False,False,False,5,359,2,,,,,,,,,,,,,,
Brand,Links,Below inlink target,https://www.chewy.com/brands/supplements-treats-2030558,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Dog Supplements & Treats - Free shipping | Chewy,60,Shop Chewy for low prices and the best Supplements & Treats! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Royal Canin Dog Supplements & Treats,1,supplements-treats,True,True,False,False,True,False,False,False,6,309,2,,,,,,,,,,,,,,
Brand,Links,Below inlink target,https://www.chewy.com/brands/wet-food-150870,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Wet Dog Food - Free shipping | Chewy,48,Shop Chewy for low prices and the best Wet Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,royal canin adult wet dog food,Royal Canin Wet Dog Food,1,wet-food,True,True,False,False,True,False,False,False,6,341,2,,,,,,,4,4,3.0,2,0,0,2,5.0
Brand,Links,Below inlink target,https://www.chewy.com/brands/gently-cooked-meals-166518,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Gently Cooked Meals for Dogs - Free shipping | Chewy,64,Shop Chewy for low prices and the best Gently Cooked Meals! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,236,,Royal Canin Gently Cooked Meals for Dogs,1,gently-cooked-meals,True,True,False,False,True,False,False,False,6,307,2,,,,,,,,,,,,,,1.0
Brand,Links,Below inlink target,https://www.chewy.com/brands/royal-canin-breed-type-nutrition-7488,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Breed Type Nutrition for Dogs - Free shipping | Chewy,65,Shop Chewy for low prices and the best Royal Canin Breed Type Nutrition! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,249,royal canin breed health nutrition,Royal Canin Breed Type Nutrition for Dogs,1,royal-canin-breed-type-nutrition,True,True,False,False,True,False,False,True,6,341,2,,,,,,,2,2,4.0,2,0,0,0,1.0
Brand,Links,Below inlink target,https://www.chewy.com/brands/royal-canin-breed-size-nutrition-7489,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Breed Size Nutrition for Dogs - Free shipping | Chewy,65,Shop Chewy for low prices and the best Royal Canin Breed Size Nutrition! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,249,,Royal Canin Breed Size Nutrition for Dogs,1,royal-canin-breed-size-nutrition,True,True,False,False,True,False,False,True,6,341,2,,,,,,,,,,,,,,1.0
Brand,Links,Below inlink target,https://www.chewy.com/brands/urinary-health-2170486,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Urinary Health Dog Food - Free shipping | Chewy,59,Shop Chewy for low prices and the best Urinary Health! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,231,,Royal Canin Urinary Health Dog Food,1,urinary-health,True,True,False,False,True,False,False,False,6,317,2,,,,,,,,,,,,,,1.0
Brand,Links,Below inlink target,https://www.chewy.com/brands/skin-coat-health-2170494,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",6,Royal Canin Skin & Coat Health Dog Food - Free shipping | Chewy,63,Shop Chewy for low prices and the best Skin & Coat Health! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,235,royal canin veterinary diet skin & coat for dogs,Royal Canin Skin & Coat Health Dog Food,1,skin-coat-health,True,True,False,False,True,False,False,False,6,341,2,,,,,,,2,2,19.0,0,1,1,0,1.0
