page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/food-332,True,Update URL patterns so the slug reflects the primary search intent.,dog food,Dog Food: Best Dog Food Brands - Free Shipping | Chewy,54,"Shop Chewy Dog Food and discover dry, wet & fresh dog food recipes tailored to every pup’s needs. Dog food delivery to your door, Autoship savings and free shipping on $49+!",173,dog food,Dog Food,1,food,True,True,False,False,True,False,False,True,327550,465,1,needs,2603.0,good,0.006666666666666667,,,119,111,9.67,57,20,10,32,33.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/dry-food-294,True,Update URL patterns so the slug reflects the primary search intent.,dry dog food,"Dry Dog Food - Healthy, High Quality Dog Food from Top Brands",61,"Discover the best dry dog food from top brands like Purina, Blue Buffalo, Hills Science Diet and more. We offer grain-free, organic & sensitive skin and stomach options. FREE shipping $49+!",189,dry dog food,Dry Dog Food,1,dry-food,True,True,False,False,True,False,False,True,327548,415,1,good,2147.0,needs,0.2,,,223,222,5.4,171,18,3,31,374.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/wet-food-293,True,Update URL patterns so the slug reflects the primary search intent.,wet dog food,"Wet Dog Food: Top Brands, Low Prices (Free Shipping) | Chewy",60,"Discover the best wet dog food brands at Chewy, featuring options tailored for grain-free, natural, & sensitive stomach diets. Free shipping on orders $49+!",156,wet dog food,Wet Dog Food,1,wet-food,True,True,False,False,True,False,False,True,327548,416,1,good,2156.0,needs,0.22333333333333336,,,125,123,6.76,97,14,5,9,106.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/treats-335,True,Update URL patterns so the slug reflects the primary search intent.,dog treats,Dog Treats - Healthy Dog Treats from Top Brands | Chewy,55,"Shop Dog Treats on Chewy from top brands. We offer a wide variety of options from calming treats for dogs, jerky treats, bones and chews. Get free shipping on orders $49+!",171,dog treats,Dog Treats,1,treats,True,True,False,False,True,False,False,True,327550,447,1,good,2428.0,good,0.03333333333333333,,,104,98,7.16,71,16,6,11,201.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/bones-bully-sticks-chews-1540,True,Update URL patterns so the slug reflects the primary search intent.,best dog bones for dogs,"Dog Chew Bones, Bully Sticks & Natural Chews | Chewy",52,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!",204,best dog bones for dogs,"Dog Bones, Bully Sticks & Chews",1,bones-bully-sticks-chews,True,True,False,False,True,False,False,True,318253,399,1,good,1768.0,good,0.06,,,40,38,9.45,21,9,3,7,42.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/freeze-dried-dehydrated-treats-1547,True,Update URL patterns so the slug reflects the primary search intent.,freeze-dried and dehydrated dog treats,Freeze-Dried & Dehydrated Dog Treats (Free Shipping)| Chewy,59,"Shop Chewy for low prices and the best freeze dried dog treats! Freeze-Dried dog treats are a perfect snack because they're delicious and nutritious. We carry all the flavors your dog craves like chicken, salmon, duck plus gluten-free, grain-free, high protein and more. *FREE* shipping on orders $49+ and the BEST customer service!",332,freeze-dried and dehydrated dog treats,Freeze-Dried & Dehydrated Dog Treats,1,freeze-dried-dehydrated-treats,True,True,False,False,True,False,False,True,318253,363,1,good,1740.0,needs,0.25,,,27,27,7.42,19,3,2,3,22.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/health-pharmacy-372,True,Update URL patterns so the slug reflects the primary search intent.,revival dog supplies,"Dog Healthcare: Supplements, Dental & More | Chewy",50,"Shop Chewy for low prices and the best dog dental and healthcare! We have a large selection of dental healthcare supplies like supplements, dental treats, prescription diets, ear/eye care, & more. You can take care of your pup from the tip of their nose to the tip of their tail at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!",354,revival dog supplies,Dog Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,True,318253,383,1,needs,3233.0,good,0.015,,,66,64,17.51,13,25,27,1,35.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/flea-tick-381,True,Update URL patterns so the slug reflects the primary search intent.,flea and tick treatment and medicine for dogs,Dog Flea & Tick: Best Flea Medicine Treatment for Dogs (Free Shipping) | Chewy,78,"Shop Chewy's wide selection of products and prepare yourself and your dog with the best in flea and tick treatments and products. We carry all the top products like Seresto 8 Month Collars and K9 Advantix Flea Treatments along with the best flea & tick sprays, collars, pills and wipes. *FREE* shipping on orders $49+ and the BEST customer service!",348,flea and tick treatment and medicine for dogs,Flea & Tick Treatment & Medicine for Dogs,1,flea-tick,True,True,False,False,True,False,False,True,327550,390,1,good,2123.0,good,0.02,,,51,49,9.59,22,18,1,10,259.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/vitamins-supplements-374,True,Update URL patterns so the slug reflects the primary search intent.,dog vitamins and supplements,Best Dog Vitamins & Supplements - Low Prices (Free Shipping) | Chewy,68,"Shop Chewy for low prices and the best dog vitamins & supplements that can improve your pup's health, wellness and vitality. Dog vitamins help a dog’s body to function properly, regulating everything from dog digestive health, skin & coat care, allergy & immune system to muscle growth. *FREE* shipping on orders $49+ and the BEST customer service.",348,dog vitamins and supplements,Dog Vitamins & Supplements,1,vitamins-supplements,True,True,False,False,True,False,False,True,327550,484,1,good,2159.0,good,0.015,,,48,44,10.67,27,9,6,6,48.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/digestive-health-probiotics-1565,True,Update URL patterns so the slug reflects the primary search intent.,probiotics for dogs,Dog Probiotic Supplements & Chews: Digestion Support | Chewy,60,"Shop Chewy for low prices and the best probiotics for dogs and digestive health products! Whether your dog has a sensitive stomach or is going through a digestive issue, treating your pup couldn't be easier. With a variety of probiotic toppers, soft chews, and supplements, we've got you covered at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service.",371,probiotics for dogs,Digestive Health Supplements & Probiotics for Dogs,1,digestive-health-probiotics,True,True,False,False,True,False,False,True,318253,371,1,good,1871.0,good,0.05,,,30,29,8.03,24,3,3,0,45.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/dog-allergy-relief-129950,True,Update URL patterns so the slug reflects the primary search intent.,pet allergy and itch relief,Dog Allergy Relief - Free shipping | Chewy,42,"Shop Chewy for low prices and the best Dog Allergy Relief! We carry a large selection and the top brands like Healthy Breeds, Prednisolone Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",259,pet allergy and itch relief,Dog Allergy Relief,1,dog-allergy-relief,True,True,False,False,True,False,False,True,318253,357,1,good,2489.0,good,0.09,,,2,2,21.5,0,1,1,0,9.0
Browse,URL,URL slug does not align to main keyword,https://www.chewy.com/b/dog-technology-products-1897,True,Update URL patterns so the slug reflects the primary search intent.,pet tech,"Dog Tech Products: Dog Cameras, GPS & More (Free Shipping) | Chewy",66,"Shop Chewy for low prices on dog tech products. We carry a wide selection of dog tech products like dog cameras and monitors, GPS and activity collars, electronic treat and food dispensers and electronic doors that are all designed to make owning your dog easy. *FREE* shipping on orders $49+ and the BEST customer service!",323,pet tech,Dog Technology Products,1,dog-technology-products,True,True,False,False,True,False,False,True,318253,365,1,good,2035.0,good,0.015,,,11,11,9.64,7,3,1,0,8.0
