page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/temptations-7577,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",42,,,,,shop as seen on tv dog supplies,,,,,,,,,,,,,,,,,,,,,100,95,19.13,18,18,42,22,
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/chewy-made-cat-supplies-3434318,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",9,Chewy Made™ Cat Supplies | Chewy Exclusive Brand,48,"Shop Cat Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Cat Food and Treats, Waste Management and more. Get free shipping today on orders $49+!",157,cat food chewy,Chewy Made Cat Supplies,1,chewy-made-cat-supplies,True,True,False,False,True,False,False,True,344,362,2,good,1720.0,good,0.019999999999999997,,,23,23,19.67,0,9,9,5,2.0
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/chewy-made-170606,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/chewy-made-dog-supplies-3434310,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",3,Chewy Made™ Dog Supplies | Chewy Exclusive Brand,48,"Shop Dog Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Dog Food, Treats, Toys, and Waste Management supplies. Free shipping on orders $49+!",154,chewy dog,Chewy Made Dog Supplies,1,chewy-made-dog-supplies,True,True,False,False,True,False,False,True,170,365,2,,,,,,,11,10,27.67,0,0,3,8,2.0
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/frisco-6767,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Frisco Pet Supplies - Free Shipping | Chewy,43,"Shop Chewy for low prices and the best Frisco products! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,frisco by chewy,Frisco by Chewy,1,frisco,False,False,False,False,True,False,False,False,57,369,3,,,,,,,7,7,7.67,4,1,1,1,
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/shop-by-dog-10578,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Frisco for Dogs - Free shipping | Chewy,39,Shop Chewy for low prices and the best Shop By Dog! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,218,frisco by chewy,Frisco for Dogs,1,shop-by-dog,True,True,False,False,True,False,False,False,136,356,3,,,,,,,4,4,16.0,1,1,1,1,1.0
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/purina-7330,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"Purina Dog & Cat Food & Treats: Low Prices, Free Shipping | Chewy",65,"Shop Chewy for low prices on Purina Dog and Cat Food and Treats. We carry a wide selection of Purina Brands including Alpo, Beggin', Busy Bone, Cat Chow, Dentalife, Dog Chow, Fancy Feast and Friskies that your dog or cat will love. FREE shipping on orders $49+ and the BEST customer service!",291,purina,Purina,1,purina,False,False,False,False,True,False,False,True,24,369,4,,,,,,,8,7,11.71,5,1,1,1,
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/toys-10593,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Frisco Toys for Cats - Free shipping | Chewy,44,Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Frisco and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,frisco cat toys,Frisco Toys for Cats,1,toys,True,True,False,False,True,False,False,False,95,347,3,,,,,,,3,3,9.0,2,0,1,0,2.0
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/treats-8033,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,American Journey Cat Treats & Salmon Oil - Free shipping | Chewy,64,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,american journey cat treats and salmon oil,American Journey Cat Treats & Salmon Oil,1,treats,True,True,False,False,True,False,False,False,1,306,5,,,,,,,4,4,13.5,2,0,2,0,1.0
Brand,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/brands/wet-food-13836,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,American Journey Landmark Wet Food for Cats - Free shipping | Chewy,67,Shop Chewy for low prices and the best Wet Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,american journey for cats,American Journey Landmark Wet Food for Cats,1,wet-food,True,True,False,False,True,False,False,False,1,312,6,,,,,,,4,4,21.0,0,1,1,2,1.0
