page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Links,No unique inlinks,https://www.chewy.com/nutramax-cosequin-hip-joint-maximum/dp/391709,True,Add discoverable internal links from relevant crawl paths.,0,NUTRAMAX Cosequin Maximum Strength Plus MSM Chewable Tablets Joint Supplement + Nutramax Proviable-DC Capsules Digestive Supplement for Dogs - Chewy.com,152,Buy Nutramax Cosequin Maximum Strength Plus MSM Chewable Tablets Joint Supplement + Nutramax Proviable-DC Capsules Digestive Supplement for Dogs at Chewy.com. FREE shipping and the BEST customer service!,203,,Bundle: Nutramax Cosequin Maximum Strength Plus MSM Chewable Tablets Joint Supplement + Nutramax Proviable-DC Capsules Digestive Supplement for Dogs,1,nutramax-cosequin-hip-joint-maximum,,False,False,False,True,True,True,False,0,306,3,,,,,,,,,,,,,,
PDP,Links,No unique inlinks,https://www.chewy.com/neogen-hypodermic-20-gauge-needles/dp/202521,True,Add discoverable internal links from relevant crawl paths.,0,"NEOGEN Hypodermic 20 Gauge Needles, 1 Inch - Easy Refills | Chewy Rx",68,"Neogens disposable needles are ultra-sharp, durable and dependable. Commonly used as vaccination needles, they feature aluminum hubs. These single-use devices are designed for both canine companions and feline friends to help them get more accurate doses consistently.",268,,"Neogen Hypodermic 20 Gauge Needles, 1 Inch, 100 count",1,neogen-hypodermic-20-gauge-needles,True,True,False,False,True,True,True,True,0,318,3,,,,,,,,,,,,,,1.0
PDP,Links,No unique inlinks,https://www.chewy.com/temptations-birthday-lobster-beef/dp/817030,True,Add discoverable internal links from relevant crawl paths.,0,"Birthday Variety Pack - Temptations Birthday Lobster & Beef Flavored Crunchy Cat Treats, Chicken Dairy & Shrimp & Lobster, Crab & Shrimp Flavors - Chewy.com",156,"Buy Birthday Variety Pack - Temptations Birthday Lobster & Beef Flavored Crunchy Cat Treats, Chicken Dairy & Shrimp & Lobster, Crab & Shrimp Flavors at Chewy.com. FREE shipping and the BEST customer service!",207,,"Bundle: Birthday Variety Pack - Temptations Birthday Lobster & Beef Flavored Crunchy Cat Treats, Chicken Dairy & Shrimp & Lobster, Crab & Shrimp Flavors",1,temptations-birthday-lobster-beef,,False,False,False,True,True,True,False,0,304,3,,,,,,,,,,,,,,
PDP,Links,No unique inlinks,https://www.chewy.com/cat-ladies-organic-pet-grass-seed/dp/177896,True,Add discoverable internal links from relevant crawl paths.,0,"THE CAT LADIES Organic Pet Grass Seed, 8-oz bag - Chewy.com",59,"Buy The Cat Ladies Organic Pet Grass Seed, 8-oz bag at Chewy.com. FREE shipping and the BEST customer service!",110,,"The Cat Ladies Organic Pet Grass Seed, 8-oz bag",1,cat-ladies-organic-pet-grass-seed,True,True,False,False,True,True,True,True,0,328,3,,,,,,,,,,,,,,1.0
PDP,Links,No unique inlinks,https://www.chewy.com/chi-oatmeal-dog-shampoo/dp/186521,True,Add discoverable internal links from relevant crawl paths.,0,"CHI Oatmeal Dog Shampoo, 16-fl oz bottle - Chewy.com",52,"Buy CHI Oatmeal Dog Shampoo, 16-fl oz bottle at Chewy.com. FREE shipping and the BEST customer service!",103,chi dog shampoos,"CHI Oatmeal Dog Shampoo, 16-fl oz bottle",1,chi-oatmeal-dog-shampoo,True,True,False,False,True,True,True,True,0,327,3,,,,,,,1,1,,0,0,0,1,3.0
PDP,Links,No unique inlinks,https://www.chewy.com/frisco-wall-mounted-cat-steps/dp/2191294,True,Add discoverable internal links from relevant crawl paths.,0,"FRISCO Wall Mounted Cat Steps, 4 pack - Chewy.com",49,"Buy Frisco Wall Mounted Cat Steps, 4 pack at Chewy.com. FREE shipping and the BEST customer service!",100,,"Frisco Wall Mounted Cat Steps, 4 pack",1,frisco-wall-mounted-cat-steps,True,True,False,False,True,True,True,True,0,318,3,,,,,,,,,,,,,,2.0
PDP,Links,No unique inlinks,https://www.chewy.com/genesis-topical-spray-dogs/dp/1525054,True,Add discoverable internal links from relevant crawl paths.,0,"GENESIS (0.015% triamcinolone acetonide) Topical Spray, 8oz - Easy Refills | Chewy Rx",85,GENESIS Topical Spray (0.015% triamcinolone acetate): For use on dogs only. Wear gloves when applying the product.,114,,"Genesis (0.015% triamcinolone acetonide) Topical Spray, 8oz",1,genesis-topical-spray-dogs,True,True,False,False,True,True,True,True,0,318,3,,,,,,,,,,,,,,6.0
PDP,Links,No unique inlinks,https://www.chewy.com/frisco-bird-feathers-teaser-wand-cat/dp/281920,True,Add discoverable internal links from relevant crawl paths.,0,"Frisco Bird Teaser with Feathers Cat Toy, Blue & OurPets Cosmic Catnip - Chewy.com",82,"Buy Frisco Bird Teaser with Feathers Cat Toy, Blue & OurPets Cosmic Catnip at Chewy.com. FREE shipping and the BEST customer service!",133,,"Bundle: Frisco Bird Teaser with Feathers Cat Toy, Blue & OurPets Cosmic Catnip",1,frisco-bird-feathers-teaser-wand-cat,,False,False,False,True,True,True,True,0,309,3,,,,,,,,,,,,,,
PDP,Links,No unique inlinks,https://www.chewy.com/nutramax-cosequin-hip-joint/dp/282180,True,Add discoverable internal links from relevant crawl paths.,0,"NUTRAMAX Cosequin Hip & Joint Capsules Joint Supplement for Cats, 80 count & Nutramax Cosequin Hip & Joint Soft Chews Joint Supplement for Cats, 60 count - Chewy.com",165,"Buy Nutramax Cosequin Hip & Joint Capsules Joint Supplement for Cats, 80 count & Nutramax Cosequin Hip & Joint Soft Chews Joint Supplement for Cats, 60 count at Chewy.com. FREE shipping and the BEST customer service!",216,,"Bundle: Nutramax Cosequin Hip & Joint Capsules Joint Supplement for Cats, 80 count & Nutramax Cosequin Hip & Joint Soft Chews Joint Supplement for Cats, 60 count",1,nutramax-cosequin-hip-joint,,False,False,False,True,True,True,True,0,308,3,,,,,,,,,,,,,,
PDP,Links,No unique inlinks,https://www.chewy.com/frisco-fall-pumpkin-pie-latte-plush/dp/3551782,True,Add discoverable internal links from relevant crawl paths.,0,"FRISCO Latte Plush Squeaky Dog Toy, Medium, Cinnamon - Chewy.com",64,"Buy Frisco Latte Plush Squeaky Dog Toy, Medium, Cinnamon at Chewy.com. FREE shipping and the BEST customer service!",115,,"Frisco Latte Plush Squeaky Dog Toy, Medium, Cinnamon",1,frisco-fall-pumpkin-pie-latte-plush,True,False,False,False,True,True,True,True,0,308,3,,,,,,,,,,,,,,
PDP,Links,No unique inlinks,https://www.chewy.com/frisco-corduroy-plush-squeaking-pig/dp/179610,True,Add discoverable internal links from relevant crawl paths.,0,"FRISCO Pig Corduroy Plush Squeaky Dog Toy, Medium/Large - Chewy.com",67,"Buy Frisco Pig Corduroy Plush Squeaky Dog Toy, Medium/Large at Chewy.com. FREE shipping and the BEST customer service!",118,corduroy dog toys,"Frisco Pig Corduroy Plush Squeaky Dog Toy, Medium/Large",1,frisco-corduroy-plush-squeaking-pig,True,True,False,False,True,True,True,True,0,318,3,,,,,,,1,1,3.0,1,0,0,0,1.0
PDP,Links,No unique inlinks,https://www.chewy.com/zupreem-smart-selects-parakeet-food/dp/128440,True,Add discoverable internal links from relevant crawl paths.,0,"ZUPREEM Smart Selects Parakeet Food, 2-lb bag - Chewy.com",57,"Buy ZuPreem Smart Selects Parakeet Food, 2-lb bag at Chewy.com. FREE shipping and the BEST customer service!",108,,"ZuPreem Smart Selects Parakeet Food, 2-lb bag",1,zupreem-smart-selects-parakeet-food,True,True,False,False,True,True,True,True,0,329,3,,,,,,,,,,,,,,1.0
