page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-treats_s112112,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Best Cat Treats 2026: According to Reviews | Chewy,50,Checkout Today's Best Cat Treats. Our customers believe that these are the Best Cat Treats products out there.,110,best sample size cat treats,Best Cat Treats,1,cat-treats,True,True,False,False,True,False,False,True,317,335,2,,,,,,,6,6,15.67,1,1,1,3,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/gerbil-toys_s128516,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Gerbil Toys 2026: According to Reviews | Chewy,51,Checkout Today's Best Gerbil Toys. Our customers believe that these are the Best Gerbil Toys products out there.,112,gerbil toys,Best Gerbil Toy,1,gerbil-toys,True,True,False,False,True,False,False,False,46,332,2,,,,,,,8,8,21.43,0,3,4,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/substrate-goldfish_s129636,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,best substrate for goldfish,,,,,,,,,,,,,,,,,,,,,15,15,8.93,11,3,0,1,
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-treats_s103240,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog Treats 2026: According to Reviews | Chewy,50,Checkout Today's Best Dog Treats. Our customers believe that these are the Best Dog Treats products out there.,110,dog treats with highest customer satisfaction,Best Dog Treats,1,dog-treats,True,True,False,False,True,False,False,True,1578,335,2,good,1610.0,good,0.01,,,13,13,10.5,5,7,0,1,2.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/degu-water-bottles-feeders_s128836,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Degu Water Bottles & Feeders 2026: According to Reviews | Chewy,68,Checkout Today's Best Degu Water Bottles & Feeders. Our customers believe that these are the Best Degu Water Bottles & Feeders products out there.,146,degu water bottles,Best Degu Water Bottles & Feeders,1,degu-water-bottles-feeders,True,True,False,False,True,False,False,False,30,323,3,,,,,,,8,8,10.5,4,1,1,2,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-wipes-waterless-grooming_s107840,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Dog Wipes & Waterless Grooming 2026: According to Reviews | Chewy,70,Checkout Today's Best Dog Wipes & Waterless Grooming. Our customers believe that these are the Best Dog Wipes & Waterless Grooming products out there.,150,best dog wipes and waterless grooming,Best Dog Wipes,1,dog-wipes-waterless-grooming,True,True,False,False,True,False,False,True,99,336,2,,,,,,,7,7,18.8,0,3,2,2,5.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/large-breed-puppy-bowls-feeders_s131508,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,"Best Large Breed Puppy Bowls, Feeders & Storage Accessories 2026: According to Reviews | Chewy",94,"Check out the best bowls, feeders, and storage accessories. These top-rated products have been reviewed by Chewy vets and are loved by customers with large-breed puppies. Let us help you find the top products for your large-breed!",230,best large breed puppy bowls feeders and storage accessories,Best Large Breed Puppy Bowls,1,large-breed-puppy-bowls-feeders,True,True,False,False,True,False,False,True,10,337,3,,,,,,,4,3,1.0,1,0,0,3,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-toys_s112120,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Cat Toys 2026: According to Reviews | Chewy,48,Checkout Today's Best Cat Toys. Our customers believe that these are the Best Cat Toys products out there.,106,best cat toys on chewy,Best Cat Toys,1,cat-toys,True,True,False,False,True,False,False,False,609,335,2,good,1685.0,good,0.01,,,19,17,12.56,10,3,5,1,7.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/rabbit-beds-hideouts_s128220,True,"Review lost terms for relevance, indexability, and SERP intent fit.",4,Best Rabbit Beds & Hideouts 2026: According to Reviews | Chewy,62,Checkout Today's Best Rabbit Beds & Hideouts. Our customers believe that these are the Best Rabbit Beds & Hideouts products out there.,134,best rabbit beds and hideouts,Best Beds For Rabbits,1,rabbit-beds-hideouts,True,True,False,False,True,False,False,False,42,336,3,,,,,,,4,4,,0,0,0,4,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/chewy-dog-treats_s3887718,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Chewy Dog Treats 2026: According to Reviews | Chewy,56,Checkout Today's Best Chewy Dog Treats. Our customers believe that these are the Best Chewy Dog Treats products out there.,122,chewy treats for dogs,Best Chewy Dog Treats,1,chewy-dog-treats,True,True,False,False,True,False,False,False,57,337,3,,,,,,,4,4,12.5,0,2,0,2,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/parrot-cage-accessories_s122702,True,"Review lost terms for relevance, indexability, and SERP intent fit.",4,Best Parrot Cage Accessories 2026: According to Reviews | Chewy,63,Checkout Today's Best Parrot Cage Accessories. Our customers believe that these are the Best Parrot Cage Accessories products out there.,136,best parrot cage accessories,Best Parrot Cage Accessories,1,parrot-cage-accessories,True,True,False,False,True,False,False,False,87,329,2,,,,,,,26,24,16.86,4,11,7,4,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/guinea-pig-hutches-playpens_s129412,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Guinea Pig Hutches & Playpens 2026: According to Reviews | Chewy,69,Checkout Today's Best Guinea Pig Hutches & Playpens. Our customers believe that these are the Best Guinea Pig Hutches & Playpens products out there.,148,best guinea pig hutches and playpens,Best Guinea Pig Hutches & Playpens,1,guinea-pig-hutches-playpens,True,True,False,False,True,False,False,False,36,335,3,,,,,,,7,6,12.0,2,4,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/tank-cleaners-bearded-dragons_s123030,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Tank Cleaners for Bearded Dragons 2026: According to Reviews | Chewy,73,Checkout Today's Best Tank Cleaners for Bearded Dragons. Our customers believe that these are the Best Tank Cleaners for Bearded Dragons products out there.,156,best tank cleaners for bearded dragons,Best Cleaner For Bearded Dragon Tank,1,tank-cleaners-bearded-dragons,True,True,False,False,True,False,False,False,69,331,2,,,,,,,4,4,14.67,1,1,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/betta-fish-tank-water-treatments_s129156,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Best Betta Fish Tank Water Treatments 2026: According to Reviews | Chewy,72,Checkout Today's Best Betta Fish Tank Water Treatments. Our customers believe that these are the Best Betta Fish Tank Water Treatments products out there.,154,best betta fish tank water treatments,Best Betta Fish Tank Water Treatments,1,betta-fish-tank-water-treatments,True,True,False,False,True,False,False,True,1,325,2,,,,,,,11,9,13.5,2,6,0,3,3.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-id-tags_s109336,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog ID Tags 2026: According to Reviews | Chewy,51,Checkout Today's Best Dog ID Tags. Our customers believe that these are the Best Dog ID Tags products out there.,112,best dog id tags,Best Dog ID Tags,1,dog-id-tags,True,True,False,False,True,False,False,False,209,336,3,,,,,,,4,4,9.67,2,1,0,1,2.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/limited-ingredient-dog-treats_s111472,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Limited Ingredient Dog Treats 2026: According to Reviews | Chewy,69,Checkout Today's Best Limited Ingredient Dog Treats. Our customers believe that these are the Best Limited Ingredient Dog Treats products out there.,148,chewy exclusive dog training treats,Best Limited Ingredient Dog Treats,1,limited-ingredient-dog-treats,True,True,False,False,True,False,False,True,280,337,2,,,,,,,3,3,21.0,0,1,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/flea-tick-combs-brushes-dogs_s111456,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Best Flea & Tick Combs & Brushes for Dogs 2026: According to Reviews | Chewy,76,Checkout Today's Best Flea & Tick Combs & Brushes for Dogs. Our customers believe that these are the Best Flea & Tick Combs & Brushes for Dogs products out there.,162,best flea and tick combs and brushes for dogs,Best Flea Comb For Dogs,1,flea-tick-combs-brushes-dogs,True,True,False,False,True,False,False,True,5,337,3,,,,,,,10,10,14.71,2,3,2,3,4.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cockatoo-cages_s122902,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Cockatoo Cages 2026: According to Reviews | Chewy,54,Checkout Today's Best Cockatoo Cages. Our customers believe that these are the Best Cockatoo Cages products out there.,118,bare-eyed cockatoo cage,Best Cockatoo Cage,1,cockatoo-cages,True,True,False,False,True,False,False,False,25,326,2,,,,,,,3,3,30.0,0,0,1,2,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/parrot-treats_s122678,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Parrot Treats 2026: According to Reviews | Chewy,53,Checkout Today's Best Parrot Treats. Our customers believe that these are the Best Parrot Treats products out there.,116,parrot treats,Best Parrot Treats,1,parrot-treats,True,True,False,False,True,False,False,False,38,329,2,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/chinchilla-habitats-enclosures_s128660,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Chinchilla Habitats & Enclosures 2026: According to Reviews | Chewy,72,Checkout Today's Best Chinchilla Habitats & Enclosures. Our customers believe that these are the Best Chinchilla Habitats & Enclosures products out there.,154,best chinchilla habitats and enclosures,Best Chinchilla Habitats & Enclosures,1,chinchilla-habitats-enclosures,True,True,False,False,True,False,False,False,17,333,2,,,,,,,9,9,21.14,1,2,4,2,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-skin-care-treatments_s113672,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Best Cat Skin Care Treatments 2026: According to Reviews | Chewy,64,Checkout Today's Best Cat Skin Care Treatments. Our customers believe that these are the Best Cat Skin Care Treatments products out there.,138,best cat skin care treatments,Best Cat Skin Care Treatments,1,cat-skin-care-treatments,True,True,False,False,True,False,False,False,23,337,3,,,,,,,7,7,15.5,1,2,1,3,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/rabbit-harnesses-carriers_s128196,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Rabbit Harnesses & Carriers 2026: According to Reviews | Chewy,67,Checkout Today's Best Rabbit Harnesses & Carriers. Our customers believe that these are the Best Rabbit Harnesses & Carriers products out there.,144,rabbit harness and carriers,Best Rabbit Harnesses & Carriers,1,rabbit-harnesses-carriers,True,True,False,False,True,False,False,False,7,336,3,,,,,,,9,9,20.14,1,2,4,2,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/lovebird-supplies_s122446,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Best Lovebird Supplies 2026: According to Reviews | Chewy,57,Checkout Today's Best Lovebird Supplies. Our customers believe that these are the Best Lovebird Supplies products out there.,124,best lovebird supplies,Best Lovebird Supplies,1,lovebird-supplies,True,True,False,False,True,False,False,False,34,328,3,,,,,,,5,5,12.5,0,2,0,3,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/jerky-treats-dogs_s103528,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Best Jerky Treats for Dogs 2026: According to Reviews | Chewy,61,Checkout Today's Best Jerky Treats for Dogs. Our customers believe that these are the Best Jerky Treats for Dogs products out there.,132,jerky treats,Best Dog Jerky Treats,1,jerky-treats-dogs,True,True,False,False,True,False,False,True,200,336,2,,,,,,,12,12,12.44,3,6,0,3,4.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/treat-dispensing-dog-toys_s109488,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Treat-Dispensing Dog Toys 2026: According to Reviews | Chewy,65,Checkout Today's Best Treat-Dispensing Dog Toys. Our customers believe that these are the Best Treat-Dispensing Dog Toys products out there.,140,top rated dog toys treats and more by chewy,Best Treat Dispensing Dog Toys,1,treat-dispensing-dog-toys,True,True,False,False,True,False,False,True,43,335,2,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/chewy-dog-toys_s3887710,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Chewy Dog Toys 2026: According to Reviews | Chewy,54,Checkout Today's Best Chewy Dog Toys. Our customers believe that these are the Best Chewy Dog Toys products out there.,118,chewy dog toy,Best Chewy Dog Toys,1,chewy-dog-toys,True,True,False,False,True,False,False,False,305,337,2,,,,,,,3,3,19.0,0,1,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-chew-toys_s111312,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog Chew Toys 2026: According to Reviews | Chewy,53,Checkout Today's Best Dog Chew Toys. Our customers believe that these are the Best Dog Chew Toys products out there.,116,top rated dog toys treats and more by chewy,Best Chew Toys For Dogs,1,dog-chew-toys,True,True,False,False,True,False,False,False,299,335,2,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/extra-small-breed-puppy-collars_s131012,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"Best Extra Small Breed Puppy Collars, Leashes & Harnesses 2026: According to Reviews | Chewy",92,"Check out the best collars, leashes, and harnesses. These top-rated products have been reviewed by Chewy vets and are loved by customers with extra-small breed puppies. Let us help you find the top products for your extra-small breed!",234,best extra small breed puppy collars leashes and harnesses,"Best Extra Small Breed Puppy Collars, Leashes & Harnesses",1,extra-small-breed-puppy-collars,True,True,False,False,True,False,False,True,8,337,3,,,,,,,5,5,19.0,0,2,2,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/kidney-supplements-cats_s3897150,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Kidney Supplements for Cats 2026: According to Reviews | Chewy,67,Checkout Today's Best Kidney Supplements for Cats. Our customers believe that these are the Best Kidney Supplements for Cats products out there.,144,kidney supplements for cats,Best Kidney Supplements for Cats,1,kidney-supplements-cats,True,True,False,False,True,False,False,False,37,335,2,,,,,,,3,3,11.5,1,1,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-brushless-dental-products_s109152,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog Brushless Dental Products 2026: According to Reviews | Chewy,69,Checkout Today's Best Dog Brushless Dental Products. Our customers believe that these are the Best Dog Brushless Dental Products products out there.,148,best dog brushless dental products,Best Dog Dental Wipes & Gels,1,dog-brushless-dental-products,True,True,False,False,True,False,False,False,112,337,3,,,,,,,5,5,4.75,4,0,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-supplies_s100968,True,"Review lost terms for relevance, indexability, and SERP intent fit.",7,Best Dog Supplies 2026 | Chewy,30,Checkout Today's Best Dog Supplies. Our customers believe that these are the Best Dog products out there.,105,chewy dog supplies,Best Dog Supplies,1,dog-supplies,True,True,False,False,True,False,False,False,318249,351,1,good,1073.0,good,0.0,,,10,9,19.67,0,2,1,7,6.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/freeze-dried-dog-foods_s104016,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Freeze-Dried Dog Foods 2026: According to Reviews | Chewy,62,Checkout Today's Best Freeze-Dried Dog Foods. Our customers believe that these are the Best Freeze-Dried Dog Foods products out there.,134,best freeze-dried dog food,Best Freeze Dried Dog Food,1,freeze-dried-dog-foods,True,True,False,False,True,False,False,True,121,351,3,,,,,,,3,3,3.0,1,0,0,2,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/foods-frogs_s123126,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Foods for Frogs 2026: According to Reviews | Chewy,55,Checkout Today's Best Foods for Frogs. Our customers believe that these are the Best Foods for Frogs products out there.,120,frog food,Best Food For Frogs,1,foods-frogs,True,True,False,False,True,False,False,False,63,328,2,,,,,,,2,2,26.0,0,0,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/aquarium-lights-goldfish_s129284,True,"Review lost terms for relevance, indexability, and SERP intent fit.",4,Best Aquarium Lights for Goldfish 2026: According to Reviews | Chewy,68,Checkout Today's Best Aquarium Lights for Goldfish. Our customers believe that these are the Best Aquarium Lights for Goldfish products out there.,146,goldfish aquarium lighting,Best Aquarium Light For Goldfish,1,aquarium-lights-goldfish,True,True,False,False,True,False,False,False,49,327,3,,,,,,,4,3,,0,0,0,4,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-healthcare-wellness_s103264,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog Healthcare & Wellness 2026: According to Reviews | Chewy,65,Checkout Today's Best Dog Healthcare & Wellness. Our customers believe that these are the Best Dog Healthcare & Wellness products out there.,140,best dog healthcare and wellness products,Best Dog Healthcare & Wellness Products,1,dog-healthcare-wellness,True,True,False,False,True,False,False,False,460,334,2,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-pajamas-onesies_s112976,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Cat Pajamas & Onesies 2026: According to Reviews | Chewy,61,Checkout Today's Best Cat Pajamas & Onesies. Our customers believe that these are the Best Cat Pajamas & Onesies products out there.,132,best cat pajamas and onesies,Best Cat Pajamas,1,cat-pajamas-onesies,True,True,False,False,True,False,False,False,12,337,3,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/rawhide-alternatives-dogs_s108968,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Rawhide Alternatives for Dogs 2026: According to Reviews | Chewy,69,Checkout Today's Best Rawhide Alternatives for Dogs. Our customers believe that these are the Best Rawhide Alternatives for Dogs products out there.,148,deals on rawhide free dog chews,Best Rawhide Alternatives For Dogs,1,rawhide-alternatives-dogs,True,True,False,False,True,False,False,True,85,337,3,,,,,,,2,2,27.0,0,0,1,1,5.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/aquariums-goldfish_s129252,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Aquariums for Goldfish 2026: According to Reviews | Chewy,62,Checkout Today's Best Aquariums for Goldfish. Our customers believe that these are the Best Aquariums for Goldfish products out there.,134,best aquariums for goldfish,Best Aquarium For Goldfish,1,aquariums-goldfish,True,True,False,False,True,False,False,False,60,330,2,,,,,,,8,7,14.57,2,4,1,1,9.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-tech-gadgets_s112152,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Cat Tech Gadgets 2026: According to Reviews | Chewy,56,Checkout Today's Best Cat Tech Gadgets. Our customers believe that these are the Best Cat Tech Gadgets products out there.,122,best cat tech gadgets,Best Cat Tech Gadgets,1,cat-tech-gadgets,True,True,False,False,True,False,False,False,36,335,2,,,,,,,4,4,20.0,0,1,2,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-dental-chews_s109136,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog Dental Chews 2026: According to Reviews | Chewy,56,Checkout Today's Best Dog Dental Chews. Our customers believe that these are the Best Dog Dental Chews products out there.,122,pedigree dentastix vs greenies,Best Dental Chews for Dogs,1,dog-dental-chews,True,True,False,False,True,False,False,False,170,337,3,,,,,,,2,2,12.0,0,1,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/lights-heat-lamps-frogs_s123150,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Lights & Heat Lamps for Frogs 2026: According to Reviews | Chewy,69,Checkout Today's Best Lights & Heat Lamps for Frogs. Our customers believe that these are the Best Lights & Heat Lamps for Frogs products out there.,148,best lights and heat lamps for frogs,Best Heat Lamp For Frogs,1,lights-heat-lamps-frogs,True,True,False,False,True,False,False,False,73,328,2,,,,,,,4,3,14.67,1,1,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/parrot-cages_s122694,True,"Review lost terms for relevance, indexability, and SERP intent fit.",8,Best Parrot Cages 2026: According to Reviews | Chewy,52,Checkout Today's Best Parrot Cages. Our customers believe that these are the Best Parrot Cages products out there.,114,parrot cage,Best Parrot Cages,1,parrot-cages,True,True,False,False,True,False,False,False,101,329,2,,,,,,,8,7,,0,0,0,8,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/aquarium-gravel_s129556,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Aquarium Gravel 2026: According to Reviews | Chewy,55,Checkout Today's Best Aquarium Gravel. Our customers believe that these are the Best Aquarium Gravel products out there.,120,aquarium gravel,Best Aquarium Gravel,1,aquarium-gravel,True,True,False,False,True,False,False,False,6,337,3,,,,,,,11,10,13.8,4,5,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/chewy-pet-supplies_s3882254,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Chewy Pet Supplies 2026: According to Reviews | Chewy,58,Checkout Today's Best Chewy Pet Supplies. Our customers believe that these are the Best Chewy Pet Supplies products out there.,126,chewy pet products,Best Chewy Pet Supplies,1,chewy-pet-supplies,True,True,False,False,True,False,False,False,19,334,3,,,,,,,14,12,15.42,2,8,2,2,2.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-dental-toys_s113112,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Best Cat Dental Toys 2026: According to Reviews | Chewy,55,Checkout Today's Best Cat Dental Toys. Our customers believe that these are the Best Cat Dental Toys products out there.,120,dental cat toys,Best Cat Dental Toys,1,cat-dental-toys,True,True,False,False,True,False,False,False,11,336,3,,,,,,,3,3,,0,0,0,3,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-diapers-wraps_s104184,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog Diapers & Wraps 2026: According to Reviews | Chewy,59,Checkout Today's Best Dog Diapers & Wraps. Our customers believe that these are the Best Dog Diapers & Wraps products out there.,128,chewy dog diapers,Best Dog Diapers,1,dog-diapers-wraps,True,True,False,False,True,False,False,True,14,336,3,,,,,,,10,9,22.67,1,2,6,1,4.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-beds_s112168,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Cat Beds 2026: According to Reviews | Chewy,48,Checkout Today's Best Cat Beds. Our customers believe that these are the Best Cat Beds products out there.,106,chewy cat beds,Best Cat Beds on Chewy,1,cat-beds,True,True,False,False,True,False,False,False,272,335,2,,,,,,,4,4,12.0,2,0,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/breakaway-cat-collars_s113056,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Breakaway Cat Collars 2026: According to Reviews | Chewy,61,Checkout Today's Best Breakaway Cat Collars. Our customers believe that these are the Best Breakaway Cat Collars products out there.,132,best cat collars,Best Breakaway Cat Collars,1,breakaway-cat-collars,True,True,False,False,True,False,False,False,106,336,3,,,,,,,5,5,15.67,2,0,1,2,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/dog-tie-outs_s103568,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Dog Tie Outs 2026: According to Reviews | Chewy,52,Checkout Today's Best Dog Tie Outs. Our customers believe that these are the Best Dog Tie Outs products out there.,114,frisco dog tie outs,Best Dog Tie Out,1,dog-tie-outs,True,True,False,False,True,False,False,True,25,336,3,,,,,,,2,2,28.0,0,0,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-pillow-beds_s112288,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Cat Pillow Beds 2026: According to Reviews | Chewy,55,Checkout Today's Best Cat Pillow Beds. Our customers believe that these are the Best Cat Pillow Beds products out there.,120,oval cat pillow beds,Best Cat Bed,1,cat-pillow-beds,True,True,False,False,True,False,False,False,29,336,2,,,,,,,2,2,19.0,0,1,0,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/cat-chew-toys_s112568,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Best Cat Chew Toys 2026: According to Reviews | Chewy,53,Checkout Today's Best Cat Chew Toys. Our customers believe that these are the Best Cat Chew Toys products out there.,116,chewy com toys for cats,Best Cat Chew Toys,1,cat-chew-toys,True,True,False,False,True,False,False,True,64,336,2,,,,,,,3,3,22.5,0,1,1,1,1.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/eye-drops-dogs_s111848,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Best Eye Drops for Dogs 2026: According to Reviews | Chewy,58,Checkout Today's Best Eye Drops for Dogs. Our customers believe that these are the Best Eye Drops for Dogs products out there.,126,best eye drops for dogs,Best Eye Drops For Dogs,1,eye-drops-dogs,True,True,False,False,True,False,False,False,14,335,3,,,,,,,19,17,13.65,7,7,3,2,21.0
Top Picks,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/best/soft-sided-dog-playpens_s111768,True,"Review lost terms for relevance, indexability, and SERP intent fit.",5,Best Soft-Sided Dog Playpens 2026: According to Reviews | Chewy,63,Checkout Today's Best Soft-Sided Dog Playpens. Our customers believe that these are the Best Soft-Sided Dog Playpens products out there.,136,soft sided dog pen,Best Soft Sided Dog Playpen,1,soft-sided-dog-playpens,True,True,False,False,True,False,False,False,8,336,3,,,,,,,5,5,,0,0,0,5,1.0
