page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Speed,CLS is not good,https://www.chewy.com/brands/worthy-dog-158558,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.265,"The Worthy Dog toys, collars & leashes & more - Free shipping | Chewy",69,Shop Chewy for low prices and the best The Worthy Dog! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,231,chewy dog collars,"The Worthy Dog toys, collars & leashes & more",1,worthy-dog,True,True,False,False,True,False,False,False,4574,345,2,good,1388.0,poor,0.265,,,2,2,24.0,0,0,1,1,4.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/inaba-6930,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.15999999999999998,Inaba - Free shipping | Chewy,29,Shop Chewy for low prices and the best Inaba products! We carry a large selection and the top brands like Inaba and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,inaba,Inaba,1,inaba,True,True,False,False,True,False,False,False,570,345,2,good,1457.0,needs,0.15999999999999998,,,5,4,6.0,5,0,0,0,7.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/kong-6981,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.13,KONG: Dog & Cat Toys (Free Shipping) | Chewy,44,"Shop Chewy for low prices on Kong Dog and Cat Toys. We carry a wide selection of Kong Dog and Cat Toys including classic rubber toys, plush toys, treat dispensing toys, fetch toys, tough dog toys and much more. FREE shipping on orders $49+ and the BEST customer service!",270,kong,KONG,1,kong,True,True,False,False,True,False,False,False,697,370,2,good,1639.0,needs,0.13,,,13,13,12.36,2,9,0,2,14.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/meow-mix-7022,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.1,Meow Mix - Free shipping | Chewy,32,Shop Chewy for low prices and the best Meow Mix! We carry a large selection and the top brands like Meow Mix and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,217,,Meow Mix,1,meow-mix,True,True,False,False,True,False,False,False,204,341,2,good,1852.0,needs,0.1,,,,,,,,,,1.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/woof-136430,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.11,Woof - Free shipping | Chewy,28,Shop Chewy for low prices and the best Woof products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chewy pupsicle,Woof Where wellness meets play,2,woof,True,True,False,False,True,False,False,False,340,345,2,good,1425.0,needs,0.11,,,1,1,1.0,1,0,0,0,19.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/blue-buffalo-wet-dog-food-158454,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.29,Blue Buffalo Wet Dog Food - Free shipping | Chewy,49,Shop Chewy for low prices and the best Blue Buffalo Wet Dog Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,242,blue buffalo wet dog food,Blue Buffalo Wet Dog Food,1,blue-buffalo-wet-dog-food,True,True,False,False,True,False,False,False,28,343,2,good,1538.0,poor,0.29,,,7,7,25.43,0,1,6,0,3.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/scoop-away-7496,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.14,Scoop Away Cat Litter - Free shipping | Chewy,45,Shop Chewy for low prices and the best Scoop Away! We carry a large selection and the top brands like Scoop Away and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,221,,Scoop Away Cat Litter,1,scoop-away,True,True,False,False,True,False,False,False,19,309,2,good,1540.0,needs,0.14,,,,,,,,,,3.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/catstages-124646,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.14,Catstages - Free shipping | Chewy,33,Shop Chewy for low prices and the best Catstages products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,235,catstages,Catstages,1,catstages,True,True,False,False,True,False,False,False,124,342,3,good,1486.0,needs,0.14,,,1,1,7.0,1,0,0,0,4.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/hartz-6844,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.12,Hartz - Free shipping | Chewy,29,"Shop Chewy for low prices and the best Hartz products! We carry a large selection and the top brands like Hartz, Delectables, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,hartz,Hartz,1,hartz,True,True,False,False,True,False,False,False,294,343,3,good,1559.0,needs,0.12,,,2,2,7.5,2,0,0,0,3.0
Brand,Speed,CLS is not good,https://www.chewy.com/brands/oxbow-7199,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.18500000000000003,Oxbow - Free shipping | Chewy,29,Shop Chewy for low prices and the best Oxbow products! We carry a large selection and the top brands like Oxbow and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,oxbow,Oxbow,1,oxbow,True,True,False,False,True,False,False,True,261,352,3,good,1472.0,needs,0.18500000000000003,,,2,2,11.5,1,1,0,0,5.0
