page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/cat/general/cat-dog-christmas-sweaters,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,10 Cat and Dog Christmas Sweaters We're Loving | Chewy,54,"What is the best way to celebrate the holiday season? By wearing matching cat and dog Christmas sweaters, of course.",116,christmas sweater for cats,10 Matching Christmas Sweaters for Pets and Their Parents,1,cat-dog-christmas-sweaters,True,True,False,False,False,False,False,False,4,321,4,,,,,,,3,3,18.5,0,1,1,1,1.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/small-pet/rat-and-mouse/mouse-care-sheet,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Mouse Care Sheet | Chewy,24,Thinking about getting pet mice? Learn everything you need to know to care for them properly.,93,fancy mouse care,Mouse Care Sheet,1,mouse-care-sheet,True,True,False,False,False,False,False,False,35,330,2,,,,,,,7,7,15.67,2,2,2,1,3.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/bird/general/best-pet-birds-for-beginners,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"Best Pet Birds for Beginners: Friendly, Easy Birds for First-Time Owners | Chewy",80,Thinking about getting pet bird? Learn which types of birds may be best for your household.,91,pet birds,"Best Pet Birds for Beginners: Friendly, Easy Birds for First-Time Owners",1,best-pet-birds-for-beginners,True,True,False,False,False,False,False,False,5,331,3,needs,2519.0,good,0.08,,,11,9,14.75,1,6,1,3,95.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/dog/food-and-nutrition/organic-dog-treats,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Organic Dog Treats: What To Look for and the Best Options for Your Dog | Chewy,78,"Discover organic dog treats, what makes them healthy, and what are the best organic dog treats for your dog’s needs.",116,organic dog treats,Organic Dog Treats: What To Look for and the Best Options for Your Dog,1,organic-dog-treats,True,True,False,False,False,False,False,False,6,317,2,,,,,,,13,12,12.1,6,3,1,3,6.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/dog/training-and-behavior/best-puppy-toys,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,7 Best Puppy Toys for Your New Dog | Chewy,42,"From plush toys to puzzles, these top-rated puppy toys are the No.1 picks for pet parents who want to bond with their new dog.",126,puppy toys,7 Best Puppy Toys You Need for Your New Dog,1,best-puppy-toys,True,True,False,False,False,False,False,False,9,320,2,,,,,,,2,2,25.0,0,0,1,1,3.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/dog/health-and-wellness/deworming-in-dogs,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",5,Deworming in Dogs: Schedule and What to Expect | Chewy,54,"Learn how dewormer for dogs work, symptoms to look for, common parasites, and how prevention fits into routine care.",116,dewormer for dogs,"Deworming in Dogs: What To Expect, Symptoms, and Schedule",1,deworming-in-dogs,True,True,False,False,False,False,False,False,6,334,3,needs,2810.0,good,0.08,,,20,20,10.42,14,0,5,1,192.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/cat/training-and-behavior/engaging-your-cat-with-interactive-cat-toys,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Keeping Your Cat Engaged With Interactive Cat Toys | Chewy,58,Learn about the different types of interactive cat toys and which one might be the best for your feline friend.,111,interactive cat toys,Engaging Your Cat With Interactive Cat Toys,1,engaging-your-cat-with-interactive-cat-toys,True,True,False,False,False,False,False,False,7,335,3,,,,,,,23,22,9.74,12,5,2,4,5.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/chewy-claus,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",7,Chewy Claus | Chewy,19,Chewy Claus is here to make your pets' holiday wishes come true. Pen a letter to Chewy Claus and your wish may get fulfilled at Chewy's workshop.,145,chewy claus,Chewy Claus’ Winter Wonderland,1,chewy-claus,True,True,False,False,False,False,False,False,6,309,4,,,,,,,56,54,16.59,5,15,7,29,8.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/dog/food-and-nutrition/get-real-fresh-dog-food,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Try Chewy’s Get Real Fresh Dog Food | Chewy,43,"Chewy’s Get Real fresh dog food is a simple, healthy, and delicious way to provide your pup with everything they need to thrive.",128,chewy food for dogs,Try Chewy’s Get Real Fresh Dog Food,1,get-real-fresh-dog-food,True,True,False,False,False,False,False,False,2,308,3,,,,,,,6,6,13.33,2,3,1,0,8.0
Editorial,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/education/dog/food-and-nutrition/best-homemade-dog-treat-recipes,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,23 Homemade Dog Treat Recipes | Chewy,37,"Discover homemade, vet-reviewed dog treat recipes your pup will love, including bakery-style desserts and festive favorites.",124,make dog treats at home,23 Homemade Dog Treat Recipes Your Pup Will Love,1,best-homemade-dog-treat-recipes,True,True,False,False,False,False,False,False,6,360,4,,,,,,,10,10,9.57,5,1,1,3,20.0
