page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/chewy-egift-card/dp/226306,True,Update H1 templates to reflect the primary page intent.,gift card for dogs,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/kaytee-nutrisoft-parrot-conure-bird/dp/383333,True,Update H1 templates to reflect the primary page intent.,green cheek conure pellets,"KAYTEE NutriSoft Parrot & Conure Bird Food, 3-lbs - Chewy.com",61,"Buy Kaytee NutriSoft Parrot & Conure Bird Food, 3-lbs at Chewy.com. FREE shipping and the BEST customer service!",112,green cheek conure pellets,"Kaytee NutriSoft Parrot & Conure Bird Food, 3-lbs",1,kaytee-nutrisoft-parrot-conure-bird,True,True,False,False,True,True,True,True,91,326,2,,,,,,,2,2,,0,0,0,2,1.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/chew-heal-stop-worms-wormer-puppies/dp/1591798,True,Update H1 templates to reflect the primary page intent.,chewy cat dewormer,"CHEW + HEAL Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle - Chewy.com",83,"Buy Chew + Heal Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle at Chewy.com. FREE shipping and the BEST customer service!",134,chewy cat dewormer,"Chew + Heal Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle",1,chew-heal-stop-worms-wormer-puppies,True,True,False,False,True,True,True,True,49,322,2,good,2144.0,good,0.0,,,2,1,20.5,0,1,1,0,4.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/rebalance-sulfadiazine-pyrimethamine/dp/204766,True,Update H1 templates to reflect the primary page intent.,anti-protozoals for horses,"REBALANCE (sulfadiazine & pyrimethamine) Antiprotozoal Oral Suspension for Horses, 1-qt bottle - Easy Refills | Chewy Rx",120,"ReBalance is an oral suspension for horses with equine protozoal myeloencephalitis (EPM) caused by Sarcocystis neurona. EPM is a nervous system disease that horses develop by ingesting contaminated feedstuffs with the protozoa Sarcocystis neurona. EPM presents highly variable clinical signs that may range from head tilt, ear droop, blindness, seizures, inability to chew or swallow, gait abnormalities, stumbling, muscle atrophy, weakness, incoordination, ataxia, or depression.",480,anti-protozoals for horses,"ReBalance (sulfadiazine & pyrimethamine) Antiprotozoal Oral Suspension for Horses, 1-qt bottle",1,rebalance-sulfadiazine-pyrimethamine,True,True,False,False,True,True,True,True,45,308,2,,,,,,,1,1,18.0,0,1,0,0,1.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/purina-one-plus-indoor-advantage-real/dp/167230,True,Update H1 templates to reflect the primary page intent.,,Purina ONE Indoor Advantage Adult Dry Cat Food (Free Shipping) | Chewy,70,"Buy Purina ONE +Plus Indoor Advantage Adult Natural, Low Fat, Weight Control, Indoor Real Turkey Dry Cat Food, 22-lb bag at Chewy.com. FREE shipping and the BEST customer service!",179,,"Purina ONE +Plus Indoor Advantage Adult Natural, Low Fat, Weight Control, Indoor Real Turkey Dry Cat Food, 22-lb bag",1,purina-one-plus-indoor-advantage-real,True,True,False,False,True,True,True,True,85,331,2,good,2412.0,good,0.065,,,,,,,,,,2.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/odoban-no-rinse-neutral-ph-floor/dp/196356,True,Update H1 templates to reflect the primary page intent.,odoban cat training cleaning,"ODOBAN No Rinse Neutral pH Floor Cleaner, Citrus Scent, 1-gal bottle - Chewy.com",80,"Buy OdoBan No Rinse Neutral pH Floor Cleaner, Citrus Scent, 1-gal bottle at Chewy.com. FREE shipping and the BEST customer service!",131,odoban cat training cleaning,"OdoBan No Rinse Neutral pH Floor Cleaner, Citrus Scent, 1-gal bottle",1,odoban-no-rinse-neutral-ph-floor,True,True,False,False,True,True,True,True,306,328,2,good,2171.0,good,0.09,,,1,1,32.0,0,0,1,0,19.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/revolution-plus-topical-solution-cats/dp/185729,True,Update H1 templates to reflect the primary page intent.,chewy cat flea medicine,"REVOLUTION PLUS Topical Solution for Cats, 5.6-11 lbs, (Orange Box) - Easy Refills | Chewy Rx",93,"Help protect your four-legged friend from pesky critters with this 6-in-1 broad spectrum monthly Topical Solution for Cats by Revolution Plus. Simply apply the quick-drying, small-volume prescription to help: kill fleas before they lay eggs, kill ticks for a full month, prevent heartworm disease and treat and control roundworms, hookworms and ear mites. This topical medication is suitable for cats and kittens eight weeks of age or older, weighing between 5.",461,chewy cat flea medicine,"Revolution Plus Topical Solution for Cats, 5.6-11 lbs, (Orange Box), 3 Doses (3-mos. supply)",1,revolution-plus-topical-solution-cats,True,True,False,False,True,True,True,True,241,323,2,good,2244.0,good,0.05,,,3,3,,0,0,0,3,28.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/revolution-topical-solution-dogs-51/dp/323037,True,Update H1 templates to reflect the primary page intent.,revolution pet pharmacy medications,"REVOLUTION Topical Solution for Dogs, 5.1-10 lbs, (Purple Box) - Easy Refills | Chewy Rx",88,**Your furry friend must have a current heartworm test result on file with your veterinarian in order to be prescribed heartworm medication. Please visit your veterinarian to have this test performed annually to protect your four-legged friend.** Revolution is a medication that is applied directly on your furry friend's skin to protect them from biting critters.,364,revolution pet pharmacy medications,"Revolution Topical Solution for Dogs, 5.1-10 lbs, (Purple Box), 12 Doses (12-mos. supply)",1,revolution-topical-solution-dogs,True,False,False,False,True,True,True,True,12,326,2,,,,,,,1,1,,0,0,0,1,6.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/purina-pro-plan-veterinary-diets/dp/49853,True,Update H1 templates to reflect the primary page intent.,fortiflora feline reviews,"PURINA PRO PLAN VETERINARY DIETS FortiFlora Powder Probiotic Digestive Supplement for Cats, 30 count - Chewy.com",112,"Buy Purina Pro Plan Veterinary Diets FortiFlora Powder Probiotic Digestive Supplement for Cats, 30 count at Chewy.com. FREE shipping and the BEST customer service!",163,fortiflora feline reviews,"Purina Pro Plan Veterinary Diets FortiFlora Powder Probiotic Digestive Supplement for Cats, 30 count",1,purina-pro-plan-veterinary-diets,True,True,False,False,True,True,True,True,503,329,2,good,2255.0,good,0.060000000000000005,,,3,3,6.67,3,0,0,0,42.0
PDP,H1,H1 does not align to main keyword or topic,https://www.chewy.com/101-dog-tricks-step-by-step/dp/160479,True,Update H1 templates to reflect the primary page intent.,kyra sundance dog books,"101 Dog Tricks: Step by Step Activities to Engage, Challenge & Bond with Your Dog, Challenge, & Bond with Your Dog - Chewy.com",126,"Buy 101 Dog Tricks: Step by Step Activities to Engage, Challenge & Bond with Your Dog, Challenge, & Bond with Your Dog at Chewy.com. FREE shipping and the BEST customer service!",177,kyra sundance dog books,"101 Dog Tricks: Step by Step Activities to Engage, Challenge & Bond with Your Dog, Challenge, & Bond with Your Dog",1,101-dog-tricks-step-by-step,True,True,False,False,True,True,True,True,27,316,2,,,,,,,1,1,,0,0,0,1,1.0
