page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,H1,Missing H1,https://www.chewy.com/education/cat/new-cat/new-cats,True,Add one descriptive H1 to the page template.,,,,,,,,0,new-cats,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/food-and-nutrition/your-guide-to-dog-food-toppers-what-they-are-benefits-and-more,True,Add one descriptive H1 to the page template.,,,,,,,,0,your-guide-to-dog-food-toppers-what-they-are-benefits-and-more,,True,False,False,False,False,False,False,21,0,2,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/pet-parenting/diy-pet-odor-eliminator,True,Add one descriptive H1 to the page template.,,,,,,,,0,diy-pet-odor-eliminator,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/small-pet/health-and-wellness/how-much-do-ferrets-cost,True,Add one descriptive H1 to the page template.,,,,,,,,0,how-much-do-ferrets-cost,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,1.0
Editorial,H1,Missing H1,https://www.chewy.com/education/fish/saltwater-fish/tips-on-helping-the-moorish-idol-to-survive-in-captivity,True,Add one descriptive H1 to the page template.,,,,,,,,0,tips-on-helping-the-moorish-idol-to-survive-in-captivity,,True,False,False,False,False,False,False,2,0,2,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog-breeds/basset-fauve-de-bretagne,True,Add one descriptive H1 to the page template.,,,,,,,,0,basset-fauve-de-bretagne,True,True,False,False,False,False,False,False,1,330,2,,,,,,,,,,,,,,15.0
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/pet-parenting/originality-counts-when-picking-a-dog-kennel-name,True,Add one descriptive H1 to the page template.,,,,,,,,0,originality-counts-when-picking-a-dog-kennel-name,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/health-and-wellness/dogs-excessive-drinking-is-concern,True,Add one descriptive H1 to the page template.,,,,,,,,0,dogs-excessive-drinking-is-concern,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/food-and-nutrition/your-complete-guide-to-the-best-high-quality-dog-food,True,Add one descriptive H1 to the page template.,,,,,,,,0,your-complete-guide-to-the-best-high-quality-dog-food,,True,False,False,False,False,False,False,26,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/cat/general/bechewy-calendar-pet-parent-checklist-dogs-cats-holidays-activities,True,Add one descriptive H1 to the page template.,,,,,,,,0,bechewy-calendar-pet-parent-checklist-dogs-cats-holidays-activities,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,1.0
Editorial,H1,Missing H1,https://www.chewy.com/education/cat/health-and-wellness/health-pet-fitness-10-tips-to-keep-your-senior-cat-healthy,True,Add one descriptive H1 to the page template.,,,,,,,,0,health-pet-fitness-10-tips-to-keep-your-senior-cat-healthy,,True,False,False,False,False,False,False,7,0,3,,,,,,,,,,,,,,1.0
Editorial,H1,Missing H1,https://www.chewy.com/education/cat/training-and-behavior/why-do-cats-lick-themselves-when-grooming,True,Add one descriptive H1 to the page template.,,,,,,,,0,why-do-cats-lick-themselves-when-grooming,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/small-pet/hamster/hamster-ball-tips,True,Add one descriptive H1 to the page template.,,,,,,,,0,hamster-ball-tips,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/pet-parenting/pet-emergency-disaster-plan,True,Add one descriptive H1 to the page template.,,,,,,,,0,pet-emergency-disaster-plan,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/cat/pet-parenting/cats-afraid-water,True,Add one descriptive H1 to the page template.,,,,,,,,0,cats-afraid-water,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/pet-parenting/8-ways-celebrate-mothers-day-pet,True,Add one descriptive H1 to the page template.,,,,,,,,0,8-ways-celebrate-mothers-day-pet,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/wildlife/wild-birds/hummingbird-feeder-placement,True,Add one descriptive H1 to the page template.,,,,,,,,0,hummingbird-feeder-placement,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/health-and-wellness/cataracts-in-dogs-and-cats,True,Add one descriptive H1 to the page template.,,,,,,,,0,cataracts-in-dogs-and-cats,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,H1,Missing H1,https://www.chewy.com/education/small-pet/rabbit/what-to-do-when-you-see-red-in-your-rabbits-urine,True,Add one descriptive H1 to the page template.,,,,,,rabbit peeing blood,,0,what-to-do-when-you-see-red-in-your-rabbits-urine,,True,False,False,False,False,False,False,1,0,3,,,,,,,3,3,,0,0,0,3,19.0
Editorial,H1,Missing H1,https://www.chewy.com/education/dog/health-and-wellness/early-signs-of-liver-disease-in-dogs,True,Add one descriptive H1 to the page template.,,,,,,,,0,early-signs-of-liver-disease-in-dogs,,True,False,False,False,False,False,False,15,0,3,,,,,,,,,,,,,,
