page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/dog/training-and-behavior/sit-stay-and-beyond-weve-got-the-essential-guide-to-basic-dog-obedience-training,True,Simplify URL hierarchy where the template allows it.,,Your Essential Guide to Basic Dog Obedience Training | Chewy,60,"From sit to stay, dog obedience training helps keep your pup safe and well-behaved. We’ve got your guide to everything you need to know.",136,dog obedience training,Your Essential Guide to Basic Dog Obedience Training,1,sit-stay-and-beyond-weve-got-the-essential-guide-to-basic-dog-obedience-training,True,True,False,False,False,False,False,False,238,322,2,,,,,,,6,6,24.8,0,0,5,1,19.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/cat/new-cat/from-cat-proofing-the-christmas-tree-to-diy-treats-heres-how-to-celebrate-the-holidays-with-your-new-kitten,True,Simplify URL hierarchy where the template allows it.,,How to Celebrate the Holidays With Your New Kitten | Chewy,58,"From cat-proofing the Christmas tree to unique ways to make new memories, here’s everything you need to know about celebrating safely with your new kitten.",155,,How To Celebrate the Holidays With Your New Kitten,1,from-cat-proofing-the-christmas-tree-to-diy-treats-heres-how-to-celebrate-the-holidays-with-your-new-kitten,True,True,False,False,False,False,False,False,4,321,2,,,,,,,,,,,,,,1.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/cat/pet-parenting/how-to-finally-organize-all-of-your-pets-stuff-once-and-for-all-according-to-home-organization-experts,True,Simplify URL hierarchy where the template allows it.,,Marie Kondo Shares Her Top Pet Organization Tips | Chewy,56,One of Marie Kondo's top tips for pet organization? Inviting your pet into the tidying process! Here are more pet organization tips from pros.,142,dog toy storage ideas,Marie Kondo and More Pros Share Their Top 5 Pet Organization Tips,1,how-to-finally-organize-all-of-your-pets-stuff-once-and-for-all-according-to-home-organization-experts,True,True,False,False,False,False,False,False,5,319,3,,,,,,,3,3,4.67,3,0,0,0,13.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/dog/training-and-behavior/back-to-basics-a-comparison-of-the-english-toy-spaniel-and-the-cavalier-king-charles-spaniel,True,Simplify URL hierarchy where the template allows it.,,Back to Basics: A Comparison of the English Toy Spaniel and the Cavali | Chewy,78,"While these two breeds are frequently confused, they are entirely different in nearly every respect except for coat colors.",123,toy spaniel,A Comparison of the English Toy Spaniel and the Cavalier King Charles Spaniel,1,back-to-basics-a-comparison-of-the-english-toy-spaniel-and-the-cavalier-king-charles-spaniel,True,True,False,False,False,False,False,False,4,306,3,,,,,,,2,2,12.5,1,1,0,0,4.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/reptile-and-amphibian/general/top-200-lizard-names-the-best-names-for-geckos-bearded-dragons-chameleons-and-more,True,Simplify URL hierarchy where the template allows it.,,The Top 200 Lizard Names | Chewy,32,Looking for good lizard names for your new scaly friend? This list of lizard names is sure to hit the spot.,107,lizard names,"Top 200 Lizard Names: The Best Names for Geckos, Chameleons, and More",1,top-200-lizard-names-the-best-names-for-geckos-bearded-dragons-chameleons-and-more,True,True,False,False,False,False,False,False,3,315,3,good,2355.0,good,0.045000000000000005,,,3,3,2.0,3,0,0,0,427.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/cat/pet-parenting/animal-fostering-is-having-a-major-moment-and-its-changing-lives-for-pets-and-people-alike,True,Simplify URL hierarchy where the template allows it.,,Animal Fostering Is Having a Major Moment—And It’s Changing Lives for Pets and People Alike | Chewy,99,"Find out why thousands of people are fostering during the pandemic, and whether it’s right for you.",99,,Animal Fostering Is Having a Major Moment—And It’s Changing Lives for Pets and People Alike,1,animal-fostering-is-having-a-major-moment-and-its-changing-lives-for-pets-and-people-alike,True,True,False,False,False,False,False,False,9,307,3,,,,,,,,,,,,,,1.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/dog/pet-parenting/how-do-you-foster-a-dog-heres-everything-you-need-to-know-to-become-a-foster-dog-parent,True,Simplify URL hierarchy where the template allows it.,,How Do You Foster a Dog? Here’s How to Become a Foster Dog Parent | Chewy,73,"So you’re eager to become a foster dog parent? We’re giving you the lowdown on how to foster a dog, from foster applications to finding them a forever home.",156,how to foster a dog,How Do You Foster a Dog? Here’s Everything You Need to Know to Become a Foster Dog Parent,1,how-do-you-foster-a-dog-heres-everything-you-need-to-know-to-become-a-foster-dog-parent,True,True,False,False,False,False,False,False,6,312,3,,,,,,,6,5,15.33,2,2,2,0,7.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/dog/pet-parenting/with-her-dog-by-her-side-world-champion-kori-carter-clears-hurdles-on-and-off-the-track,True,Simplify URL hierarchy where the template allows it.,,World Champion and Pet Parent Kori Carter Clears Hurdles On and Off the Track | Chewy,85,"Kori Carter is a champion hurdler, a record-breaking racer, a Tokyo 2021 Olympic hopeful—and a devoted pet parent. Find out how her dog Kovu helps her reach her goals.",167,,"With Her Dog By Her Side, World Champion Kori Carter Clears Hurdles On and Off the Track",1,with-her-dog-by-her-side-world-champion-kori-carter-clears-hurdles-on-and-off-the-track,True,True,False,False,False,False,False,False,2,307,3,,,,,,,,,,,,,,1.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/dog/pet-parenting/marine-veteran-paul-coppola-on-his-life-changing-service-dog-hes-given-me-my-freedom-back,True,Simplify URL hierarchy where the template allows it.,,How a Service Dog Saved Marine Veteran Paul Coppola’s Life | Chewy,66,"When Marine Corps veteran Paul Coppola struggled with PTSD after returning from Afghanistan, his service dog, Dobby, helped him overcome his anxiety.",149,,Marine Veteran Paul Coppola on His Life-Changing Service Dog: “He’s Given Me My Freedom Back”,1,marine-veteran-paul-coppola-on-his-life-changing-service-dog-hes-given-me-my-freedom-back,True,True,False,False,False,False,False,False,3,308,3,,,,,,,,,,,,,,1.0
Editorial,URL,URL path is too long or deep,https://www.chewy.com/education/dog/training-and-behavior/do-dogs-know-their-siblings-dog-family-reunions-reconnect-long-lost-littermates,True,Simplify URL hierarchy where the template allows it.,,Do Dogs Know Their Siblings? Dog Family Reunions Reconnect Long Lost Littermates | Chewy,88,"Stories of dog littermates reuniting often go viral. But do dogs know their siblings? Find out, and learn how to find your own dog’s siblings.",142,do dogs remember their siblings,Do Dogs Know Their Siblings? Dog Family Reunions Reconnect Long Lost Littermates,1,do-dogs-know-their-siblings-dog-family-reunions-reconnect-long-lost-littermates,True,True,False,False,False,False,False,False,2,307,4,,,,,,,3,3,20.0,0,2,1,0,2.0
