page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/chewy-made-170606,True,Update meta-description templates to reflect the primary ranking phrase.,chewy food for dogs,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/temptations-7577,True,Update meta-description templates to reflect the primary ranking phrase.,temptations cat treats,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/shop-by-cat-8118,True,Update meta-description templates to reflect the primary ranking phrase.,hill's science diet cat food,Hill's Science Diet Cat Food - Free shipping | Chewy,52,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,hill's science diet cat food,Hill's Science Diet Cat Food,1,shop-by-cat,True,True,False,False,True,False,False,False,318238,344,1,good,1411.0,good,0.085,,,6,6,10.0,2,3,0,1,23.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/shop-by-cat-10508,True,Update meta-description templates to reflect the primary ranking phrase.,greenies soft chewy cat treats,Greenies for Cats - Free shipping | Chewy,41,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,greenies soft chewy cat treats,Greenies for Cats,1,shop-by-cat,True,True,False,False,True,False,False,False,59,326,2,good,1632.0,good,0.035,,,5,5,1.0,1,0,0,4,4.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/treats-7909,True,Update meta-description templates to reflect the primary ranking phrase.,sheba cat treats,Sheba Cat Treats - Free shipping | Chewy,40,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,sheba cat treats,Sheba Cat Treats,1,treats,True,True,False,False,True,False,False,False,45,313,2,,,,,,,1,1,6.0,1,0,0,0,1.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/shop-by-cat-8902,True,Update meta-description templates to reflect the primary ranking phrase.,hill's prescription diet for cats,Hill's Prescription Diet for Cats - Free shipping | Chewy,57,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,hill's prescription diet for cats,Hill's Prescription Diet for Cats,1,shop-by-cat,True,True,False,False,True,False,False,False,24,360,2,good,1406.0,good,0.005,,,4,4,5.25,4,0,0,0,9.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/dry-food-150814,True,Update meta-description templates to reflect the primary ranking phrase.,royal canin adult dry dog food,Royal Canin Dry Dog Food - Free shipping | Chewy,48,Shop Chewy for low prices and the best Dry Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,royal canin adult dry dog food,Royal Canin Dry Dog Food,1,dry-food,True,True,False,False,True,False,False,False,8,343,2,,,,,,,1,1,,0,0,0,1,4.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/wet-food-150870,True,Update meta-description templates to reflect the primary ranking phrase.,royal canin adult wet dog food,Royal Canin Wet Dog Food - Free shipping | Chewy,48,Shop Chewy for low prices and the best Wet Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,royal canin adult wet dog food,Royal Canin Wet Dog Food,1,wet-food,True,True,False,False,True,False,False,False,6,341,2,,,,,,,4,4,3.0,2,0,0,2,5.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/skin-coat-health-2170494,True,Update meta-description templates to reflect the primary ranking phrase.,royal canin veterinary diet skin & coat for dogs,Royal Canin Skin & Coat Health Dog Food - Free shipping | Chewy,63,Shop Chewy for low prices and the best Skin & Coat Health! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,235,royal canin veterinary diet skin & coat for dogs,Royal Canin Skin & Coat Health Dog Food,1,skin-coat-health,True,True,False,False,True,False,False,False,6,341,2,,,,,,,2,2,19.0,0,1,1,0,1.0
Brand,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/brands/dreambone-8127,True,Update meta-description templates to reflect the primary ranking phrase.,dreambone dog treats,DreamBone - Free shipping | Chewy,33,Shop Chewy for low prices and the best DreamBone products! We carry a large selection and the top brands like DreamBone and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,dreambone dog treats,DreamBone,1,dreambone,True,True,False,False,True,False,False,False,298,340,2,,,,,,,2,1,8.5,2,0,0,0,1.0
