page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/black-friday-cat-collars-accessories-13445,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on collars and accessories for cats,,,,,,,,,,,,,,,,,,,,,3,2,6.0,1,1,0,1,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/dog-16161,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cyber week deals on pet tech and dna tests,,,,,,,,,,,,,,,,,,,,,2,2,1.0,2,0,0,0,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/pet-tech-dna-tests-16160,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cyber week deals on dog technology,,,,,,,,,,,,,,,,,,,,,4,4,17.0,0,1,0,3,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/black-friday-cat-collars-id-tags-2930,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on cat collars id tags and accessories,,,,,,,,,,,,,,,,,,,,,4,3,12.0,2,0,1,1,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/fair-isle-16070,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,matching family fair isle holiday outfits,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/dog-127390,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,add once to your next autoship dog bowls and feeders,,,,,,,,,,,,,,,,,,,,,3,3,1.5,2,0,0,1,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/black-friday-small-pet-bedding-litter-13470,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on small pet bedding and litter,,,,,,,,,,,,,,,,,,,,,2,2,1.0,2,0,0,0,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/black-friday-small-pet-deals-2814,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on small pet hideouts and toys,,,,,,,,,,,,,,,,,,,,,3,3,11.0,1,0,1,1,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/black-friday-cat-treats-2925,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on soft and chewy cat treats,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
Browse,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/b/black-friday-freeze-dried-dehydrated-cat-treats-8544,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on freeze-dried and dehydrated cat treats,,,,,,,,,,,,,,,,,,,,,5,5,15.4,1,3,1,0,
