page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/new-cat/new-cats,True,Improve template linking to related destinations.,0,,,,,,,0,new-cats,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/food-and-nutrition/your-guide-to-dog-food-toppers-what-they-are-benefits-and-more,True,Improve template linking to related destinations.,0,,,,,,,0,your-guide-to-dog-food-toppers-what-they-are-benefits-and-more,,True,False,False,False,False,False,False,21,0,2,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/pet-parenting/diy-pet-odor-eliminator,True,Improve template linking to related destinations.,0,,,,,,,0,diy-pet-odor-eliminator,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/small-pet/health-and-wellness/how-much-do-ferrets-cost,True,Improve template linking to related destinations.,0,,,,,,,0,how-much-do-ferrets-cost,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,1.0
Editorial,Links,Below outlink target,https://www.chewy.com/education/fish/saltwater-fish/tips-on-helping-the-moorish-idol-to-survive-in-captivity,True,Improve template linking to related destinations.,0,,,,,,,0,tips-on-helping-the-moorish-idol-to-survive-in-captivity,,True,False,False,False,False,False,False,2,0,2,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/pet-parenting/originality-counts-when-picking-a-dog-kennel-name,True,Improve template linking to related destinations.,0,,,,,,,0,originality-counts-when-picking-a-dog-kennel-name,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/health-and-wellness/dogs-excessive-drinking-is-concern,True,Improve template linking to related destinations.,0,,,,,,,0,dogs-excessive-drinking-is-concern,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/food-and-nutrition/your-complete-guide-to-the-best-high-quality-dog-food,True,Improve template linking to related destinations.,0,,,,,,,0,your-complete-guide-to-the-best-high-quality-dog-food,,True,False,False,False,False,False,False,26,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/general/bechewy-calendar-pet-parent-checklist-dogs-cats-holidays-activities,True,Improve template linking to related destinations.,0,,,,,,,0,bechewy-calendar-pet-parent-checklist-dogs-cats-holidays-activities,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,1.0
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/health-and-wellness/health-pet-fitness-10-tips-to-keep-your-senior-cat-healthy,True,Improve template linking to related destinations.,0,,,,,,,0,health-pet-fitness-10-tips-to-keep-your-senior-cat-healthy,,True,False,False,False,False,False,False,7,0,3,,,,,,,,,,,,,,1.0
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/training-and-behavior/why-do-cats-lick-themselves-when-grooming,True,Improve template linking to related destinations.,0,,,,,,,0,why-do-cats-lick-themselves-when-grooming,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/small-pet/hamster/hamster-ball-tips,True,Improve template linking to related destinations.,0,,,,,,,0,hamster-ball-tips,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/pet-parenting/pet-emergency-disaster-plan,True,Improve template linking to related destinations.,0,,,,,,,0,pet-emergency-disaster-plan,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/pet-parenting/cats-afraid-water,True,Improve template linking to related destinations.,0,,,,,,,0,cats-afraid-water,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/pet-parenting/8-ways-celebrate-mothers-day-pet,True,Improve template linking to related destinations.,0,,,,,,,0,8-ways-celebrate-mothers-day-pet,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/wildlife/wild-birds/hummingbird-feeder-placement,True,Improve template linking to related destinations.,0,,,,,,,0,hummingbird-feeder-placement,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/health-and-wellness/cataracts-in-dogs-and-cats,True,Improve template linking to related destinations.,0,,,,,,,0,cataracts-in-dogs-and-cats,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/small-pet/rabbit/what-to-do-when-you-see-red-in-your-rabbits-urine,True,Improve template linking to related destinations.,0,,,,,rabbit peeing blood,,0,what-to-do-when-you-see-red-in-your-rabbits-urine,,True,False,False,False,False,False,False,1,0,3,,,,,,,3,3,,0,0,0,3,19.0
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/health-and-wellness/early-signs-of-liver-disease-in-dogs,True,Improve template linking to related destinations.,0,,,,,,,0,early-signs-of-liver-disease-in-dogs,,True,False,False,False,False,False,False,15,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/general/smartest-dog-breeds,True,Improve template linking to related destinations.,0,,,,,,,0,smartest-dog-breeds,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/pet-parenting/bringing-adult-feral-cat-into-household,True,Improve template linking to related destinations.,0,,,,,,,0,bringing-adult-feral-cat-into-household,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/food-and-nutrition/6-holiday-foods-to-keep-away-from-your-pet,True,Improve template linking to related destinations.,0,,,,,,,0,6-holiday-foods-to-keep-away-from-your-pet,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/food-and-nutrition/portion-control-counts-tips-for-maintaining-a-healthy-weight,True,Improve template linking to related destinations.,0,,,,,,,0,portion-control-counts-tips-for-maintaining-a-healthy-weight,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/food-and-nutrition/3-reasons-your-pet-may-need-a-special-diet,True,Improve template linking to related destinations.,0,,,,,,,0,3-reasons-your-pet-may-need-a-special-diet,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/general/25-cute-dogs-breeds-names,True,Improve template linking to related destinations.,0,,,,,,,0,25-cute-dogs-breeds-names,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/pet-parenting/what-instagram-pet-parents-learned-during-quarantine,True,Improve template linking to related destinations.,0,,,,,,,0,what-instagram-pet-parents-learned-during-quarantine,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/dog/pet-parenting/best-pet-podcasts,True,Improve template linking to related destinations.,0,,,,,,,0,best-pet-podcasts,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Links,Below outlink target,https://www.chewy.com/education/cat/training-and-behavior/yes-you-can-make-your-cat-exercise,True,Improve template linking to related destinations.,0,,,,,,,0,yes-you-can-make-your-cat-exercise,,True,False,False,False,False,False,False,3,0,3,,,,,,,,,,,,,,
