page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/chewy-cat-treats_s3887734,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,Best Chewy Cat Treats 2026: According to Reviews | Chewy,56,Checkout Today's Best Chewy Cat Treats. Our customers believe that these are the Best Chewy Cat Treats products out there.,122,chewy cat treats,Best Chewy Cat Treats,1,chewy-cat-treats,True,True,False,False,True,False,False,False,21,337,2,,,,,,,5,5,11.2,2,3,0,0,1.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/cat-treats_s112112,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Best Cat Treats 2026: According to Reviews | Chewy,50,Checkout Today's Best Cat Treats. Our customers believe that these are the Best Cat Treats products out there.,110,best sample size cat treats,Best Cat Treats,1,cat-treats,True,True,False,False,True,False,False,True,317,335,2,,,,,,,6,6,15.67,1,1,1,3,1.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/gerbil-toys_s128516,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,Best Gerbil Toys 2026: According to Reviews | Chewy,51,Checkout Today's Best Gerbil Toys. Our customers believe that these are the Best Gerbil Toys products out there.,112,gerbil toys,Best Gerbil Toy,1,gerbil-toys,True,True,False,False,True,False,False,False,46,332,2,,,,,,,8,8,21.43,0,3,4,1,1.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/chinchilla-toys_s128508,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Best Chinchilla Toys 2026: According to Reviews | Chewy,55,Checkout Today's Best Chinchilla Toys. Our customers believe that these are the Best Chinchilla Toys products out there.,120,best chinchilla accessories and products,Best Chinchilla Toys,1,chinchilla-toys,True,True,False,False,True,False,False,False,44,333,2,,,,,,,3,2,19.0,0,2,1,0,1.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/substrate-goldfish_s129636,False,Push near-page-one terms with title/H1/meta/linking improvements.,3,,,,,best substrate for goldfish,,,,,,,,,,,,,,,,,,,,,15,15,8.93,11,3,0,1,
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/sugar-glider-bedding_s128732,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,Best Sugar Glider Bedding 2026: According to Reviews | Chewy,60,Checkout Today's Best Sugar Glider Bedding. Our customers believe that these are the Best Sugar Glider Bedding products out there.,130,sugar glider beds,Best Bedding For Sugar Gliders,1,sugar-glider-bedding,True,True,False,False,True,False,False,False,27,330,2,,,,,,,5,5,18.0,0,3,2,0,1.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/dog-treats_s103240,True,Push near-page-one terms with title/H1/meta/linking improvements.,7,Best Dog Treats 2026: According to Reviews | Chewy,50,Checkout Today's Best Dog Treats. Our customers believe that these are the Best Dog Treats products out there.,110,dog treats with highest customer satisfaction,Best Dog Treats,1,dog-treats,True,True,False,False,True,False,False,True,1578,335,2,good,1610.0,good,0.01,,,13,13,10.5,5,7,0,1,2.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/dog-toys_s103256,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Best Dog Toys 2026: According to Reviews | Chewy,48,Checkout Today's Best Dog Toys. Our customers believe that these are the Best Dog Toys products out there.,106,chewy dog toy,Best Dog Toys,1,dog-toys,True,True,False,False,True,False,False,True,1683,335,2,,,,,,,3,3,24.0,0,1,2,0,1.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/degu-water-bottles-feeders_s128836,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Best Degu Water Bottles & Feeders 2026: According to Reviews | Chewy,68,Checkout Today's Best Degu Water Bottles & Feeders. Our customers believe that these are the Best Degu Water Bottles & Feeders products out there.,146,degu water bottles,Best Degu Water Bottles & Feeders,1,degu-water-bottles-feeders,True,True,False,False,True,False,False,False,30,323,3,,,,,,,8,8,10.5,4,1,1,2,1.0
Top Picks,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/best/dog-wipes-waterless-grooming_s107840,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,Best Dog Wipes & Waterless Grooming 2026: According to Reviews | Chewy,70,Checkout Today's Best Dog Wipes & Waterless Grooming. Our customers believe that these are the Best Dog Wipes & Waterless Grooming products out there.,150,best dog wipes and waterless grooming,Best Dog Wipes,1,dog-wipes-waterless-grooming,True,True,False,False,True,False,False,True,99,336,2,,,,,,,7,7,18.8,0,3,2,2,5.0
