page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/cat-4320374,True,Make descriptions unique at the page/template level.,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,,,0,cat,True,True,False,False,True,False,False,True,325,346,2,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/food-8099,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Food products! We carry a large selection and the top brands like Merrick, Purina ONE, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Dog Food Deals - Free shipping | Chewy,38,"Shop Chewy for low prices and the best Food products! We carry a large selection and the top brands like Merrick, Purina ONE, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,,Dog Food Deals,1,food,,False,False,False,True,False,False,False,231,355,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/toys-8101,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Pets First, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Dog Toy Deals - Free shipping | Chewy,37,"Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Pets First, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,,Dog Toy Deals,1,toys,,False,False,False,True,False,False,False,841,358,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/collars-leashes-clothing-8103,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Collars, Leashes & Clothing! We carry a large selection and the top brands like Frisco, The Worthy Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!","Dog Collars, Leashes & Clothing Deals - Free shipping | Chewy",61,"Shop Chewy for low prices and the best Collars, Leashes & Clothing! We carry a large selection and the top brands like Frisco, The Worthy Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",251,,"Dog Collars, Leashes & Clothing Deals",1,collars-leashes-clothing,,False,False,False,True,False,False,False,626,348,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/bowls-feeders-8733,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Bowls & Feeders! We carry a large selection and the top brands like Frisco, ShopInstaPets, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Dog Bowls & Feeders Deals - Free shipping | Chewy,49,"Shop Chewy for low prices and the best Bowls & Feeders! We carry a large selection and the top brands like Frisco, ShopInstaPets, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Dog Bowls & Feeders Deals,1,bowls-feeders,,False,False,False,True,False,False,False,223,352,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/grooming-8734,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Grooming products! We carry a large selection and the top brands like Best Shot, Andis, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Dog Grooming Deals - Free shipping | Chewy,42,"Shop Chewy for low prices and the best Grooming products! We carry a large selection and the top brands like Best Shot, Andis, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,,Dog Grooming Deals,1,grooming,,False,False,False,True,False,False,False,410,353,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/cleaning-potty-8730,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Cleaning & Potty! We carry a large selection and the top brands like Pet House, Pet Odor Exterminator, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Dog Cleaning & Potty Deals - Free shipping | Chewy,50,"Shop Chewy for low prices and the best Cleaning & Potty! We carry a large selection and the top brands like Pet House, Pet Odor Exterminator, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",250,,Dog Cleaning & Potty Deals,1,cleaning-potty,,False,False,False,True,False,False,False,365,353,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/dog-4320278,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,,,0,dog,True,True,False,False,True,False,False,True,451,348,2,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/dna-test-kits-145102,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best DNA Test Kits! We carry a large selection and the top brands like Embark, DNA My Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",DNA Test Kit Deals - Free shipping | Chewy,42,"Shop Chewy for low prices and the best DNA Test Kits! We carry a large selection and the top brands like Embark, DNA My Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,,DNA Test Kit Deals,1,dna-test-kits,True,True,False,False,True,False,False,False,202,307,2,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate meta description,https://www.chewy.com/deals/tech-smart-home-151094,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Tech & Smart Home! We carry a large selection and the top brands like LvLrister, PetSafe, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Dog Tech and Smart Home Deals - Free shipping | Chewy,53,"Shop Chewy for low prices and the best Tech & Smart Home! We carry a large selection and the top brands like LvLrister, PetSafe, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,,Dog Tech and Smart Home Deals,1,tech-smart-home,True,True,False,False,True,False,False,False,209,344,2,,,,,,,,,,,,,,1.0
