page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Links,No unique inlinks,https://www.chewy.com/b/weight-management-12274,True,Add discoverable internal links from relevant crawl paths.,0,,,,,,,0,weight-management,,True,False,False,False,False,False,False,0,0,3,,,,,,,,,,,,,,
Browse,Links,No unique inlinks,https://www.chewy.com/b/fly-insect-control-1694,True,Add discoverable internal links from relevant crawl paths.,0,,,,,,,0,fly-insect-control,,True,False,False,False,False,False,False,0,0,3,,,,,,,,,,,,,,
Browse,Links,No unique inlinks,https://www.chewy.com/b/ornaments-stockings-15448,True,Add discoverable internal links from relevant crawl paths.,0,,,,,,,0,ornaments-stockings,,True,False,False,False,False,False,False,0,0,4,,,,,,,,,,,,,,
Browse,Links,No unique inlinks,https://www.chewy.com/b/nesting-egg-supplies-13024,True,Add discoverable internal links from relevant crawl paths.,0,,,,,,,0,nesting-egg-supplies,,True,False,False,False,False,False,False,0,0,4,,,,,,,,,,,,,,
Browse,Links,No unique inlinks,https://www.chewy.com/b/weight-management-11241,True,Add discoverable internal links from relevant crawl paths.,0,,,,,,,0,weight-management,,True,False,False,False,False,False,False,0,0,4,,,,,,,,,,,,,,
Browse,Links,No unique inlinks,https://www.chewy.com/b/puppy-food-2284,True,Add discoverable internal links from relevant crawl paths.,0,Puppy Food - Best Puppy Food Brands and Deals | Chewy,53,"Discover Puppy Food at Chewy from top brands like Blue Buffalo, Diamond, Purine One and more. Shop large breed, small breed, and breed specific recipes in one place.",165,puppy food,Puppy Food,1,puppy-food,False,False,False,False,True,False,False,True,0,379,4,,,,,,,28,28,8.95,14,3,4,7,
Browse,Links,No unique inlinks,https://www.chewy.com/b/flea-collars-385,True,Add discoverable internal links from relevant crawl paths.,0,Best Flea Collars for Dogs: Dog Flea & Tick Collars (Free Shipping) | Chewy,75,"Shop Chewy's wide selection of flea and tick dog collars for an easy way to protect your pup from these pesky pests. All you have to do is put it on like a regular collar and then you're set. We carry top brands like Seresto, Hartz, Zodiac and more. *FREE* shipping on orders $49+ and the BEST customer service.",311,dog flea collars,Flea & Tick Collars For Dogs,1,flea-collars,False,False,False,False,True,False,False,True,0,353,4,,,,,,,3,3,14.33,0,3,0,0,
Browse,Links,No unique inlinks,https://www.chewy.com/b/topical-treatments-11593,True,Add discoverable internal links from relevant crawl paths.,0,,,,,,,0,topical-treatments,,True,False,False,False,False,False,False,0,0,4,,,,,,,,,,,,,,
Browse,Links,No unique inlinks,https://www.chewy.com/b/flea-tick-pills-chewables-1415,True,Add discoverable internal links from relevant crawl paths.,0,"Flea Pills for Dogs: Oral Pills, Chews & Tablets (Free Shipping) | Chewy",72,"For flea and tick infestations, shop Chewy's wide selection of flea & tick tablets and oral treatments as an easy and effective way to treat your pup. In as little as 30 minutes, your dog could be flea free thanks to the help of Capster Flea Tablets and other oral treatments. *FREE* shipping on orders $49+ and the BEST customer service.",338,flea treatment for dogs,Flea & Tick Pills For Dogs,1,flea-tick-pills-chewables,False,False,False,False,True,False,False,True,0,354,4,,,,,,,16,14,14.21,5,5,4,2,
Browse,Links,No unique inlinks,https://www.chewy.com/b/chicken-free-11643,True,Add discoverable internal links from relevant crawl paths.,0,,,,,,,0,chicken-free,,True,False,False,False,False,False,False,0,0,4,,,,,,,,,,,,,,
