page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Speed,CLS is not good,https://www.chewy.com/b/dry-food-294,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.2,"Dry Dog Food - Healthy, High Quality Dog Food from Top Brands",61,"Discover the best dry dog food from top brands like Purina, Blue Buffalo, Hills Science Diet and more. We offer grain-free, organic & sensitive skin and stomach options. FREE shipping $49+!",189,dry dog food,Dry Dog Food,1,dry-food,True,True,False,False,True,False,False,True,327548,415,1,good,2147.0,needs,0.2,,,223,222,5.4,171,18,3,31,374.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/wet-food-293,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.22333333333333336,"Wet Dog Food: Top Brands, Low Prices (Free Shipping) | Chewy",60,"Discover the best wet dog food brands at Chewy, featuring options tailored for grain-free, natural, & sensitive stomach diets. Free shipping on orders $49+!",156,wet dog food,Wet Dog Food,1,wet-food,True,True,False,False,True,False,False,True,327548,416,1,good,2156.0,needs,0.22333333333333336,,,125,123,6.76,97,14,5,9,106.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/soft-dog-treats-1538,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.35000000000000003,Soft Dog Treats: Chewy & Tasty (Free Shipping) | Chewy,54,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Blue Buffalo, Bocce's Bakery, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,soft dog treats,Soft Dog Treats,1,soft-dog-treats,True,True,False,False,True,False,False,True,318253,387,1,good,1880.0,poor,0.35000000000000003,,,46,44,4.95,33,5,0,8,17.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/dental-dog-treats-1539,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.36,"Dog Dental Chews: Best Chews, Sticks & Treats (Free Shipping) | Chewy",69,Shop Chewy for low prices and the best dog dental chews! We know that dental care for your pup is important. Dental treats and hard chews are a great (and tasty) way to maintain your dog's teeth in between cleanings. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all your DOG DENTAL & HARD DOG CHEWS at Chewy.com.,338,,Dental Treats for Dogs,1,dental-dog-treats,False,False,False,False,True,False,False,False,318253,392,1,good,1760.0,poor,0.36,,,,,,,,,,2.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/dog-cookies-and-biscuits-1537,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.41,"Dog Biscuits, Cookies & Crunchy Treats (Free Shipping) | Chewy",62,"Shop Chewy for low prices and the best dog biscuits & crunchy dog treats! Dog biscuits are a great way to reward your pup and add some variation to their diet. We've got healthy crunchy treats, gluten-free, grain-free, no soy —the list goes on! *FREE* shipping on orders $49+ and the BEST customer service! Shop for all DOG BISCUITS at Chewy.com.",346,chewy dog biscuits,"Biscuits, Cookies & Crunchy Treats",1,dog-cookies-and-biscuits,True,True,False,False,True,False,False,True,318253,400,1,good,1743.0,poor,0.41,,,33,30,8.26,18,4,5,6,18.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/long-lasting-dog-chews-9938,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.37500000000000006,Long Lasting Dog Chews - Free Shipping | Chewy,46,Shop Chewy for low prices and the best Long Lasting Dog Chews! Find everything you need in one place. FREE shipping on orders $49+ and top tier customer service!,161,long lasting dog chews,Long Lasting Dog Chews,1,long-lasting-dog-chews,True,True,False,False,True,False,False,True,318253,361,1,good,1771.0,poor,0.37500000000000006,,,29,28,11.36,16,6,3,4,49.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/jerky-treats-for-dogs-1546,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.235,Jerky Treats for Dogs - Best Dog Jerky Treats | Chewy,53,"Discover Jerky Treats for Dogs from top brands on Chewy. We offer a wide selection of human grade jerky treats, from beef jerky to chicken, duck, salmon and more. Get free shipping on orders $49+!",196,beef jerky dog treats,Jerky Treats for Dogs,1,jerky-treats-for-dogs,True,True,False,False,True,False,False,True,318253,376,1,good,1837.0,needs,0.235,,,27,26,9.56,9,7,0,11,9.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/freeze-dried-dehydrated-treats-1547,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.25,Freeze-Dried & Dehydrated Dog Treats (Free Shipping)| Chewy,59,"Shop Chewy for low prices and the best freeze dried dog treats! Freeze-Dried dog treats are a perfect snack because they're delicious and nutritious. We carry all the flavors your dog craves like chicken, salmon, duck plus gluten-free, grain-free, high protein and more. *FREE* shipping on orders $49+ and the BEST customer service!",332,freeze-dried and dehydrated dog treats,Freeze-Dried & Dehydrated Dog Treats,1,freeze-dried-dehydrated-treats,True,True,False,False,True,False,False,True,318253,363,1,good,1740.0,needs,0.25,,,27,27,7.42,19,3,2,3,22.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/dog-plush-toy-320,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.28500000000000003,Dog Plush Toys: Stuffed & Unstuffed (Free Shipping) | Chewy,59,"Shop Chewy for low prices and the best dog plush toys! For pups who like to get in touch with their wild side, plush toys are the perfect prey to get an attack on with. From durable to soft, you'll be able to find the right plush toy to suit your pup's needs at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!",334,plush dog toys,Dog Plush Toys,1,dog-plush-toy,True,True,False,False,True,False,False,True,318253,373,1,good,1663.0,poor,0.28500000000000003,,,26,26,5.69,24,2,0,0,48.0
Browse,Speed,CLS is not good,https://www.chewy.com/b/chew-toys-316,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.26,Dog Chew Toys: Low Prices (Free Shipping) | Chewy,49,"Shop Chewy for low prices and the best durable dog chew toys! Whether you have a tough chewer or a teething puppy, we have a wide selection of the best dog toys to satisfy your pup's urge to chew. Playtime never has to end when you have the right toys at home. *FREE* shipping on orders $49+ and the BEST customer service!",322,dog chew toys,Dog Chew Toys,1,chew-toys,True,True,False,False,True,False,False,True,318253,378,1,good,1690.0,poor,0.26,,,31,31,5.83,21,1,1,8,76.0
