page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/chewy-made-170606,True,Update URL patterns so the slug reflects the primary search intent.,chewy food for dogs,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/temptations-7577,True,Update URL patterns so the slug reflects the primary search intent.,temptations cat treats,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/shop-by-cat-8118,True,Update URL patterns so the slug reflects the primary search intent.,hill's science diet cat food,Hill's Science Diet Cat Food - Free shipping | Chewy,52,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,hill's science diet cat food,Hill's Science Diet Cat Food,1,shop-by-cat,True,True,False,False,True,False,False,False,318238,344,1,good,1411.0,good,0.085,,,6,6,10.0,2,3,0,1,23.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/worthy-dog-158558,True,Update URL patterns so the slug reflects the primary search intent.,chewy dog collars,"The Worthy Dog toys, collars & leashes & more - Free shipping | Chewy",69,Shop Chewy for low prices and the best The Worthy Dog! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,231,chewy dog collars,"The Worthy Dog toys, collars & leashes & more",1,worthy-dog,True,True,False,False,True,False,False,False,4574,345,2,good,1388.0,poor,0.265,,,2,2,24.0,0,0,1,1,4.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/shop-by-cat-10508,True,Update URL patterns so the slug reflects the primary search intent.,greenies soft chewy cat treats,Greenies for Cats - Free shipping | Chewy,41,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,greenies soft chewy cat treats,Greenies for Cats,1,shop-by-cat,True,True,False,False,True,False,False,False,59,326,2,good,1632.0,good,0.035,,,5,5,1.0,1,0,0,4,4.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/fancy-feast-7347,True,Update URL patterns so the slug reflects the primary search intent.,fancy feast cat food,"Fancy Feast Cat Food & Treats - Deals, Free Shipping | Chewy",60,"Shop Chewy for low prices on Fancy Feast Cat Food and Treats. We carry a wide selection of Fancy Feast products including appetizers, chunky food, classic, broths and more that your kitty will love. FREE shipping on orders $49+ and the BEST customer service!",258,fancy feast cat food,Fancy Feast Make everyday extraordinary with Gems,2,fancy-feast,True,True,False,False,True,False,False,True,531,369,2,good,1743.0,good,0.045,,,14,14,14.23,4,6,3,1,14.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/treats-7909,True,Update URL patterns so the slug reflects the primary search intent.,sheba cat treats,Sheba Cat Treats - Free shipping | Chewy,40,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,sheba cat treats,Sheba Cat Treats,1,treats,True,True,False,False,True,False,False,False,45,313,2,,,,,,,1,1,6.0,1,0,0,0,1.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/treats-11285,True,Update URL patterns so the slug reflects the primary search intent.,vital essentials cat treats,Vital Essentials Treats for Cats - Free shipping | Chewy,56,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Vital Essentials and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,vital essentials cat treats,Vital Essentials Treats for Cats,1,treats,True,True,False,False,True,False,False,False,45,333,2,,,,,,,2,2,5.5,2,0,0,0,2.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/shop-by-cat-8902,True,Update URL patterns so the slug reflects the primary search intent.,hill's prescription diet for cats,Hill's Prescription Diet for Cats - Free shipping | Chewy,57,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,hill's prescription diet for cats,Hill's Prescription Diet for Cats,1,shop-by-cat,True,True,False,False,True,False,False,False,24,360,2,good,1406.0,good,0.005,,,4,4,5.25,4,0,0,0,9.0
Brand,URL,URL slug does not align to main keyword,https://www.chewy.com/brands/chewy-made-dog-treats-3434382,True,Update URL patterns so the slug reflects the primary search intent.,american journey dog treats,Chewy Made Dog Treats | Chewy Exclusive Brand,45,"Shop Dog Treats & Dog Bones from Chewy Made, a Chewy Exclusive Brand. Now offering everything from Dental Sticks to Marrow Bones, Crunchy Biscuits and more.",156,american journey dog treats,Chewy Made Dog Treats & Bones,1,chewy-made-dog-treats,True,True,False,False,True,False,False,False,217,345,2,,,,,,,14,12,6.73,8,3,0,3,1.0
