page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Schema,Rating schema missing,https://www.chewy.com/small-pet-select-coop-cookies-all/dp/4961510,True,Add rating fields where eligible.,,"SMALL PET SELECT Coop Cookies, All-Natural Nutritious Enrichment Chicken Treats, 2 count, 21.1-oz bag - Chewy.com",113,"Buy Small Pet Select Coop Cookies, All-Natural Nutritious Enrichment Chicken Treats, 2 count, 21.1-oz bag at Chewy.com. FREE shipping and the BEST customer service!",164,,"Small Pet Select Coop Cookies, All-Natural Nutritious Enrichment Chicken Treats, 2 count, 21.1-oz bag",1,small-pet-select-coop-cookies-all,True,True,False,False,True,True,True,False,16,307,2,,,,,,,,,,,,,,1.0
PDP,Schema,Rating schema missing,https://www.chewy.com/small-pet-select-peck-n-play-hanging/dp/4961526,True,Add rating fields where eligible.,,"SMALL PET SELECT Peck 'N Play Hanging All-Natural Nutritious Enrichment Chicken Treats, 2 count, 8.46-oz box - Chewy.com",120,"Buy Small Pet Select Peck 'N Play Hanging All-Natural Nutritious Enrichment Chicken Treats, 2 count, 8.46-oz box at Chewy.com. FREE shipping and the BEST customer service!",171,,"Small Pet Select Peck 'N Play Hanging All-Natural Nutritious Enrichment Chicken Treats, 2 count, 8.46-oz box",1,small-pet-select-peck-n-play-hanging,True,True,False,False,True,True,True,False,14,310,2,,,,,,,,,,,,,,1.0
PDP,Schema,Rating schema missing,https://www.chewy.com/tahoe-tack-nylon-overlay-llama-halter/dp/3553366,True,Add rating fields where eligible.,,"TAHOE TACK Nylon Overlay Llama Halter with Padded Noseband, Grey Floral, Small - Chewy.com",90,"Buy Tahoe Tack Nylon Overlay Llama Halter with Padded Noseband, Grey Floral, Small at Chewy.com. FREE shipping and the BEST customer service!",141,,"Tahoe Tack Nylon Overlay Llama Halter with Padded Noseband, Grey Floral, Small",1,tahoe-tack-nylon-overlay-llama-halter,True,True,False,False,True,True,True,False,21,312,2,,,,,,,,,,,,,,1.0
PDP,Schema,Rating schema missing,https://www.chewy.com/nonopets-textured-tpr-ring-durable/dp/4863374,True,Add rating fields where eligible.,,NONOPETS Textured TPR Ring Durable Interactive Tug Rope Dental Care Teething Chew Dog & Cat Toy - Chewy.com,107,Buy NonoPets Textured TPR Ring Durable Interactive Tug Rope Dental Care Teething Chew Dog & Cat Toy at Chewy.com. FREE shipping and the BEST customer service!,158,,NonoPets Textured TPR Ring Durable Interactive Tug Rope Dental Care Teething Chew Dog & Cat Toy,1,nonopets-textured-tpr-ring-durable,True,False,False,False,True,True,True,False,69,317,2,,,,,,,,,,,,,,1.0
PDP,Schema,Rating schema missing,https://www.chewy.com/hugsmart-stingray-plush-squeaky-rope/dp/4522766,True,Add rating fields where eligible.,,"HUGSMART Stingray Plush Squeaky Rope Tug Dog Toy, Blue, Medium/Large: 12.5 x 11.8 x 3.2-in - Chewy.com",102,"Buy HugSmart Stingray Plush Squeaky Rope Tug Dog Toy, Blue, Medium/Large: 12.5 x 11.8 x 3.2-in at Chewy.com. FREE shipping and the BEST customer service!",153,,"HugSmart Stingray Plush Squeaky Rope Tug Dog Toy, Blue, Medium/Large: 12.5 x 11.8 x 3.2-in",1,hugsmart-stingray-plush-squeaky-rope,True,True,False,False,True,True,True,False,43,316,2,,,,,,,,,,,,,,1.0
PDP,Schema,Rating schema missing,https://www.chewy.com/bark-herbert-herbivore-squeaky-ropes/dp/4517030,True,Add rating fields where eligible.,,"BARK Herbert The Herbivore Squeaky Ropes Tug Dog Toy, Gray - Chewy.com",70,"Buy BARK Herbert The Herbivore Squeaky Ropes Tug Dog Toy, Gray at Chewy.com. FREE shipping and the BEST customer service!",121,,"BARK Herbert The Herbivore Squeaky Ropes Tug Dog Toy, Gray",1,bark-herbert-herbivore-squeaky-ropes,True,True,False,False,True,True,True,False,31,319,2,,,,,,,,,,,,,,
PDP,Schema,Rating schema missing,https://www.chewy.com/mycelium-feeds-high-protein-pellet/dp/4813558,True,Add rating fields where eligible.,,"MYCELIUM FEEDS High-Protein Pellet & Kibble Seed Blend Macaws Food, 5-lb bag - Chewy.com",88,"Buy Mycelium Feeds High-Protein Pellet & Kibble Seed Blend Macaws Food, 5-lb bag at Chewy.com. FREE shipping and the BEST customer service!",139,,"Mycelium Feeds High-Protein Pellet & Kibble Seed Blend Macaws Food, 5-lb bag",1,mycelium-feeds-high-protein-pellet,True,False,False,False,True,True,True,False,40,317,2,,,,,,,,,,,,,,
PDP,Schema,Rating schema missing,https://www.chewy.com/bonkers-bites-paw-lickin-chicken/dp/4567694,True,Add rating fields where eligible.,,"BONKERS Bites Paw Lickin Chicken Flavored Crunchy Cat Treats, 16-oz tub - Chewy.com",83,"Buy BONKERS Bites Paw Lickin Chicken Flavored Crunchy Cat Treats, 16-oz tub at Chewy.com. FREE shipping and the BEST customer service!",134,,"BONKERS Bites Paw Lickin Chicken Flavored Crunchy Cat Treats, 16-oz tub",1,bonkers-bites-paw-lickin-chicken,True,False,False,False,True,True,True,False,22,316,2,,,,,,,,,,,,,,
PDP,Schema,Rating schema missing,https://www.chewy.com/kseroo-natural-loofah-turtle-eco/dp/4508150,True,Add rating fields where eligible.,,"KSEROO Natural Loofah Turtle Eco-Friendly Chew & Batting Training Teasers-Wands Cat Toy, Yellow - Chewy.com",107,"Buy Kseroo Natural Loofah Turtle Eco-Friendly Chew & Batting Training Teasers-Wands Cat Toy, Yellow at Chewy.com. FREE shipping and the BEST customer service!",158,,"Kseroo Natural Loofah Turtle Eco-Friendly Chew & Batting Training Teasers-Wands Cat Toy, Yellow",1,kseroo-natural-loofah-turtle-eco,True,True,False,False,True,True,True,False,38,317,2,,,,,,,,,,,,,,1.0
PDP,Schema,Rating schema missing,https://www.chewy.com/nootie-chlorhexidine-wax-dirt-odor/dp/4210566,True,Add rating fields where eligible.,,"NOOTIE Chlorhexidine Wax, Dirt & Odor Removal Medicated Dog Ear Finger Wipes, 80 count - Chewy.com",98,"Buy Nootie Chlorhexidine Wax, Dirt & Odor Removal Medicated Dog Ear Finger Wipes, 80 count at Chewy.com. FREE shipping and the BEST customer service!",149,,"Nootie Chlorhexidine Wax, Dirt & Odor Removal Medicated Dog Ear Finger Wipes, 80 count",1,nootie-chlorhexidine-wax-dirt-odor,True,True,False,False,True,True,True,False,22,312,2,,,,,,,,,,,,,,1.0
