page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/science-backed-formulas-139702,True,Add FAQ schema where available; this is a nice-to-have.,,Shop Dog Food by Health Condition - Science & Vet Diet Dog Food,63,"Discover Science Diet Dog Food on Chewy, with the best healthy dog food options from top vet recommended brands. Save with Autoship and get fast, free shipping today!",166,,Shop Dog Food by Health Condition,1,science-backed-formulas,True,True,False,False,True,False,False,False,318253,360,1,,,,,,,,,,,,,,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/dental-dog-treats-1539,True,Add FAQ schema where available; this is a nice-to-have.,,"Dog Dental Chews: Best Chews, Sticks & Treats (Free Shipping) | Chewy",69,Shop Chewy for low prices and the best dog dental chews! We know that dental care for your pup is important. Dental treats and hard chews are a great (and tasty) way to maintain your dog's teeth in between cleanings. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all your DOG DENTAL & HARD DOG CHEWS at Chewy.com.,338,,Dental Treats for Dogs,1,dental-dog-treats,False,False,False,False,True,False,False,False,318253,392,1,good,1760.0,poor,0.36,,,,,,,,,,2.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/dog-leashes-and-collars-344,True,Add FAQ schema where available; this is a nice-to-have.,,"Dog Collars, Leashes & Harnesses: All Sizes (Free Shipping) | Chewy",67,"Find the perfect dog collar, leash, tie out or harness for your canine pal to suit their needs. From standard to training to reflective to no-pull harnesses and more, we have the right solution for your dog's needs at every day low prices. *FREE* shipping on orders $49+ and the BEST customer service!",301,dog collars,"Dog Collars, Leashes & Harnesses",1,dog-leashes-and-collars,True,True,False,False,True,False,False,False,318253,417,1,good,2259.0,good,0.035,,,49,46,10.64,22,18,4,5,29.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/dog-9956,True,Add FAQ schema where available; this is a nice-to-have.,,Supplies for New Dogs - Free shipping | Chewy,45,"Shop Chewy for low prices and the best Dog products! We carry a large selection and the top brands like Buckle-Down, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,,Supplies for New Dogs,1,dog,,False,False,False,True,False,False,False,318238,367,1,,,,,,,,,,,,,,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/pee-pads-diapers-360,True,Add FAQ schema where available; this is a nice-to-have.,,Best Dog Diapers & Potty Pads: Low Prices (Free Shipping) | Chewy,65,"Shop Chewy for the best dog potty pads and dog diapers. Chewy offers both disposable dog diapers and reusable dog diaper options so that you can find the perfect fit for you and your dog’s needs. Get into house-training mode with our wide selection of doggie potty pads and diapers. *FREE* shipping on orders $49+, low prices and the BEST customer service!",356,dog pads and diapers,Dog Pads & Diapers,1,pee-pads-diapers,True,True,False,False,True,False,False,False,318253,382,1,good,1867.0,good,0.06,,,8,8,8.43,5,2,0,1,22.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/vacuums-steam-cleaners-1985,True,Add FAQ schema where available; this is a nice-to-have.,,Best Dog Vacuums & Steam Cleaners: Low Price (Free Shipping) | Chewy,68,"Shop Chewy for the best dog vacuums and steam cleaners. Say goodbye to unsightly pet messes and hello to a pristine home. From hand vacs to steam cleaners, we have everything you need to eliminate every bit of fur and tough stains imaginable. *FREE* shipping on orders $49+ and the BEST customer service.",304,dog vacuums and steam cleaners,Vacuum Cleaners,1,vacuums-steam-cleaners,True,True,False,False,True,False,False,False,318253,368,1,good,1724.0,good,0.015,,,4,3,2.67,3,0,0,1,2.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/science-backed-formulas-141910,True,Add FAQ schema where available; this is a nice-to-have.,,Shop by Health Consideration - Free shipping | Chewy,52,"Shop Chewy for low prices and the best Health Consideration! We carry a large selection and the top brands like Wellness, Purina Pro Plan, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",247,deals on shop cat food by health consideration,Shop by Health Consideration,1,science-backed-formulas,True,True,False,False,True,False,False,False,318253,362,1,,,,,,,3,3,1.0,3,0,0,0,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/highest-quality-cat-food-11741,True,Add FAQ schema where available; this is a nice-to-have.,,Premium Cat Food: Best Brands (Free Shipping) | Chewy,53,"Delivering pet happiness by conveniently shipping 3,500+ brands of pet food and stuff (for free!) while ensuring at-risk animals' lives are improved across the planet. 1-800-672-4399",182,premium cat food,Highest Quality Cat Food,1,highest-quality-cat-food,True,True,False,False,True,False,False,False,318253,362,1,good,1797.0,good,0.07,,,22,22,9.47,14,2,3,3,32.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/dental-treats-12803,True,Add FAQ schema where available; this is a nice-to-have.,,Cat Dental Treats - Free Shipping | Chewy,41,"Shop Chewy for low prices and the best Dental Treats! We carry a large selection and the top brands like Emerald Pet, Earth Animal, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Cat Dental Treats,1,dental-treats,False,False,False,False,True,False,False,False,318253,350,1,,,,,,,,,,,,,,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/cat-grass-167950,True,Add FAQ schema where available; this is a nice-to-have.,,Cat Grass - Free Shipping | Chewy,33,"Shop Chewy for low prices and the best Cat Grass! We carry a large selection and the top brands like The Cat Ladies, K&H Pet Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",243,grass for cats,Cat Grass,1,cat-grass,True,True,False,False,True,False,False,False,318253,335,1,good,1433.0,good,0.055,,,2,2,14.5,0,2,0,0,11.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/health-pharmacy-415,True,Add FAQ schema where available; this is a nice-to-have.,,"Cat Healthcare: Supplements, First Aid & More (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Health & Pharmacy! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",263,non prescription cat healthcare,Cat Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,False,318253,403,1,good,2481.0,good,0.02,,,16,16,5.14,13,1,0,2,9.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/cat-allergy-relief-129902,True,Add FAQ schema where available; this is a nice-to-have.,,Allergy Relief for Cats - Free shipping | Chewy,47,"Shop Chewy for low prices and the best Cat Allergy Relief! We carry a large selection and the top brands like Prednisolone Compounded, Chlorpheniramine Maleate Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",280,best allergy treatments for cats,Allergy Relief for Cats,1,cat-allergy-relief,True,True,False,False,True,False,False,False,318253,360,1,good,2465.0,good,0.09,,,3,3,14.5,1,0,1,1,5.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/cat-urinary-tract-kidney-care-129942,True,Add FAQ schema where available; this is a nice-to-have.,,Cat Urinary Tract & Kidney Care - Free shipping | Chewy,55,"Shop Chewy for low prices and the best Cat Urinary Tract & Kidney Care! We carry a large selection and the top brands like Benazepril HCl Compounded, Furosemide Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",281,cat urinary tract and kidney care,Cat Urinary Tract & Kidney Care,1,cat-urinary-tract-kidney-care,True,True,False,False,True,False,False,False,318253,349,1,,,,,,,1,1,4.0,1,0,0,0,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/cat-health-tests-2690,True,Add FAQ schema where available; this is a nice-to-have.,,"Cat Medical Test Kits: Top Brands, Low Prices (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Test Kits! We carry a large selection and the top brands like PetTest, CheckUp, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",227,cat health tests,Cat Health Tests,1,cat-health-tests,True,True,False,False,True,False,False,False,318253,354,1,good,1564.0,good,0.03,,,5,5,11.2,3,1,1,0,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/horse-health-products-1691,True,Add FAQ schema where available; this is a nice-to-have.,,Horse Health | Chewy,20,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,horse health products,Horse Health Products,1,horse-health-products,True,True,False,False,True,False,False,False,318253,374,1,good,1968.0,good,0.065,,,2,2,10.5,1,1,0,0,3.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/chicken-nesting-supplies-13024,True,Add FAQ schema where available; this is a nice-to-have.,,Chicken Nesting Supplies | Chewy,32,"Shop Chewy for low prices and the best Nesting & Egg Supplies! We carry a large selection and the top brands like Hatching Time, Pampered Chicken Mama, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",260,chicken nesting box mats,Chicken Nesting Supplies,1,chicken-nesting-supplies,True,True,False,False,True,False,False,False,318253,359,1,,,,,,,5,5,16.6,0,4,1,0,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/chicken-vitamins-and-healthcare-13025,True,Add FAQ schema where available; this is a nice-to-have.,,Chicken Vitamins & Healthcare | Chewy,37,"Shop Chewy for low prices and the best Supplements & Healthcare! We carry a large selection and the top brands like Pampered Chicken Mama, Durvet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",255,chicken vitamins and supplements,Chicken Vitamins & Healthcare,1,chicken-vitamins-and-healthcare,True,True,False,False,True,False,False,False,318253,356,1,,,,,,,5,5,18.25,1,1,2,1,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/animal-and-livestock-feed-8405,True,Add FAQ schema where available; this is a nice-to-have.,,Animal and Livestock Feed | Chewy,33,"Shop Chewy for low prices and the best Livestock Feed! We carry a large selection and the top brands like Mazuri, Kalmbach Feeds, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Livestock Feed,1,animal-and-livestock-feed,True,True,False,False,True,False,False,False,318253,362,1,,,,,,,,,,,,,,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/livestock-supplements-9923,True,Add FAQ schema where available; this is a nice-to-have.,,"Livestock Supplements - Vitamins, Minerals, Nutrients and More | Chewy",70,"Shop Chewy for low prices and the best Livestock Supplements! We carry a large selection and the top brands like Durvet, UltraCruz, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Supplements for Livestock,1,livestock-supplements,True,True,False,False,True,False,False,False,318253,355,1,,,,,,,,,,,,,,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/cockatiel-supplies-and-accessories-12943,True,Add FAQ schema where available; this is a nice-to-have.,,Cockatiel Supplies & Accessories | Chewy,40,"Shop Chewy for low prices and the best Cockatiel products! We carry a large selection and the top brands like Prevue Pet Products, A&E Cage Company, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",257,cockatiel accessories,Cockatiel Supplies & Accessories,1,cockatiel-supplies-and-accessories,True,True,False,False,True,False,False,False,318253,368,1,good,1775.0,needs,0.12,,,5,5,2.4,5,0,0,0,3.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/bird-cages-and-accessories-953,True,Add FAQ schema where available; this is a nice-to-have.,,Bird Cages & Accessories | Chewy,32,"Shop Chewy for small and large bird cages and accessories for all size breeds of birds. Chewy has a large array of accessories including cage covers, feeders & waterers, seed catchers, poop remover and more. *FREE* shipping on orders $49+ and the BEST customer service!",269,bird cages budgies,Bird Cages & Accessories,1,bird-cages-and-accessories,True,True,False,False,True,False,False,False,318253,367,1,good,1935.0,good,0.01,,,23,22,8.56,14,2,2,5,9.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/saltwater-aquarium-supplies-115958,True,Add FAQ schema where available; this is a nice-to-have.,,Saltwater Aquarium & Fish Tank Supplies | Chewy,47,"Shop Chewy for low prices and the best Saltwater Fish Shop! We carry a large selection and the top brands like Underwater Treasures, Penn-Plax, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,saltwater fish media,Saltwater Aquarium Supplies,1,saltwater-aquarium-supplies,True,True,False,False,True,False,False,False,318253,373,1,,,,,,,2,2,11.0,0,1,0,1,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/aquarium-and-fish-tank-filters-and-media-924,True,Add FAQ schema where available; this is a nice-to-have.,,Aquarium & Fish Tank Filtration | Chewy,39,"Shop Chewy for the lowest prices on fish filters and media that will keep your aquarium nice and clean! Check out our wide selection of filters, filter cartridges, filter parts and filter media. We carry brands like AquaClear, Tetra, API, Marineland and Fluval. *FREE* shipping on orders $49+ and the BEST customer service!",323,aquarium filters,Aquarium & Fish Tank Filters & Media,1,aquarium-and-fish-tank-filters-and-media,True,True,False,False,True,False,False,False,318253,374,1,good,1842.0,good,0.0,,,16,14,21.33,1,2,6,7,2.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/pharmacy-15697,True,Add FAQ schema where available; this is a nice-to-have.,,Chewy Pet Pharmacy: Prescription Pet Meds & Supplies,52,Shop Chewy for low prices and the best products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,chewy pharmacy phone number,It’s easy to get started with Chewy Pharmacy Order in three simple steps The pharmacy you can count on We have all the brands you trust,4,pharmacy,False,False,False,False,True,False,False,False,318253,313,1,good,2423.0,good,0.005,,,119,110,12.06,36,58,11,14,123.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/connect-vet-16616,True,Add FAQ schema where available; this is a nice-to-have.,,Connect With a Vet - Free Online Vet Chat | Chewy,49,Chat now with licensed vets and vet techs who can help with real-time concerns for your pet's well-being. Chewy's Connect with a Vet can quickly help with most pet health and behavior related questions or concerns.,214,online vet,Connect with a Vet Meet our veterinary team,2,connect-vet,True,True,False,False,True,False,False,False,318253,305,1,good,1788.0,good,0.003333333333333333,,,26,26,13.27,12,4,10,0,884.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/learn-about-compounding-169822,True,Add FAQ schema where available; this is a nice-to-have.,,"Medicine Made Just for Your Pet, From America's #1 Pet Pharmacy - Free shipping | Chewy",87,Shop Chewy for low prices and the best Learn About Compounding! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,where does chewy pharmacy source its prescription items?,"Medicine Made Just for Your Pet, From America's #1 Pet Pharmacy",1,learn-about-compounding,True,False,False,False,True,False,False,False,318253,305,1,,,,,,,39,36,8.61,25,10,3,1,21.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/anti-inflammatory-musculoskelatal-136036,True,Add FAQ schema where available; this is a nice-to-have.,,Anti-Inflammatory Medication For Horses | Chewy,47,"Shop Chewy for low prices and the best Anti-inflammatory & Musculoskelatal! We carry a large selection and the top brands like Prednisone Compounded, Isoxsuprine HCl Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",286,,Prescription Anti-inflammatory & Musculoskelatal Medicine for Horses,1,anti-inflammatory-musculoskelatal,True,True,False,False,True,False,False,False,318253,349,1,,,,,,,,,,,,,,1.0
Browse,Schema,FAQ schema missing,https://www.chewy.com/b/metabolic-medicine-for-horses-11638,True,Add FAQ schema where available; this is a nice-to-have.,,Metabolic Medicine For Horses | Chewy,37,"Shop Chewy for low prices and the best Metabolic & Endocrine! We carry a large selection and the top brands like Trilostane Compounded, Pergolide Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",266,,Endocrine & Metabolic Medicine For Horses,1,metabolic-medicine-for-horses,True,True,False,False,True,False,False,False,318253,346,1,,,,,,,,,,,,,,1.0
