page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/chewy-made-170606,True,Rewrite titles that are too short or too long while keeping the main topic clear.,70,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/skin-care-169782,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,Hill's Prescription Diet Skin Care for Dogs - Free shipping | Chewy,67,Shop Chewy for low prices and the best Skin Care! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,,Hill's Prescription Diet Skin Care for Dogs,1,skin-care,True,True,False,False,True,False,False,False,318238,319,1,,,,,,,,,,,,,,1.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/skin-care-169710,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,Hill's Prescription Diet Skin Care for Cats - Free shipping | Chewy,67,Shop Chewy for low prices and the best Skin Care! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,,Hill's Prescription Diet Skin Care for Cats,1,skin-care,True,True,False,False,True,False,False,False,318238,311,1,,,,,,,,,,,,,,1.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/worthy-dog-158558,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"The Worthy Dog toys, collars & leashes & more - Free shipping | Chewy",69,Shop Chewy for low prices and the best The Worthy Dog! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,231,chewy dog collars,"The Worthy Dog toys, collars & leashes & more",1,worthy-dog,True,True,False,False,True,False,False,False,4574,345,2,good,1388.0,poor,0.265,,,2,2,24.0,0,0,1,1,4.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/inaba-6930,True,Rewrite titles that are too short or too long while keeping the main topic clear.,29,Inaba - Free shipping | Chewy,29,Shop Chewy for low prices and the best Inaba products! We carry a large selection and the top brands like Inaba and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,inaba,Inaba,1,inaba,True,True,False,False,True,False,False,False,570,345,2,good,1457.0,needs,0.15999999999999998,,,5,4,6.0,5,0,0,0,7.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/nutramax-7125,True,Rewrite titles that are too short or too long while keeping the main topic clear.,29,Nutramax Laboratories | Chewy,29,"Shop Chewy for low prices on Nutramax Laboratories pet health products. We carry a wide selection of Nutramax Lab products including Dasuquin, Cosequin, Crananidin, Denamarin, Denosyl, Proviable and more. FREE shipping on orders $49+ and the BEST customer service!",264,nutramax,Nutramax,1,nutramax,True,True,False,False,True,False,False,False,163,356,2,good,1640.0,good,0.075,,,3,3,6.5,2,0,0,1,2.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/tiny-tiger-7630,True,Rewrite titles that are too short or too long while keeping the main topic clear.,72,Tiny Tiger: Cat Food – Free Shipping (35% Off Your First Autoship Order),72,Shop Chewy for low prices and the best Tiny Tiger! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,tiny tiger,Tiny Tiger There's a lot to love about Tiny Tiger Wildly delicious Complete & balanced Irresistible prices,5,tiny-tiger,True,True,False,False,True,False,False,True,100,347,2,good,1611.0,good,0.09000000000000001,,,9,9,3.88,7,1,0,1,25.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/woof-136430,True,Rewrite titles that are too short or too long while keeping the main topic clear.,28,Woof - Free shipping | Chewy,28,Shop Chewy for low prices and the best Woof products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chewy pupsicle,Woof Where wellness meets play,2,woof,True,True,False,False,True,False,False,False,340,345,2,good,1425.0,needs,0.11,,,1,1,1.0,1,0,0,0,19.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/blue-buffalo-natural-veterinary-diet-10527,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,Blue Buffalo Natural Veterinary Diet Cat Food - Free shipping | Chewy,69,Shop Chewy for low prices and the best Blue Buffalo Natural Veterinary Diet! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,253,,Blue Buffalo Natural Veterinary Diet Cat Food,1,blue-buffalo-natural-veterinary-diet,True,True,False,False,True,False,False,True,13,319,2,,,,,,,,,,,,,,1.0
Brand,Meta,Page title length is not ideal,https://www.chewy.com/brands/lucy-co-167438,True,Rewrite titles that are too short or too long while keeping the main topic clear.,75,"Lucy & Co Collars, Leashes, Clothes & More for Dogs - Free shipping | Chewy",75,Shop Chewy for low prices and the best Lucy & Co! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,lucy and co.,"Lucy & Co Collars, Leashes, Clothes & More for Dogs",1,lucy-co,True,True,False,False,True,False,False,False,534,344,2,,,,,,,1,1,5.0,1,0,0,0,5.0
