page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Speed,Speed measurement missing,https://www.chewy.com/frisco-summer-coastal-crab-fetch/dp/2122958,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"FRISCO Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium - Chewy.com",78,"Buy Frisco Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium at Chewy.com. FREE shipping and the BEST customer service!",129,,"Frisco Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium",1,frisco-summer-coastal-crab-fetch,True,True,False,False,True,True,True,True,111,318,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/chuckit-ultra-rubber-ball-tough-dog/dp/38371,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"CHUCKIT! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack - Chewy.com",68,"Buy Chuckit! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack at Chewy.com. FREE shipping and the BEST customer service!",119,,"Chuckit! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack",1,chuckit-ultra-rubber-ball-tough-dog,True,True,False,False,True,True,True,True,630,330,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/canada-pooch-cooling-20-dog-snood/dp/1467878,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"CANADA POOCH Cooling 2.0 Dog Snood, Grey, Large - Chewy.com",59,"Buy Canada Pooch Cooling 2.0 Dog Snood, Grey, Large at Chewy.com. FREE shipping and the BEST customer service!",110,,"Canada Pooch Cooling 2.0 Dog Snood, Grey, Large",1,canada-pooch-cooling-20-dog-snood,True,True,False,False,True,True,True,True,17,311,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/lucy-co-tinned-fish-step-in-cat/dp/3827782,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"LUCY & CO. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest - Chewy.com",82,"Buy Lucy & Co. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest at Chewy.com. FREE shipping and the BEST customer service!",133,,"Lucy & Co. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest",1,lucy-co-tinned-fish-step-in-cat,True,True,False,False,True,True,True,True,32,324,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/ruffwear-hitch-hiker-polyester/dp/3975342,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"RUFFWEAR Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime - Chewy.com",112,"Buy Ruffwear Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime at Chewy.com. FREE shipping and the BEST customer service!",163,,"Ruffwear Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime",1,ruffwear-hitch-hiker-polyester,True,True,False,False,True,True,True,True,7,314,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/frisco-summer-coastal-shark-bubble/dp/2123230,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,FRISCO Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip - Chewy.com,95,Buy Frisco Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip at Chewy.com. FREE shipping and the BEST customer service!,146,,Frisco Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip,1,frisco-summer-coastal-shark-bubble,True,True,False,False,True,True,True,True,107,317,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/worthy-dog-rubber-duck-dog-dress-blue/dp/1573622,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"THE WORTHY DOG Rubber Duck Dog Dress, Blue, Large - Chewy.com",61,"Buy The Worthy Dog Rubber Duck Dog Dress, Blue, Large at Chewy.com. FREE shipping and the BEST customer service!",112,,"The Worthy Dog Rubber Duck Dog Dress, Blue, Large",1,worthy-dog-rubber-duck-dog-dress-blue,True,True,False,False,True,True,True,False,6,315,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/non-stop-dogwear-cooling-dog-vest/dp/3595310,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"NON-STOP DOGWEAR Cooling Dog Vest, Light Gray/Teal, Medium - Chewy.com",70,"Buy Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, Medium at Chewy.com. FREE shipping and the BEST customer service!",121,,"Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, Medium",1,non-stop-dogwear-cooling-dog-vest,True,False,False,False,True,True,True,True,15,310,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/frisco-hot-tropics-flamingo-feathers/dp/1329166,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,FRISCO Flamingo with Feathers Plush Kicker Cat Toy with Silvervine & Catnip - Chewy.com,87,Buy Frisco Flamingo with Feathers Plush Kicker Cat Toy with Silvervine & Catnip at Chewy.com. FREE shipping and the BEST customer service!,138,,Frisco Flamingo with Feathers Plush Kicker Cat Toy with Silvervine & Catnip,1,frisco-hot-tropics-flamingo-feathers,True,True,False,False,True,True,True,True,48,317,1,,,,,,,,,,,,,,1.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/clomipramine-hydrochloride-generic/dp/396183,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"CLOMIPRAMINE HYDROCHLORIDE (Generic) Tablets, 20 mg - Easy Refills | Chewy Rx",77,"Some furry friends have a very hard time being separated from their pet parents, but thankfully there are ways to help. Clomipramine Hydrochloride (Generic) Tablets is a prescriptions medication formulated to help reduce clinical signs of separation anxiety. It works by affecting serotonergic and noradrenergic neuronal transmission into your pets central nervous system.",372,,"Clomipramine Hydrochloride (Generic) Tablets, 20 mg, 30 tablets",1,clomipramine-hydrochloride-generic,True,False,False,False,True,True,True,True,87,325,2,,,,,,,,,,,,,,2.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/acepromazine-maleate-generic-tablets/dp/320693,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"ACEPROMAZINE Maleate (Generic) Tablets for Dogs, 25-mg - Easy Refills | Chewy Rx",80,"Acepromazine Maleate is a prescription medication for dogs who need tranquilization. This medication is not a pain reliever but can be used to sedate animals for minor procedures, such as nail trims. It comes in an uncoated tablet form, so you can easily hide it in a pill pocket and give it as a tasty treat or disguise it in your dog's favorite wet food.",356,,"Acepromazine Maleate (Generic) Tablets for Dogs, 25-mg, 30 tablets",1,acepromazine-maleate-generic-tablets,True,False,False,False,True,True,True,True,43,322,2,,,,,,,,,,,,,,
PDP,Speed,Speed measurement missing,https://www.chewy.com/clomicalm-clomipramine-hcl-tablets/dp/323200,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"CLOMICALM (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets - Easy Refills | Chewy Rx",90,Clomicalm is an oral medication prescribed by veterinarians to help control anxiety - including separation anxiety in dogs. These tablets can also be used as part of a behavior modification program. This medication comes in an oral tablet form and can be easily disguised in your canine companions favorite food.,312,,"Clomicalm (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets",1,clomicalm-clomipramine-hcl-tablets,True,False,False,False,True,True,True,True,27,322,2,,,,,,,,,,,,,,4.0
PDP,Speed,Speed measurement missing,https://www.chewy.com/selegiline-hcl-generic-capsules-dogs/dp/3546358,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,"SELEGILINE HCl (Generic) Capsules, 5-mg - Easy Refills | Chewy Rx",65,"Selegiline is an oral prescription medication used to treat cognitive dysfunction and senility in older dogs. It can also be used to treat Cushing's disease when it is caused by a pituitary tumor. Its a generic alternative to Anipryl, and its the only FDA-approved drug for canine senility.",290,,"Selegiline HCl (Generic) Capsules, 5-mg, 60 Capsules",1,selegiline-hcl-generic-capsules-dogs,True,False,False,False,True,True,True,True,56,324,2,,,,,,,,,,,,,,1.0
