page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/chewy-egift-card/dp/541878,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,how to cards on chewy,"Chewy eGift Card, Number One Dad, $150",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,9,8,12.5,3,1,2,3,6.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/chewy-egift-card/dp/283560,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift cards,"Chewy eGift Card, Purr-fect Gift, $100",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,3,3,23.0,0,0,1,2,3.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/dog-whisperer-beef-flavored-sticks/dp/632942,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"DOG WHISPERER Beef Flavored Sticks Jerky Dog Treats, 24-oz bag - Chewy.com",74,"Buy Dog Whisperer Beef Flavored Sticks Jerky Dog Treats, 24-oz bag at Chewy.com. FREE shipping and the BEST customer service!",125,chewy exclusive jerky dog treats,"Dog Whisperer Beef Flavored Sticks Jerky Dog Treats, 24-oz bag",1,dog-whisperer-beef-flavored-sticks,True,True,False,False,True,True,True,False,49,325,2,,,,,,,1,1,23.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/rocco-roxie-supply-co-gourmet-chicken/dp/116998,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"ROCCO & ROXIE SUPPLY CO. Gourmet Chicken Jerky Dog Sticks, 16-oz bag - Chewy.com",80,"Buy Rocco & Roxie Supply Co. Gourmet Chicken Jerky Dog Sticks, 16-oz bag at Chewy.com. FREE shipping and the BEST customer service!",131,chewy exclusive jerky dog treats,"Rocco & Roxie Supply Co. Gourmet Chicken Jerky Dog Sticks, 16-oz bag",1,rocco-roxie-supply-co-gourmet-chicken,True,True,False,False,True,True,True,True,58,327,3,,,,,,,1,1,28.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/purebites-salmon-freeze-dried-raw-dog/dp/177294,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"PUREBITES Salmon Freeze-Dried Raw Dog Treats, 2.47-oz bag - Chewy.com",69,"Buy PureBites Salmon Freeze-Dried Raw Dog Treats, 2.47-oz bag at Chewy.com. FREE shipping and the BEST customer service!",120,chewy exclusive freeze-dried and dehydrated dog treats,"PureBites Salmon Freeze-Dried Raw Dog Treats, 2.47-oz bag",1,purebites-salmon-freeze-dried-raw-dog,True,True,False,False,True,True,True,True,115,336,3,,,,,,,1,1,24.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/country-kitchen-rawhide-free-twists/dp/3650542,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"COUNTRY KITCHEN Rawhide-Free Twists Beef Dog Chew Treats, 9 count - Chewy.com",77,"Buy Country Kitchen Rawhide-Free Twists Beef Dog Chew Treats, 9 count at Chewy.com. FREE shipping and the BEST customer service!",128,chewy exclusive rawhide-free dog treats,"Country Kitchen Rawhide-Free Twists Beef Dog Chew Treats, 9 count",1,country-kitchen-rawhide-free-twists,True,True,False,False,True,True,True,False,14,330,3,,,,,,,1,1,21.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/chewy-all-natural-dental-sticks/dp/1761086,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"CHEWY MADE Natural Bacon Flavor Dental Chew Dog Treats (FORMERLY TRUE ACRE FOODS), 32 count - Chewy.com",103,"Buy Chewy Made Natural Bacon Flavor Dental Chew Dog Treats (FORMERLY TRUE ACRE FOODS), 32 count at Chewy.com. FREE shipping and the BEST customer service!",154,chewy exclusive dog dental treats,"Chewy Made Natural Bacon Flavor Dental Chew Dog Treats (FORMERLY TRUE ACRE FOODS), 32 count",1,chewy-all-natural-dental-sticks,True,True,False,False,True,True,True,True,64,325,2,,,,,,,1,1,24.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/chewy-standard-bully-stick-4/dp/2195086,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"CHEWY MADE Standard Bully Stick 4"" Dog Treats (FORMERLY BONES & CHEWS), 2 count bundle - Chewy.com",98,"Buy Chewy Made Standard Bully Stick 4"" Dog Treats (FORMERLY BONES & CHEWS), 2 count bundle at Chewy.com. FREE shipping and the BEST customer service!",149,chewy exclusive bones bully sticks and natural dog chews,"Chewy Made Standard Bully Stick 4"" Dog Treats (FORMERLY BONES & CHEWS), 2 count bundle",1,chewy-standard-bully-stick,True,False,False,False,True,True,True,True,9,325,3,,,,,,,1,1,25.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/chewy-unscented-clumping-clay-litter/dp/1761110,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"CHEWY MADE Multi-Cat Unscented Clumping Clay Cat Litter (FORMERLY FRISCO), 40-lb bag - Chewy.com",96,"Buy Chewy Made Multi-Cat Unscented Clumping Clay Cat Litter (FORMERLY FRISCO), 40-lb bag at Chewy.com. FREE shipping and the BEST customer service!",147,frisco cat litter,"Chewy Made Multi-Cat Unscented Clumping Clay Cat Litter (FORMERLY FRISCO), 40-lb bag",1,chewy-unscented-clumping-clay-litter,True,True,False,False,True,True,True,True,5,321,3,good,2484.0,good,0.07,,,7,7,7.0,5,1,1,0,8.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/ultra-chewy-naturals-hoof-beef-chew/dp/3623806,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"ULTRA CHEWY NATURALS Hoof Beef Chew Dog Treats, 4 count - Chewy.com",67,"Buy Ultra Chewy Naturals Hoof Beef Chew Dog Treats, 4 count at Chewy.com. FREE shipping and the BEST customer service!",118,ultra chewy natural dog chews,"Ultra Chewy Naturals Hoof Beef Chew Dog Treats, 4 count",1,ultra-chewy-naturals-hoof-beef-chew,True,True,False,False,True,True,True,False,30,306,3,,,,,,,1,1,23.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/ultra-chewy-double-treat-bone-liver/dp/264681,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"ULTRA CHEWY Double Treat Bone Liver Flavor Dog Treats, 1 count - Chewy.com",74,"Buy Ultra Chewy Double Treat Bone Liver Flavor Dog Treats, 1 count at Chewy.com. FREE shipping and the BEST customer service!",125,ultra chewy natural dog chews,"Ultra Chewy Double Treat Bone Liver Flavor Dog Treats, 1 count",1,ultra-chewy-double-treat-bone-liver,True,True,False,False,True,True,True,False,4,312,4,,,,,,,1,1,27.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/chlorpheniramine-maleate-compounded/dp/996486,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"CHLORPHENIRAMINE MALEATE COMPOUNDED Capsule, 6 mg, 120 capsules for Veterinary use - Easy Refills | Chewy Rx",108,Chlorpheniramine Malate is an antihistamine that may be prescribed for allergies. Chlorpheniramine Maleate Compounded capsule is a white elongated capsule made specifically for your pet. **Please note your capsules may be either blue-white or all white.,253,chlorpheniramine maleate compounded,"Chlorpheniramine Maleate Compounded Capsule, 6 mg, 120 capsules for Veterinary use",1,chlorpheniramine-maleate-compounded,True,False,False,False,True,True,True,True,8,314,4,,,,,,,1,1,24.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/cyproheptadine-hcl-compounded-oral/dp/361804,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"CYPROHEPTADINE HCL COMPOUNDED Tuna Oral Oil Suspension, 100 mg/mL, 30 mL for Veterinary use - Easy Refills | Chewy Rx",117,"Cyproheptadine HCl Compounded oral liquid is an oil-based preparation. Cyproheptadine HCl is an antihistamine that be prescribed for allergies, appetite stimulation, serotonin syndrome. Cyproheptadine HCl Compounded oral liquid is made specifically for your pet.",262,cyproheptadine hcl compounded,"Cyproheptadine HCl Compounded Tuna Oral Oil Suspension, 100 mg/mL, 30 mL for Veterinary use",1,cyproheptadine-hcl-compounded-oral,True,True,False,False,True,True,True,True,9,320,5,,,,,,,1,1,27.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/isoxsuprine-hcl-compounded-oral-oil/dp/398030,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,isoxsuprine hcl compounded,,,,,,,,,,,,,,,,,,,,,1,1,26.0,0,0,1,0,
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/methocarbamol-compounded-powder/dp/944118,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"METHOCARBAMOL COMPOUNDED Apple Powder, 2.5 GM/15CC scoop, for Veterinary use - Easy Refills | Chewy Rx",102,"Methocarbamol is a muscle relaxant prescribed by your vet to treat acute inflammatory and traumatic conditions of skeletal muscles, as well as to reduce muscle spasms. Methocarbamol compounded powder is a white to off-white colored powder that is made specifically for your pet.",278,methocarbamol compounded,"Methocarbamol Compounded Apple Powder, 2.5 GM/15CC scoop, 180 scoops for Veterinary use",1,methocarbamol-compounded-powder,True,True,False,False,True,True,True,True,2,319,4,,,,,,,1,1,24.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/bones-chews-made-in-usa-12-braided/dp/185095,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,bones & chews made in usa bully stick dog chews,,,,,,,,,,,,,,,,,,,,,1,1,23.0,0,0,1,0,
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/chloraseb-antiseptic-flush-dogs/dp/202248,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"CHLORASEB Antiseptic Flush for Dogs, 12-oz bottle - Chewy.com",61,"Buy ChloraSeb Antiseptic Flush for Dogs, 12-oz bottle at Chewy.com. FREE shipping and the BEST customer service!",112,chloraseb,"ChloraSeb Antiseptic Flush for Dogs, 12-oz bottle",1,chloraseb-antiseptic-flush-dogs,True,True,False,False,True,True,True,True,0,321,4,,,,,,,1,1,24.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/frisco-fetch-squeaky-tpr-ball-dog-toy/dp/179578,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"FRISCO Fetch Squeaky TPR Ball Dog Toy, Blue, Medium, 1 count - Chewy.com",72,"Buy Frisco Fetch Squeaky TPR Ball Dog Toy, Blue, Medium, 1 count at Chewy.com. FREE shipping and the BEST customer service!",123,frisco by chewy,"Frisco Fetch Squeaky TPR Ball Dog Toy, Blue, Medium, 1 count",1,frisco-fetch-squeaky-tpr-ball-dog-toy,True,False,False,False,True,True,True,True,51,319,3,,,,,,,1,1,27.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/frisco-unicorn-plush-squeaky-dog-toy/dp/201380,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"FRISCO Unicorn Plush Squeaky Dog Toy, White, Medium/Large - Chewy.com",69,"Buy Frisco Unicorn Plush Squeaky Dog Toy, White, Medium/Large at Chewy.com. FREE shipping and the BEST customer service!",120,unicorn dog toy,"Frisco Unicorn Plush Squeaky Dog Toy, White, Medium/Large",1,frisco-unicorn-plush-squeaky-dog-toy,True,True,False,False,True,True,True,True,54,318,3,,,,,,,2,2,16.5,1,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/frisco-realistic-rabbit-plush-squeaky/dp/343222,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"FRISCO Realistic Rabbit Plush Squeaky Dog Toy, Medium/Large - Chewy.com",71,"Buy Frisco Realistic Rabbit Plush Squeaky Dog Toy, Medium/Large at Chewy.com. FREE shipping and the BEST customer service!",122,rabbit dog toy,"Frisco Realistic Rabbit Plush Squeaky Dog Toy, Medium/Large",1,frisco-realistic-rabbit-plush-squeaky,True,True,False,False,True,True,True,True,90,318,3,,,,,,,2,2,25.0,0,0,1,1,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/frisco-8-box-adjustable-modular-dog/dp/1097358,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"FRISCO Hourglass Interactive Puzzle Dog Toy, Level 6 - Chewy.com",64,"Buy Frisco Hourglass Interactive Puzzle Dog Toy, Level 6 at Chewy.com. FREE shipping and the BEST customer service!",115,frisco puzzles,"Frisco Hourglass Interactive Puzzle Dog Toy, Level 6",1,frisco-8-box-adjustable-modular-dog,True,True,False,False,True,True,True,True,45,319,3,,,,,,,1,1,25.0,0,0,1,0,1.0
PDP,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/frisco-flower-adjustable-modular-dog/dp/1097374,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"FRISCO Flower Interactive Puzzle Dog Toy, Level 5 - Chewy.com",61,"Buy Frisco Flower Interactive Puzzle Dog Toy, Level 5 at Chewy.com. FREE shipping and the BEST customer service!",112,frisco puzzles,"Frisco Flower Interactive Puzzle Dog Toy, Level 5",1,frisco-flower-adjustable-modular-dog,True,True,False,False,True,True,True,True,44,319,2,,,,,,,1,1,29.0,0,0,1,0,2.0
