page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/dog/pet-parenting/dog-cat-fireworks-safety,True,Align sitemap inclusion to the intended index state.,,How To Keep Dogs and Cats Calm During Fireworks | Chewy,55,"Fireworks can scare pets. Learn how to create a safe space, reduce noise, prevent escapes, and help dogs and cats stay calm.",124,,How To Keep Dogs and Cats Calm During Fireworks,1,dog-cat-fireworks-safety,True,False,False,False,False,False,False,False,248,336,2,,,,,,,,,,,,,,
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/dog/pet-parenting/dog-cat-summer-road-trip-safety,True,Align sitemap inclusion to the intended index state.,,How To Keep Dogs and Cats Safe on Summer Road Trips | Chewy,59,"Planning a road trip with your pet? Use these vet-approved tips to keep dogs and cats safe, comfortable, and calm on summer drives.",131,,How To Keep Dogs and Cats Safe on Summer Road Trips,1,dog-cat-summer-road-trip-safety,True,False,False,False,False,False,False,False,248,317,2,,,,,,,,,,,,,,
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/cat/health-and-wellness/cod-liver-oil-for-cats,True,Align sitemap inclusion to the intended index state.,,Cod Liver Oil for Cats: Does It Actually Help?,46,"Cod liver oil for cats provides omega-3 fatty acids plus vitamins A and D. It may sound useful, but evidence in cats is limited and too much can be risky.",154,,Cod Liver Oil for Cats: Does It Actually Help?,1,cod-liver-oil-for-cats,True,False,False,False,False,False,False,False,229,315,2,,,,,,,,,,,,,,3.0
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/cat/health-and-wellness/how-to-get-your-dog-or-cat-to-drink-more-water,True,Align sitemap inclusion to the intended index state.,,How To Get Your Dog or Cat To Drink More Water | Chewy,54,"Is your pet drinking enough water? Try these vet-approved hydration tips for dogs and cats, from fresh bowls to fountains and wet food.",135,,How To Get Your Dog or Cat To Drink More Water,1,how-to-get-your-dog-or-cat-to-drink-more-water,True,False,False,False,False,False,False,False,5,321,2,,,,,,,,,,,,,,
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/dog/health-and-wellness/valley-fever-in-dogs,True,Align sitemap inclusion to the intended index state.,,"Valley Fever in Dogs: Symptoms, Treatment, and Prevention | Chewy",65,"Valley fever in dogs (coccidioidomycosis) can cause coughing, fever, and lameness. Learn symptoms, how vets test for it, treatment options, and prevention tips.",160,,"Valley Fever in Dogs: Symptoms, Treatment, and Prevention",1,valley-fever-in-dogs,True,False,False,False,False,False,False,False,354,320,2,,,,,,,,,,,,,,
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/dog/health-and-wellness/l-theanine-for-dogs,True,Align sitemap inclusion to the intended index state.,,L-Theanine for Dogs: What You Need to Know | Chewy,50,"L-theanine is sometimes used in dog calming products, but evidence on its effectiveness in dogs is limited. Here’s what it is, how it’s used, and what to watch for.",164,,L-Theanine for Dogs: What You Need to Know,1,l-theanine-for-dogs,True,False,False,False,False,False,False,False,356,311,2,,,,,,,,,,,,,,2.0
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/dog/health-and-wellness/yucca-extract-for-dogs,True,Align sitemap inclusion to the intended index state.,,Yucca Extract for Dogs: Does It Help Reduce Odor or Gas? | Chewy,64,"Yucca may help with stool and gas odor in some dogs, but research is limited and product quality can vary, so it should be used cautiously.",139,,Yucca Extract for Dogs: Does It Help Reduce Odor or Gas?,1,yucca-extract-for-dogs,True,False,False,False,False,False,False,False,356,312,2,,,,,,,,,,,,,,1.0
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/dog/health-and-wellness/cod-liver-oil-for-dogs,True,Align sitemap inclusion to the intended index state.,,Cod Liver Oil for Dogs: What You Need to Know | Chewy,53,"Cod liver oil contains omega-3 fats plus vitamins A and D, but evidence in dogs is limited and too much can be risky.",117,cod liver dogs,Cod Liver Oil for Dogs: What You Need to Know,1,cod-liver-oil-for-dogs,True,False,False,False,False,False,False,False,356,313,2,,,,,,,2,2,8.0,2,0,0,0,2.0
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/cat/food-and-nutrition/rotational-diet-for-cats,True,Align sitemap inclusion to the intended index state.,,Rotational Diet for Cats: How To Rotate Cat Food Safely | Chewy,63,"A rotational diet for cats can add variety to mealtime, but it’s important to switch foods slowly. Learn how to rotate cat food safely.",135,cat food rotation,Rotational Diet for Cats: How To Rotate Cat Food Safely,1,rotational-diet-for-cats,True,False,False,False,False,False,False,False,166,330,2,,,,,,,1,1,2.0,1,0,0,0,
Editorial,Index,Sitemap/index-state mismatch,https://www.chewy.com/education/horse/tack-and-stable/blanket-temperature-guide-for-horses,True,Align sitemap inclusion to the intended index state.,,Horse Blanket Temperature Guide | Chewy,39,"Learn with this practical horse blanket temperature guide when to blanket your horse based on temperature, weather, coat condition, age, and workload.",150,,Horse Blanket Temperature Guide,1,blanket-temperature-guide-for-horses,True,False,False,False,False,False,False,False,33,319,2,,,,,,,,,,,,,,1.0
