page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog-breeds/german-shepherd,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2774.0,"German Shepherd Breed: Characteristics, Care & Photos | Chewy",61,Law enforcement's top dog is a great family dog with proper training. Get all the facts and information about this dog in our complete German Shepherd guide.,157,german shepherd,German Shepherd,1,german-shepherd,True,True,False,False,True,False,False,True,318249,352,1,needs,2774.0,good,0.03,,,4,3,26.0,0,0,1,3,86.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog-breeds/rottweiler,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2633.0,"Rottweiler Characteristics, Care & Photos | Chewy",49,"The Rottweiler dog breed is intelligent, loyal and easy to train. Learn all about this hard-working dog in our complete Rottweiler guide.",137,rottweiler dog,Rottweiler,1,rottweiler,True,True,False,False,True,False,False,True,318249,350,1,needs,2633.0,good,0.03,,,1,1,30.0,0,0,1,0,89.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog/pet-parenting/diy-pill-pouches-for-pets,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2948.0,DIY Pill Pouches for Pets | Chewy,33,"Make giving medication easier with these DIY pill pouch recipes for pets. Learn simple, tasty tricks to help your dog or cat take their pills.",142,homemade pill pockets for dogs,DIY Pill Pouches for Pets,1,diy-pill-pouches-for-pets,True,True,False,False,False,False,False,False,8,313,2,needs,2948.0,good,0.049999999999999996,,,5,4,9.6,4,1,0,0,11.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog/food-and-nutrition/puppy-feeding-guide,True,Prioritize template performance work for pages with needs-improvement or poor field data.,3270.0,Puppy Feeding Guide: How Much to Feed a Puppy | Chewy,53,Learn how much to feed a puppy at every stage in their development with this veterinarian-approved puppy feeding guide for new puppy parents.,141,how much to feed a puppy,Puppy Feeding Guide: How Much to Feed a Puppy,1,puppy-feeding-guide,True,True,False,False,False,False,False,False,28,341,2,needs,3270.0,good,0.07500000000000001,,,10,8,15.0,4,1,2,3,222.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog/new-dog/how-to-potty-train-your-dog-in-7-days,True,Prioritize template performance work for pages with needs-improvement or poor field data.,3170.0,How To Potty Train a Puppy | Chewy,34,Find out how to potty train a puppy as quickly as possible with these housetraining tips and techniques from a dog trainer.,123,how to potty train a puppy,How To Potty Train a Puppy,1,how-to-potty-train-your-dog-in-7-days,True,True,False,False,False,False,False,False,166,323,2,needs,3170.0,good,0.065,,,14,14,17.91,2,6,3,3,102.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog/new-dog/deworming-puppies-what-to-expect,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2805.0,Puppy Deworming Schedule: What to Expect | Chewy,48,"Puppy deworming is key to early vet care. Learn how vets treat and prevent worms, potential side effects, and common parasite symptoms.",135,dewormer for puppies,"Deworming Puppies: What To Expect, Symptoms, and Schedule",1,deworming-puppies-what-to-expect,True,True,False,False,False,False,False,False,7,321,2,needs,2805.0,good,0.07,,,4,4,4.5,4,0,0,0,196.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog/new-dog/white-dog-names,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2759.0,The 200+ Best White Dog Names for Your Pup | Chewy,50,"From Snow to Bianca to Casper, we’ve got the ultimate list of white dog names for your new pup.",95,white dog names,The 200+ Best White Dog Names for Your Pup,1,white-dog-names,True,True,False,False,False,False,False,False,4,333,2,needs,2759.0,good,0.08,,,3,3,7.0,2,1,0,0,273.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog/new-dog/how-to-teach-your-puppy-to-sleep-through-the-night,True,Prioritize template performance work for pages with needs-improvement or poor field data.,3342.0,How To Get a Puppy To Sleep Through the Night | Chewy,53,Sleep is important for the health of your dog—and for your sanity! These helpful routines will help your puppy sleep through the night.,135,when do puppies sleep through the night,How To Get a Puppy To Sleep Through the Night,1,how-to-teach-your-puppy-to-sleep-through-the-night,True,True,False,False,False,False,False,False,10,341,2,needs,3342.0,good,0.08,,,3,3,5.0,2,1,0,0,210.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/dog/new-dog/marvel-dog-names,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2835.0,100 Marvel Dog Names For Your Super-Pup | Chewy,47,"From Hulk to Loki to Captain America, choose one of these Marvel dog names to show the world what a superhero your dog really is.",129,marvel dog names,100 Marvel Dog Names For Your Super-Pup,1,marvel-dog-names,True,True,False,False,False,False,False,False,4,345,2,needs,2835.0,good,0.09,,,3,3,2.0,3,0,0,0,41.0
Editorial,Speed,LCP is not good,https://www.chewy.com/education/cat/grooming/pro-tips-for-cutting-cat-nails-a-step-by-step-guide,True,Prioritize template performance work for pages with needs-improvement or poor field data.,3226.0,How to Trim Cat Nails: Step-by-Step Tips From a Pro | Chewy,59,"Save time and the stress of getting in the car and going to a groomer by learning how to calmly trim your cat's nails, and what to do if you cut the quick.",155,how to trim a cat's nails,How to Trim Cat Nails: Step-by-Step Tips From a Professional Groomer,1,pro-tips-for-cutting-cat-nails-a-step-by-step-guide,True,True,False,False,False,False,False,False,37,322,2,needs,3226.0,good,0.07,,,1,1,25.0,0,0,1,0,15.0
