page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/parrot-food-pellets_c943_f2v64311,True,Update title templates so the primary ranking phrase is naturally represented.,best pellet bird food,PARROT FOOD PELLETS (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on Parrot Food Pellets and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Parrot Food Pellets for your pet.",219,best pellet bird food,Parrot Food Pellets,1,parrot-food-pellets,True,True,False,False,True,False,False,False,84,355,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/lotion-cat-healthcare_c415_f83v373229,True,Update title templates so the primary ranking phrase is naturally represented.,lotion cat healthcare,LOTIONS & MOISTURIZERS FOR CATS (Free Shipping) | Chewy,55,"Shop Chewy for the best deals on Lotion Cat Healthcare and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Lotion Cat Healthcare for your pet.",223,lotion cat healthcare,Lotions & Moisturizers for Cats,1,lotion-cat-healthcare,True,True,False,False,True,False,False,False,105,329,2,,,,,,,1,1,1.0,1,0,0,0,3.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/joint-support-horses_c1691_f50v13679,True,Update title templates so the primary ranking phrase is naturally represented.,horse soreness relief,JOINT SUPPORT FOR HORSES | CHEWY,32,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,horse soreness relief,Joint Support For Horses,1,joint-support-horses,True,True,False,False,True,False,False,False,36,345,2,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/chicken-feed-pellets_c951_f2v64311,True,Update title templates so the primary ranking phrase is naturally represented.,chicken feed pellets,PELLET FEED FOR CHICKENS (Free Shipping) | Chewy,48,"Shop Chewy for the best deals on Pellet Feed For Chickens and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Pellet Feed For Chickens for your pet.",229,chicken feed pellets,Pellet Feed For Chickens,1,chicken-feed-pellets,True,True,False,False,True,False,False,True,30,363,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/liquid-probiotics-cats_c1577_f83v20482,True,Update title templates so the primary ranking phrase is naturally represented.,digestive health and probiotic liquid and gel supplements for cats,LIQUID PROBIOTICS FOR CATS (Free Shipping) | Chewy,50,"Shop Chewy for the best deals on Liquid Probiotics for Cats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Liquid Probiotics for Cats for your pet.",233,digestive health and probiotic liquid and gel supplements for cats,Liquid Probiotics for Cats,1,liquid-probiotics-cats,True,True,False,False,True,False,False,False,5,346,2,,,,,,,2,2,2.0,2,0,0,0,3.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/adult-cat-food_c387_f5v9060,True,Update title templates so the primary ranking phrase is naturally represented.,chewy com cats,ADULT CAT FOOD (Free Shipping) | Chewy,38,"Shop Chewy for the best deals on Adult Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Adult Cat Food for your pet.",209,chewy com cats,Adult Cat Food,1,adult-cat-food,True,True,False,False,True,False,False,False,1333,436,2,,,,,,,3,3,29.0,0,0,1,2,5.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/injectable-allergy-medicine-dogs_c11568_f83v383900,True,Update title templates so the primary ranking phrase is naturally represented.,cytopoint chewy,INJECTABLE ALLERGY MEDICINE FOR DOGS (Free Shipping) | Chewy,60,"Shop Chewy for the best deals on Injectable Allergy Medicine for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Injectable Allergy Medicine for Dogs for your pet.",253,cytopoint chewy,Injectable Allergy Medicine for Dogs,1,injectable-allergy-medicine-dogs,True,True,False,False,True,False,False,False,4,318,2,,,,,,,2,2,4.5,2,0,0,0,11.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/tortoise-terrariums-habitats_c1036_f57v68273,True,Update title templates so the primary ranking phrase is naturally represented.,russian tortoise enclosure,TORTOISE TERRARIUMS & HABITATS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Tortoise Terrariums & Habitats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tortoise Terrariums & Habitats for your pet.",241,russian tortoise enclosure,Tortoise Terrariums & Habitats,1,tortoise-terrariums-habitats,True,True,False,False,True,False,False,True,56,366,2,,,,,,,6,6,6.8,4,1,0,1,13.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/40-gallon-fish-tanks_c1735_f739v966790,True,Update title templates so the primary ranking phrase is naturally represented.,40 gallon saltwater aquarium,40 GALLON FISH TANKS & UNDER (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on 31-40 Gallon Fish Tanks and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right 31-40 Gallon Fish Tanks & Under for your pet.",235,40 gallon saltwater aquarium,40 Gallon Fish Tanks,1,40-gallon-fish-tanks,True,True,False,False,True,False,False,True,14,327,2,,,,,,,3,3,17.33,0,3,0,0,9.0
HVF,Meta,Title does not align to main ranking keyword,https://www.chewy.com/f/plastic-pet-carrier_c366_f7v17023,True,Update title templates so the primary ranking phrase is naturally represented.,chewy pet carrier,PLASTIC DOG CARRIERS (Free Shipping) | Chewy,44,"Shop Chewy for the best deals on Plastic Dog Carriers and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Plastic Dog Carriers for your pet.",221,chewy pet carrier,Plastic Dog Carriers,1,plastic-pet-carrier,True,True,False,False,True,False,False,False,170,349,2,,,,,,,1,1,,0,0,0,1,1.0
