page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/skin-care-169782,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Hill's Prescription Diet Skin Care for Dogs - Free shipping | Chewy,67,Shop Chewy for low prices and the best Skin Care! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,,Hill's Prescription Diet Skin Care for Dogs,1,skin-care,True,True,False,False,True,False,False,False,318238,319,1,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/skin-care-169710,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Hill's Prescription Diet Skin Care for Cats - Free shipping | Chewy,67,Shop Chewy for low prices and the best Skin Care! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,,Hill's Prescription Diet Skin Care for Cats,1,skin-care,True,True,False,False,True,False,False,False,318238,311,1,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/nutrena-121270,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,True,True,False,False,True,False,False,False,318238,346,1,,,,,,,2,2,15.0,1,0,1,0,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/purina-animal-nutrition-2068886,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Purina - Free shipping | Chewy,30,Shop Chewy for low prices and the best Purina Animal Nutrition! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,,Purina About Purina,2,purina-animal-nutrition,True,True,False,False,True,False,False,False,318238,351,1,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/treats-135734,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Treats - Free shipping | Chewy,30,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Treats,1,treats,True,True,False,False,True,False,False,False,45,307,2,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/treats-7909,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Sheba Cat Treats - Free shipping | Chewy,40,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,sheba cat treats,Sheba Cat Treats,1,treats,True,True,False,False,True,False,False,False,45,313,2,,,,,,,1,1,6.0,1,0,0,0,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/treats-11285,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Vital Essentials Treats for Cats - Free shipping | Chewy,56,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Vital Essentials and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,vital essentials cat treats,Vital Essentials Treats for Cats,1,treats,True,True,False,False,True,False,False,False,45,333,2,,,,,,,2,2,5.5,2,0,0,0,2.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/whisker-lickins-7464,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Purina Whisker Lickin's - Free shipping | Chewy,47,Shop Chewy for low prices and the best Whisker Lickin's! We carry a large selection and the top brands like Whisker Lickin's and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,purina whisker lickin's,Purina Whisker Lickin's,1,whisker-lickins,True,True,False,False,True,False,False,False,73,306,2,,,,,,,2,1,,0,0,0,2,3.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/scratch-peck-feeds-7506,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Scratch and Peck Feeds - Free shipping | Chewy,46,Shop Chewy for low prices and the best Scratch and Peck Feeds! We carry a large selection and the top brands like Scratch and Peck Feeds and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,245,scratch and peck feeds,Scratch and Peck Feeds,1,scratch-peck-feeds,True,True,False,False,True,False,False,False,60,340,2,,,,,,,1,1,15.0,0,1,0,0,2.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/cosequin-7126,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,False,False,False,False,True,False,False,False,1,335,2,,,,,,,,,,,,,,
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-dog-supplies-3434310,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made™ Dog Supplies | Chewy Exclusive Brand,48,"Shop Dog Supplies from Chewy Made™, a Chewy Exclusive Brand. Discover Dog Food, Treats, Toys, and Waste Management supplies. Free shipping on orders $49+!",154,chewy dog,Chewy Made Dog Supplies,1,chewy-made-dog-supplies,True,True,False,False,True,False,False,True,170,365,2,,,,,,,11,10,27.67,0,0,3,8,2.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-dog-food-4285630,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made™ Dog Food | Chewy Exclusive Brand,44,"Shop Dog Food from Chewy Made™, a Chewy Exclusive Brand. Discover Wet and Dry Dog Food recipes developed by our Team of experts at Chewy. Get free shipping today on orders $49+!",177,,Chewy Made Dog Food,1,chewy-made-dog-food,True,True,False,False,True,False,False,False,15,343,2,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-dog-treats-3434382,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made Dog Treats | Chewy Exclusive Brand,45,"Shop Dog Treats & Dog Bones from Chewy Made, a Chewy Exclusive Brand. Now offering everything from Dental Sticks to Marrow Bones, Crunchy Biscuits and more.",156,american journey dog treats,Chewy Made Dog Treats & Bones,1,chewy-made-dog-treats,True,True,False,False,True,False,False,False,217,345,2,,,,,,,14,12,6.73,8,3,0,3,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-cat-food-4285638,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made™ Cat Food | Chewy Exclusive Brand,44,"Shop Cat Food from Chewy Made™, a Chewy Exclusive Brand. Discover Grilled, Flaked, Pate and Medley recipes developed by our Team of experts at Chewy. Get free shipping today on orders $49+!",189,,Chewy Made Cat Food,1,chewy-made-cat-food,True,True,False,False,True,False,False,False,15,343,2,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-cat-treats-3434422,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made™ Cat Treats | Chewy Exclusive Brand,46,"Shop Cat Treats from Chewy Made™, a Chewy Exclusive Brand. Same great taste and recipes, now with a new look! Get free shipping today on orders $49+.",149,chewy exclusive cat treats,Chewy Made Cat Treats,1,chewy-made-cat-treats,True,True,False,False,True,False,False,False,9,333,2,,,,,,,1,1,,0,0,0,1,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/cat-litter-accessories-3434430,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made™ Cat Litter & Accessories | Chewy Exclusive Brand,60,"Shop Cat Litter & Accessories from Chewy Made™, a Chewy Exclusive Brand. The same great products you know and love, now with a new look. Get free shipping today on orders $49+!",176,,Chewy Made Cat Litter & Accessories,1,cat-litter-accessories,True,True,False,False,True,False,False,False,19,327,2,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-dog-poop-bags-3434390,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made Dog Poop Bags | Chewy Exclusive Brand,48,"Shop Poop Bags for Dogs from Chewy Made, a Chewy Exclusive Brand. Same great product with a new look! Free $15 eGift card with your first $40 Chewy Made order.",159,,Chewy Made Dog Poop Bags,1,chewy-made-dog-poop-bags,True,True,False,False,True,False,False,False,9,309,2,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-dog-potty-pads-3434398,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made Dog Potty Pads | Chewy Exclusive Brand,49,"Shop Chewy Made Potty Pads for Dogs. The same great products you know and love, now with a new look. Get a free $15 eGift Card with your first $40 purchase!",156,,Chewy Made Dog Potty Pads,1,chewy-made-dog-potty-pads,True,True,False,False,True,False,False,False,9,318,2,,,,,,,,,,,,,,1.0
Brand,Speed,Speed measurement missing,https://www.chewy.com/brands/chewy-made-dog-toys-3850006,True,Expand CrUX/PageSpeed/Botify field coverage; missing measurements are excluded from the score.,,Chewy Made Dog Toys | Chewy Exclusive Brand,43,"Discover Chewy Made Dog Toys from Chewy Brand. The same great dog toys, now with a new look. Shop now and get a $15 eGift card with your first $40 Chewy Made order!",164,,Chewy Made Dog Toys,1,chewy-made-dog-toys,True,True,False,False,True,False,False,False,9,307,2,,,,,,,,,,,,,,1.0
