page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Speed,CLS is not good,https://www.chewy.com/f/pate-wet-cat-food_c389_f53v89799,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.36,WET CAT FOOD PATE: PATE WET CAT FOOD | CHEWY,44,"Serve smooth-textured wet cat food pate with classic recipes cats love. Compare pate wet cat food from Friskies, Fancy Feast & more for everyday feeding.",153,cat pate,Pate Wet Cat Food,1,pate-wet-cat-food,True,True,False,False,True,False,False,True,723,403,2,good,2035.0,poor,0.36,,,13,13,11.27,6,3,2,2,8.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/canned-wet-cat-food_c389_f52v219669,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.27,CANNED WET CAT FOOD (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on Canned Wet Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Canned Wet Cat Food for your pet.",219,chewy wet cat food,Canned Wet Cat Food,1,canned-wet-cat-food,True,True,False,False,True,False,False,False,454,403,2,good,2310.0,poor,0.27,,,14,14,14.71,6,3,5,0,9.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/small-breeds-dog-beds_c365_f6v13790,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.15500000000000003,SMALL BREEDS DOG BEDS (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Small Breeds Dog Beds and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Small Breeds Dog Beds for your pet.",223,small breeds dog beds,Small Breeds Dog Beds,1,small-breeds-dog-beds,True,True,False,False,True,False,False,True,469,421,2,good,1606.0,needs,0.15500000000000003,,,3,3,6.0,2,1,0,0,14.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/small-dog-toys_c315_f6v13790,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.44499999999999995,SMALL DOG TOYS (Free Shipping) | Chewy,38,"Explore small dog toys sized for little mouths, with dog toys for small dogs made for chewing, fetching, tugging, cuddling, and enrichment at home.",147,small dog toys,Small Dog Toys,1,small-dog-toys,True,True,False,False,True,False,False,True,1333,410,2,good,1687.0,poor,0.44499999999999995,,,10,10,14.14,3,3,1,3,11.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/tough-chewer-dog-toys_c315_f58v382923,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.18,TOUGH CHEWER DOG TOYS (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Tough Chewer Dog Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tough Chewer Dog Toys for your pet.",223,tough chewer dog toys,Tough Chewer Dog Toys,1,tough-chewer-dog-toys,True,True,False,False,True,False,False,True,1589,401,2,good,1795.0,needs,0.18,,,7,7,10.25,2,2,0,3,26.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/chicken-free-dog-treats_c335_f3v662647,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.22,CHICKEN FREE DOG TREATS: DOG TREATS WITHOUT CHICKEN | CHEWY,59,"Shop Chewy for chicken free dog treats, including dog treats without chicken and no chicken dog treats. Find limited ingredient options from Blue Buffalo, Zuke’s & more.",169,chicken free dog treats,Chicken-Free Dog Treats,1,chicken-free-dog-treats,True,True,False,False,True,False,False,True,1482,428,2,good,1768.0,needs,0.22,,,4,4,1.5,4,0,0,0,19.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/tough-chewer-dog-chew-toys_c316_f58v382923,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.34,DURABLE DOG CHEW TOYS (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Durable Dog Chew Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Durable Dog Chew Toys for your pet.",223,chewy dog toys,Durable Dog Chew Toys,1,tough-chewer-dog-chew-toys,True,True,False,False,True,False,False,False,269,373,2,good,1775.0,poor,0.34,,,4,4,4.75,4,0,0,0,3.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/small-breeds-dry-dog-food_c294_f6v13790,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.27,SMALL DOG FOOD - DRY DOG FOOD FOR SMALL BREED DOGS | CHEWY,58,"Shop Chewy for the best deals on Small Breeds Dry Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Small Breeds Dry Dog Food for your pet.",231,puppy food small breeds,Small Breeds Dry Dog Food,1,small-breeds-dry-dog-food,True,True,False,False,True,False,False,False,303,404,2,good,1753.0,poor,0.27,,,15,15,7.53,10,4,1,0,30.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/large-dog-breeds-dry-food_c294_f6v13792,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.26,LARGE BREED DRY DOG FOOD - BEST LARGE BREED DRY DOG FOOD,56,"Find the best large breed dry dog food formulated for joint support and balanced growth. Shop options for adults and large breed puppies from Hill’s Science Diet, Eukanuba & more.",179,large breed dog food,Large Breed Dry Dog Food,1,large-dog-breeds-dry-food,True,True,False,False,True,False,False,True,274,396,2,good,1914.0,poor,0.26,,,42,41,5.78,31,4,1,6,25.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/happy-polly_f1v799156,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.16000000000000003,Happy & Polly - Free shipping | Chewy,37,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,happy and polly,Happy & Polly,1,happy-polly,True,True,False,False,False,False,False,False,332,340,3,good,1661.0,needs,0.16000000000000003,,,3,2,10.67,1,2,0,0,5.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/oneisall_f1v505067,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.12000000000000001,OneIsAll - Free shipping | Chewy,32,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,oneisall,OneIsAll,1,oneisall,True,True,False,False,False,False,False,False,54,340,3,good,1834.0,needs,0.12000000000000001,,,1,1,12.0,0,1,0,0,3.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/small-dog-harnesses_c347_f6v13790,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.135,SMALL BREED DOG HARNESSES (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Small Breed Dog Harnesses and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Small Breed Dog Harnesses for your pet.",231,harnesses for toy dogs,Small Breed Dog Harnesses,1,small-dog-harnesses,True,True,False,False,True,False,False,True,232,394,3,good,1799.0,needs,0.135,,,2,1,21.5,0,0,2,0,8.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/stainless-steel-litter-boxes_c413_f7v17020,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.175,STAINLESS STEEL LITTER BOXES (Free Shipping) | Chewy,52,"Shop Chewy for low prices and the best selection of cat litter boxes! Litter boxes are a huge part of your cat’s daily routine, so it’s important to find the right one. Find everything from pan litter boxes in an array of sizes to automatic litter boxes that do the dirty work. *FREE* shipping on orders $49+ and the BEST customer service!",339,,Stainless Steel Litter Boxes,1,stainless-steel-litter-boxes,True,True,False,False,True,False,False,False,30,357,3,good,1733.0,needs,0.175,,,,,,,,,,7.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/purina-one-dry-cat-food_c388_f1v216956,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.21999999999999997,PURINA ONE DRY CAT FOOD (Free Shipping) | Chewy,47,"Shop Chewy for the best deals on Purina ONE Dry Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Purina ONE Dry Cat Food for your pet.",227,purina one cat food,Purina ONE Dry Cat Food,1,purina-one-dry-cat-food,True,True,False,False,True,False,False,False,1,359,3,good,1484.0,needs,0.21999999999999997,,,9,9,14.0,2,4,1,2,8.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/fancy-feast-wet-cat-food_c389_f1v134979,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.515,FANCY FEAST WET CAT FOOD (Free Shipping) | Chewy,48,"Shop Chewy for the best deals on Fancy Feast Wet Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Fancy Feast Wet Cat Food for your pet.",229,chewy wet cat food fancy feast,Fancy Feast Wet Cat Food,1,fancy-feast-wet-cat-food,True,True,False,False,True,False,False,False,13,382,3,good,1765.0,poor,0.515,,,9,8,12.17,3,2,1,3,13.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/tiki-cat-wet-cat-food_c389_f1v392637,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.18,TIKI CAT WET CAT FOOD (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Tiki Cat Wet Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tiki Cat Wet Cat Food for your pet.",223,tiki cat wet cat food,Tiki Cat Wet Cat Food,1,tiki-cat-wet-cat-food,True,True,False,False,True,False,False,False,4,385,3,good,1524.0,needs,0.18,,,1,1,,0,0,0,1,3.0
HVF,Speed,CLS is not good,https://www.chewy.com/f/sheba-wet-cat-food_c389_f1v433733,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.29,SHEBA WET CAT FOOD (Free Shipping) | Chewy,42,"Shop Chewy for the best deals on Sheba Wet Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Sheba Wet Cat Food for your pet.",217,sheba wet cat food,Sheba Wet Cat Food,1,sheba-wet-cat-food,True,True,False,False,True,False,False,False,1,371,3,good,1749.0,poor,0.29,,,2,2,15.0,0,1,0,1,5.0
